case_id,disease,language,transcript,symptom_keys,symptom_count,template_id,split,source
PC-00011,Fungal infection,hiligaynon,"Kag dischromic patches, katol, nodal skin eruptions, kag rashes ko sa sulod sang isa ka semana.",dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,hil_5,train,archive_source/dataset.csv
PC-00012,Fungal infection,mixed,May dischromic patches kag katol ang pasyente. Also reports nodal skin eruptions and skin rash.,dischromic_patches;itching;nodal_skin_eruptions;skin_rash,4,mixed_1,train,archive_source/dataset.csv
PC-00013,Fungal infection,english,"I have been having dischromic patches, nodal skin eruptions and skin rash for a few days.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,en_1,train,archive_source/dataset.csv
PC-00014,Fungal infection,english,"The patient complains of dischromic patches, nodal skin eruptions and skin rash.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,en_2,train,archive_source/dataset.csv
PC-00015,Fungal infection,english,"My symptoms include dischromic patches, nodal skin eruptions and skin rash.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,en_3,train,archive_source/dataset.csv
PC-00016,Fungal infection,english,"For the past week I have experienced dischromic patches, nodal skin eruptions and skin rash.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,en_4,train,archive_source/dataset.csv
PC-00017,Fungal infection,english,"I came in because of dischromic patches, nodal skin eruptions and skin rash.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,en_5,train,archive_source/dataset.csv
PC-00018,Fungal infection,english,"Lately I feel dischromic patches, nodal skin eruptions and skin rash.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,en_6,train,archive_source/dataset.csv
PC-00019,Fungal infection,hiligaynon,"May dischromic patches, nodal skin eruptions, kag hubag sa panit ako.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,hil_1,train,archive_source/dataset.csv
PC-00020,Fungal infection,hiligaynon,"Ang pasyente may dischromic patches, nodal skin eruptions, kag hubag sa panit.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,hil_2,train,archive_source/dataset.csv
PC-00021,Fungal infection,hiligaynon,"Nagabalati ako sang dischromic patches, nodal skin eruptions, kag hubag sa panit.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,hil_3,train,archive_source/dataset.csv
PC-00022,Fungal infection,hiligaynon,"Subong may dischromic patches, nodal skin eruptions, kag hubag sa panit ang pasyente.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,hil_4,train,archive_source/dataset.csv
PC-00023,Fungal infection,hiligaynon,"Kag dischromic patches, nodal skin eruptions, kag hubag sa panit ko sa sulod sang isa ka semana.",dischromic_patches;nodal_skin_eruptions;skin_rash,3,hil_5,train,archive_source/dataset.csv
PC-00024,Fungal infection,mixed,May dischromic patches kag nodal skin eruptions ang pasyente. Also reports skin rash.,dischromic_patches;nodal_skin_eruptions;skin_rash,3,mixed_1,train,archive_source/dataset.csv
PC-00025,Fungal infection,english,"I have been having dischromic patches, itching and nodal skin eruptions for a few days.",dischromic_patches;itching;nodal_skin_eruptions,3,en_1,train,archive_source/dataset.csv
PC-00026,Fungal infection,english,"The patient complains of dischromic patches, itching and nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,en_2,train,archive_source/dataset.csv
PC-00027,Fungal infection,english,"My symptoms include dischromic patches, itching and nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,en_3,train,archive_source/dataset.csv
PC-00028,Fungal infection,english,"For the past week I have experienced dischromic patches, itching and nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,en_4,train,archive_source/dataset.csv
PC-00029,Fungal infection,english,"I came in because of dischromic patches, itching and nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,en_5,train,archive_source/dataset.csv
PC-00030,Fungal infection,english,"Lately I feel dischromic patches, itching and nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,en_6,train,archive_source/dataset.csv
PC-00031,Fungal infection,hiligaynon,"May dischromic patches, katol, kag nodal skin eruptions ako.",dischromic_patches;itching;nodal_skin_eruptions,3,hil_1,train,archive_source/dataset.csv
PC-00032,Fungal infection,hiligaynon,"Ang pasyente may dischromic patches, katol, kag nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,hil_2,train,archive_source/dataset.csv
PC-00033,Fungal infection,hiligaynon,"Nagabalati ako sang dischromic patches, katol, kag nodal skin eruptions.",dischromic_patches;itching;nodal_skin_eruptions,3,hil_3,train,archive_source/dataset.csv
PC-00034,Fungal infection,hiligaynon,"Subong may dischromic patches, katol, kag nodal skin eruptions ang pasyente.",dischromic_patches;itching;nodal_skin_eruptions,3,hil_4,train,archive_source/dataset.csv
PC-00035,Fungal infection,hiligaynon,"Kag dischromic patches, katol, kag nodal skin eruptions ko sa sulod sang isa ka semana.",dischromic_patches;itching;nodal_skin_eruptions,3,hil_5,train,archive_source/dataset.csv
PC-00036,Fungal infection,mixed,May dischromic patches kag katol ang pasyente. Also reports nodal skin eruptions.,dischromic_patches;itching;nodal_skin_eruptions,3,mixed_1,train,archive_source/dataset.csv
PC-00037,Fungal infection,english,"I have been having dischromic patches, itching and skin rash for a few days.",dischromic_patches;itching;skin_rash,3,en_1,train,archive_source/dataset.csv
PC-00038,Fungal infection,english,"The patient complains of dischromic patches, itching and skin rash.",dischromic_patches;itching;skin_rash,3,en_2,train,archive_source/dataset.csv
PC-00039,Fungal infection,english,"My symptoms include dischromic patches, itching and skin rash.",dischromic_patches;itching;skin_rash,3,en_3,train,archive_source/dataset.csv
PC-00040,Fungal infection,english,"For the past week I have experienced dischromic patches, itching and skin rash.",dischromic_patches;itching;skin_rash,3,en_4,train,archive_source/dataset.csv
PC-00041,Fungal infection,english,"I came in because of dischromic patches, itching and skin rash.",dischromic_patches;itching;skin_rash,3,en_5,train,archive_source/dataset.csv
PC-00042,Fungal infection,english,"Lately I feel dischromic patches, itching and skin rash.",dischromic_patches;itching;skin_rash,3,en_6,train,archive_source/dataset.csv
PC-00043,Fungal infection,hiligaynon,"May dischromic patches, katol, kag rashes ako.",dischromic_patches;itching;skin_rash,3,hil_1,train,archive_source/dataset.csv
PC-00044,Fungal infection,hiligaynon,"Ang pasyente may dischromic patches, katol, kag rashes.",dischromic_patches;itching;skin_rash,3,hil_2,train,archive_source/dataset.csv
PC-00045,Fungal infection,hiligaynon,"Nagabalati ako sang dischromic patches, katol, kag rashes.",dischromic_patches;itching;skin_rash,3,hil_3,train,archive_source/dataset.csv
PC-00046,Fungal infection,hiligaynon,"Subong may dischromic patches, katol, kag rashes ang pasyente.",dischromic_patches;itching;skin_rash,3,hil_4,train,archive_source/dataset.csv
PC-00047,Fungal infection,hiligaynon,"Kag dischromic patches, katol, kag rashes ko sa sulod sang isa ka semana.",dischromic_patches;itching;skin_rash,3,hil_5,train,archive_source/dataset.csv
PC-00048,Fungal infection,mixed,May dischromic patches kag katol ang pasyente. Also reports skin rash.,dischromic_patches;itching;skin_rash,3,mixed_1,train,archive_source/dataset.csv
PC-00049,Fungal infection,english,"I have been having itching, nodal skin eruptions and skin rash for a few days.",itching;nodal_skin_eruptions;skin_rash,3,en_1,train,archive_source/dataset.csv
PC-00050,Fungal infection,english,"The patient complains of itching, nodal skin eruptions and skin rash.",itching;nodal_skin_eruptions;skin_rash,3,en_2,train,archive_source/dataset.csv
PC-00051,Fungal infection,english,"My symptoms include itching, nodal skin eruptions and skin rash.",itching;nodal_skin_eruptions;skin_rash,3,en_3,train,archive_source/dataset.csv
PC-00052,Fungal infection,english,"For the past week I have experienced itching, nodal skin eruptions and skin rash.",itching;nodal_skin_eruptions;skin_rash,3,en_4,train,archive_source/dataset.csv
PC-00053,Fungal infection,english,"I came in because of itching, nodal skin eruptions and skin rash.",itching;nodal_skin_eruptions;skin_rash,3,en_5,train,archive_source/dataset.csv
PC-00054,Fungal infection,english,"Lately I feel itching, nodal skin eruptions and skin rash.",itching;nodal_skin_eruptions;skin_rash,3,en_6,train,archive_source/dataset.csv
PC-00055,Fungal infection,hiligaynon,"May katol, nodal skin eruptions, kag rashes ako.",itching;nodal_skin_eruptions;skin_rash,3,hil_1,train,archive_source/dataset.csv
PC-00056,Fungal infection,hiligaynon,"Ang pasyente may katol, nodal skin eruptions, kag rashes.",itching;nodal_skin_eruptions;skin_rash,3,hil_2,train,archive_source/dataset.csv
PC-00057,Fungal infection,hiligaynon,"Nagabalati ako sang katol, nodal skin eruptions, kag rashes.",itching;nodal_skin_eruptions;skin_rash,3,hil_3,train,archive_source/dataset.csv
PC-00058,Fungal infection,hiligaynon,"Subong may katol, nodal skin eruptions, kag rashes ang pasyente.",itching;nodal_skin_eruptions;skin_rash,3,hil_4,train,archive_source/dataset.csv
PC-00059,Fungal infection,hiligaynon,"Kag katol, nodal skin eruptions, kag rashes ko sa sulod sang isa ka semana.",itching;nodal_skin_eruptions;skin_rash,3,hil_5,train,archive_source/dataset.csv
PC-00060,Fungal infection,mixed,May katol kag nodal skin eruptions ang pasyente. Also reports skin rash.,itching;nodal_skin_eruptions;skin_rash,3,mixed_1,train,archive_source/dataset.csv
PC-00061,Allergy,english,"I have been having chills, continuous sneezing, shivering and watering from eyes for a few days.",chills;continuous_sneezing;shivering;watering_from_eyes,4,en_1,train,archive_source/dataset.csv
PC-00062,Allergy,english,"The patient complains of chills, continuous sneezing, shivering and watering from eyes.",chills;continuous_sneezing;shivering;watering_from_eyes,4,en_2,train,archive_source/dataset.csv
PC-00063,Allergy,english,"My symptoms include chills, continuous sneezing, shivering and watering from eyes.",chills;continuous_sneezing;shivering;watering_from_eyes,4,en_3,train,archive_source/dataset.csv
PC-00064,Allergy,english,"For the past week I have experienced chills, continuous sneezing, shivering and watering from eyes.",chills;continuous_sneezing;shivering;watering_from_eyes,4,en_4,train,archive_source/dataset.csv
PC-00065,Allergy,english,"I came in because of chills, continuous sneezing, shivering and watering from eyes.",chills;continuous_sneezing;shivering;watering_from_eyes,4,en_5,train,archive_source/dataset.csv
PC-00066,Allergy,english,"Lately I feel chills, continuous sneezing, shivering and watering from eyes.",chills;continuous_sneezing;shivering;watering_from_eyes,4,en_6,train,archive_source/dataset.csv
PC-00067,Allergy,hiligaynon,"May mabinugnaw, sip-on, nagakurog, kag nagaluha ang mata ako.",chills;continuous_sneezing;shivering;watering_from_eyes,4,hil_1,train,archive_source/dataset.csv
PC-00068,Allergy,hiligaynon,"Ang pasyente may mabinugnaw, sip-on, nagakurog, kag nagaluha ang mata.",chills;continuous_sneezing;shivering;watering_from_eyes,4,hil_2,train,archive_source/dataset.csv
PC-00069,Allergy,hiligaynon,"Nagabalati ako sang mabinugnaw, sip-on, nagakurog, kag nagaluha ang mata.",chills;continuous_sneezing;shivering;watering_from_eyes,4,hil_3,train,archive_source/dataset.csv
PC-00070,Allergy,hiligaynon,"Subong may mabinugnaw, sip-on, nagakurog, kag nagaluha ang mata ang pasyente.",chills;continuous_sneezing;shivering;watering_from_eyes,4,hil_4,train,archive_source/dataset.csv
PC-00071,Allergy,hiligaynon,"Kag mabinugnaw, sip-on, nagakurog, kag nagaluha ang mata ko sa sulod sang isa ka semana.",chills;continuous_sneezing;shivering;watering_from_eyes,4,hil_5,train,archive_source/dataset.csv
PC-00072,Allergy,mixed,May mabinugnaw kag sip-on ang pasyente. Also reports shivering and watering from eyes.,chills;continuous_sneezing;shivering;watering_from_eyes,4,mixed_1,train,archive_source/dataset.csv
PC-00073,Allergy,english,"I have been having chills, shivering and watering from eyes for a few days.",chills;shivering;watering_from_eyes,3,en_1,train,archive_source/dataset.csv
PC-00074,Allergy,english,"The patient complains of chills, shivering and watering from eyes.",chills;shivering;watering_from_eyes,3,en_2,train,archive_source/dataset.csv
PC-00075,Allergy,english,"My symptoms include chills, shivering and watering from eyes.",chills;shivering;watering_from_eyes,3,en_3,train,archive_source/dataset.csv
PC-00076,Allergy,english,"For the past week I have experienced chills, shivering and watering from eyes.",chills;shivering;watering_from_eyes,3,en_4,train,archive_source/dataset.csv
PC-00077,Allergy,english,"I came in because of chills, shivering and watering from eyes.",chills;shivering;watering_from_eyes,3,en_5,train,archive_source/dataset.csv
PC-00078,Allergy,english,"Lately I feel chills, shivering and watering from eyes.",chills;shivering;watering_from_eyes,3,en_6,train,archive_source/dataset.csv
PC-00079,Allergy,hiligaynon,"May ginapanas-an, nagakurog, kag nagaluha ang mata ako.",chills;shivering;watering_from_eyes,3,hil_1,train,archive_source/dataset.csv
PC-00080,Allergy,hiligaynon,"Ang pasyente may ginapanas-an, nagakurog, kag nagaluha ang mata.",chills;shivering;watering_from_eyes,3,hil_2,train,archive_source/dataset.csv
PC-00081,Allergy,hiligaynon,"Nagabalati ako sang ginapanas-an, nagakurog, kag nagaluha ang mata.",chills;shivering;watering_from_eyes,3,hil_3,train,archive_source/dataset.csv
PC-00082,Allergy,hiligaynon,"Subong may ginapanas-an, nagakurog, kag nagaluha ang mata ang pasyente.",chills;shivering;watering_from_eyes,3,hil_4,train,archive_source/dataset.csv
PC-00083,Allergy,hiligaynon,"Kag ginapanas-an, nagakurog, kag nagaluha ang mata ko sa sulod sang isa ka semana.",chills;shivering;watering_from_eyes,3,hil_5,train,archive_source/dataset.csv
PC-00084,Allergy,mixed,May ginapanas-an kag nagakurog ang pasyente. Also reports watering from eyes.,chills;shivering;watering_from_eyes,3,mixed_1,train,archive_source/dataset.csv
PC-00085,Allergy,english,"I have been having chills, continuous sneezing and watering from eyes for a few days.",chills;continuous_sneezing;watering_from_eyes,3,en_1,train,archive_source/dataset.csv
PC-00086,Allergy,english,"The patient complains of chills, continuous sneezing and watering from eyes.",chills;continuous_sneezing;watering_from_eyes,3,en_2,train,archive_source/dataset.csv
PC-00087,Allergy,english,"My symptoms include chills, continuous sneezing and watering from eyes.",chills;continuous_sneezing;watering_from_eyes,3,en_3,train,archive_source/dataset.csv
PC-00088,Allergy,english,"For the past week I have experienced chills, continuous sneezing and watering from eyes.",chills;continuous_sneezing;watering_from_eyes,3,en_4,train,archive_source/dataset.csv
PC-00089,Allergy,english,"I came in because of chills, continuous sneezing and watering from eyes.",chills;continuous_sneezing;watering_from_eyes,3,en_5,train,archive_source/dataset.csv
PC-00090,Allergy,english,"Lately I feel chills, continuous sneezing and watering from eyes.",chills;continuous_sneezing;watering_from_eyes,3,en_6,train,archive_source/dataset.csv
PC-00091,Allergy,hiligaynon,"May ginapanas-an, ubo, kag nagaluha ang mata ako.",chills;continuous_sneezing;watering_from_eyes,3,hil_1,train,archive_source/dataset.csv
PC-00092,Allergy,hiligaynon,"Ang pasyente may ginapanas-an, ubo, kag nagaluha ang mata.",chills;continuous_sneezing;watering_from_eyes,3,hil_2,train,archive_source/dataset.csv
PC-00093,Allergy,hiligaynon,"Nagabalati ako sang ginapanas-an, ubo, kag nagaluha ang mata.",chills;continuous_sneezing;watering_from_eyes,3,hil_3,train,archive_source/dataset.csv
PC-00094,Allergy,hiligaynon,"Subong may ginapanas-an, ubo, kag nagaluha ang mata ang pasyente.",chills;continuous_sneezing;watering_from_eyes,3,hil_4,train,archive_source/dataset.csv
PC-00095,Allergy,hiligaynon,"Kag ginapanas-an, ubo, kag nagaluha ang mata ko sa sulod sang isa ka semana.",chills;continuous_sneezing;watering_from_eyes,3,hil_5,train,archive_source/dataset.csv
PC-00096,Allergy,mixed,May ginapanas-an kag ubo ang pasyente. Also reports watering from eyes.,chills;continuous_sneezing;watering_from_eyes,3,mixed_1,train,archive_source/dataset.csv
PC-00097,Allergy,english,"I have been having continuous sneezing, shivering and watering from eyes for a few days.",continuous_sneezing;shivering;watering_from_eyes,3,en_1,train,archive_source/dataset.csv
PC-00098,Allergy,english,"The patient complains of continuous sneezing, shivering and watering from eyes.",continuous_sneezing;shivering;watering_from_eyes,3,en_2,train,archive_source/dataset.csv
PC-00099,Allergy,english,"My symptoms include continuous sneezing, shivering and watering from eyes.",continuous_sneezing;shivering;watering_from_eyes,3,en_3,train,archive_source/dataset.csv
PC-00100,Allergy,english,"For the past week I have experienced continuous sneezing, shivering and watering from eyes.",continuous_sneezing;shivering;watering_from_eyes,3,en_4,train,archive_source/dataset.csv
PC-00101,Allergy,english,"I came in because of continuous sneezing, shivering and watering from eyes.",continuous_sneezing;shivering;watering_from_eyes,3,en_5,train,archive_source/dataset.csv
PC-00102,Allergy,english,"Lately I feel continuous sneezing, shivering and watering from eyes.",continuous_sneezing;shivering;watering_from_eyes,3,en_6,train,archive_source/dataset.csv
PC-00103,Allergy,hiligaynon,"May ubo, nagakurog, kag nagaluha ang mata ako.",continuous_sneezing;shivering;watering_from_eyes,3,hil_1,train,archive_source/dataset.csv
PC-00104,Allergy,hiligaynon,"Ang pasyente may ubo, nagakurog, kag nagaluha ang mata.",continuous_sneezing;shivering;watering_from_eyes,3,hil_2,train,archive_source/dataset.csv
PC-00105,Allergy,hiligaynon,"Nagabalati ako sang ubo, nagakurog, kag nagaluha ang mata.",continuous_sneezing;shivering;watering_from_eyes,3,hil_3,train,archive_source/dataset.csv
PC-00106,Allergy,hiligaynon,"Subong may ubo, nagakurog, kag nagaluha ang mata ang pasyente.",continuous_sneezing;shivering;watering_from_eyes,3,hil_4,train,archive_source/dataset.csv
PC-00107,Allergy,hiligaynon,"Kag ubo, nagakurog, kag nagaluha ang mata ko sa sulod sang isa ka semana.",continuous_sneezing;shivering;watering_from_eyes,3,hil_5,train,archive_source/dataset.csv
PC-00108,Allergy,mixed,May ubo kag nagakurog ang pasyente. Also reports watering from eyes.,continuous_sneezing;shivering;watering_from_eyes,3,mixed_1,train,archive_source/dataset.csv
PC-00109,Allergy,english,"I have been having chills, continuous sneezing and shivering for a few days.",chills;continuous_sneezing;shivering,3,en_1,train,archive_source/dataset.csv
PC-00110,Allergy,english,"The patient complains of chills, continuous sneezing and shivering.",chills;continuous_sneezing;shivering,3,en_2,train,archive_source/dataset.csv
PC-00111,Allergy,english,"My symptoms include chills, continuous sneezing and shivering.",chills;continuous_sneezing;shivering,3,en_3,train,archive_source/dataset.csv
PC-00112,Allergy,english,"For the past week I have experienced chills, continuous sneezing and shivering.",chills;continuous_sneezing;shivering,3,en_4,train,archive_source/dataset.csv
PC-00113,Allergy,english,"I came in because of chills, continuous sneezing and shivering.",chills;continuous_sneezing;shivering,3,en_5,train,archive_source/dataset.csv
PC-00114,Allergy,english,"Lately I feel chills, continuous sneezing and shivering.",chills;continuous_sneezing;shivering,3,en_6,train,archive_source/dataset.csv
PC-00115,Allergy,hiligaynon,"May ginapanas-an, ubo, kag nagakurog ako.",chills;continuous_sneezing;shivering,3,hil_1,train,archive_source/dataset.csv
PC-00116,Allergy,hiligaynon,"Ang pasyente may ginapanas-an, ubo, kag nagakurog.",chills;continuous_sneezing;shivering,3,hil_2,train,archive_source/dataset.csv
PC-00117,Allergy,hiligaynon,"Nagabalati ako sang ginapanas-an, ubo, kag nagakurog.",chills;continuous_sneezing;shivering,3,hil_3,train,archive_source/dataset.csv
PC-00118,Allergy,hiligaynon,"Subong may ginapanas-an, ubo, kag nagakurog ang pasyente.",chills;continuous_sneezing;shivering,3,hil_4,train,archive_source/dataset.csv
PC-00119,Allergy,hiligaynon,"Kag ginapanas-an, ubo, kag nagakurog ko sa sulod sang isa ka semana.",chills;continuous_sneezing;shivering,3,hil_5,train,archive_source/dataset.csv
PC-00120,Allergy,mixed,May ginapanas-an kag ubo ang pasyente. Also reports shivering.,chills;continuous_sneezing;shivering,3,mixed_1,train,archive_source/dataset.csv
PC-00121,GERD,english,"I have been having acidity, chest pain, cough, stomach pain, ulcers on tongue and vomiting for a few days.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,en_1,train,archive_source/dataset.csv
PC-00122,GERD,english,"The patient complains of acidity, chest pain, cough, stomach pain, ulcers on tongue and vomiting.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,en_2,train,archive_source/dataset.csv
PC-00123,GERD,english,"My symptoms include acidity, chest pain, cough, stomach pain, ulcers on tongue and vomiting.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,en_3,train,archive_source/dataset.csv
PC-00124,GERD,english,"For the past week I have experienced acidity, chest pain, cough, stomach pain, ulcers on tongue and vomiting.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,en_4,train,archive_source/dataset.csv
PC-00125,GERD,english,"I came in because of acidity, chest pain, cough, stomach pain, ulcers on tongue and vomiting.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,en_5,train,archive_source/dataset.csv
PC-00126,GERD,english,"Lately I feel acidity, chest pain, cough, stomach pain, ulcers on tongue and vomiting.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,en_6,train,archive_source/dataset.csv
PC-00127,GERD,hiligaynon,"May acidity, hapdi dughan, ubo, sakit tiyan, ulcers on tongue, kag nagsuka ako.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,hil_1,train,archive_source/dataset.csv
PC-00128,GERD,hiligaynon,"Ang pasyente may acidity, hapdi dughan, ubo, sakit tiyan, ulcers on tongue, kag nagsuka.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,hil_2,train,archive_source/dataset.csv
PC-00129,GERD,hiligaynon,"Nagabalati ako sang acidity, hapdi dughan, ubo, sakit tiyan, ulcers on tongue, kag nagsuka.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,hil_3,train,archive_source/dataset.csv
PC-00130,GERD,hiligaynon,"Subong may acidity, hapdi dughan, ubo, sakit tiyan, ulcers on tongue, kag nagsuka ang pasyente.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,hil_4,train,archive_source/dataset.csv
PC-00131,GERD,hiligaynon,"Kag acidity, hapdi dughan, ubo, sakit tiyan, ulcers on tongue, kag nagsuka ko sa sulod sang isa ka semana.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,hil_5,train,archive_source/dataset.csv
PC-00132,GERD,mixed,"May acidity kag hapdi dughan ang pasyente. Also reports cough, stomach pain, ulcers on tongue and vomiting.",acidity;chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,6,mixed_1,train,archive_source/dataset.csv
PC-00133,GERD,english,"I have been having chest pain, cough, stomach pain, ulcers on tongue and vomiting for a few days.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,en_1,train,archive_source/dataset.csv
PC-00134,GERD,english,"The patient complains of chest pain, cough, stomach pain, ulcers on tongue and vomiting.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,en_2,train,archive_source/dataset.csv
PC-00135,GERD,english,"My symptoms include chest pain, cough, stomach pain, ulcers on tongue and vomiting.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,en_3,train,archive_source/dataset.csv
PC-00136,GERD,english,"For the past week I have experienced chest pain, cough, stomach pain, ulcers on tongue and vomiting.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,en_4,train,archive_source/dataset.csv
PC-00137,GERD,english,"I came in because of chest pain, cough, stomach pain, ulcers on tongue and vomiting.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,en_5,train,archive_source/dataset.csv
PC-00138,GERD,english,"Lately I feel chest pain, cough, stomach pain, ulcers on tongue and vomiting.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,en_6,train,archive_source/dataset.csv
PC-00139,GERD,hiligaynon,"May sakit dughan, ubo, panakit tiyan, ulcers on tongue, kag suka ako.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,hil_1,train,archive_source/dataset.csv
PC-00140,GERD,hiligaynon,"Ang pasyente may sakit dughan, ubo, panakit tiyan, ulcers on tongue, kag suka.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,hil_2,train,archive_source/dataset.csv
PC-00141,GERD,hiligaynon,"Nagabalati ako sang sakit dughan, ubo, panakit tiyan, ulcers on tongue, kag suka.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,hil_3,train,archive_source/dataset.csv
PC-00142,GERD,hiligaynon,"Subong may sakit dughan, ubo, panakit tiyan, ulcers on tongue, kag suka ang pasyente.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,hil_4,train,archive_source/dataset.csv
PC-00143,GERD,hiligaynon,"Kag sakit dughan, ubo, panakit tiyan, ulcers on tongue, kag suka ko sa sulod sang isa ka semana.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,hil_5,train,archive_source/dataset.csv
PC-00144,GERD,mixed,"May sakit dughan kag ubo ang pasyente. Also reports stomach pain, ulcers on tongue and vomiting.",chest_pain;cough;stomach_pain;ulcers_on_tongue;vomiting,5,mixed_1,train,archive_source/dataset.csv
PC-00145,GERD,english,"I have been having acidity, chest pain, cough, stomach pain and vomiting for a few days.",acidity;chest_pain;cough;stomach_pain;vomiting,5,en_1,train,archive_source/dataset.csv
PC-00146,GERD,english,"The patient complains of acidity, chest pain, cough, stomach pain and vomiting.",acidity;chest_pain;cough;stomach_pain;vomiting,5,en_2,train,archive_source/dataset.csv
PC-00147,GERD,english,"My symptoms include acidity, chest pain, cough, stomach pain and vomiting.",acidity;chest_pain;cough;stomach_pain;vomiting,5,en_3,train,archive_source/dataset.csv
PC-00148,GERD,english,"For the past week I have experienced acidity, chest pain, cough, stomach pain and vomiting.",acidity;chest_pain;cough;stomach_pain;vomiting,5,en_4,train,archive_source/dataset.csv
PC-00149,GERD,english,"I came in because of acidity, chest pain, cough, stomach pain and vomiting.",acidity;chest_pain;cough;stomach_pain;vomiting,5,en_5,train,archive_source/dataset.csv
