variant_id,variant,canonical_phrase,concept_id,canonical_name,language,status
SEV0105,"sakit sa mata","sakit mata",eye_pain,"Eye Pain",mixed,active
SEV0106,bleeding,nagadugo,bleeding,Bleeding,mixed,active
SEV0107,nagadugo,nagadugo,bleeding,Bleeding,mixed,active
SEV0108,nagdugo,nagadugo,bleeding,Bleeding,mixed,active
SEV0109,dumudugo,nagadugo,bleeding,Bleeding,mixed,active
SEV0110,"may dugo",nagadugo,bleeding,Bleeding,mixed,active
SEV0111,gadugo,nagadugo,bleeding,Bleeding,mixed,active
SEV0112,weakness,kaluya,weakness,Weakness,mixed,active
SEV0113,kaluya,kaluya,weakness,Weakness,mixed,active
SEV0114,nangaluya,kaluya,weakness,Weakness,mixed,active
SEV0115,nanlalata,kaluya,weakness,Weakness,mixed,active
SEV0116,weak,kaluya,weakness,Weakness,mixed,active
SEV0117,panghihina,kaluya,weakness,Weakness,mixed,active
SEV0118,burn,nasunog,burn,Burn,mixed,active
SEV0119,burns,nasunog,burn,Burn,mixed,active
SEV0120,nasunog,nasunog,burn,Burn,mixed,active
SEV0121,napaso,nasunog,burn,Burn,mixed,active
SEV0122,nasunugan,nasunog,burn,Burn,mixed,active
SEV0123,paso,nasunog,burn,Burn,mixed,active
