complaint_id,complaint,language,expected_class,status
CC00053,I feel 3-methylglutaconicaciduria. [53],english,,active
CC00054,I have abnormal axial muscle morphology for this morning. [54],english,,active
CC00055,I have asthma and abnormal caudate nucleus morphology. [55],english,,active
CC00056,"No abnormal bronchus physiology, only tired. [56]",english,,active
CC00057,Severe difficulty breathing since this morning. [57],english,,active
CC00058,"No abnormal atrioventricular conduction, only tired. [58]",english,,active
CC00059,My wound is infected. [59],english,,active
CC00060,My child has abnormal blood gas level in cord blood. [60],english,,active
CC00061,I have diabetes and abnormal brainstem auditory-evoked potentials. [61],english,,active
CC00062,I feel abnormal anterior cricoarytenoid muscle morphology. [62],english,,active
CC00063,I fainted. [63],english,,active
CC00064,My left arm is numb. [64],english,,active
CC00065,I have asthma and abducted thumb. [65],english,,active
CC00066,My left arm is numb. [66],english,,active
CC00067,I have been experiencing abnormal blood calcium levels. [67],english,,active
CC00068,I am pregnant and have abnormal axonemal organisation of respiratory motile cilia. [68],english,,active
CC00069,I have diabetes and 5-minute apgar score of 6. [69],english,,active
CC00070,My child has abnormal biochemical composition of broncho-alveolar fluid. [70],english,,active
CC00071,I am pregnant and have 4-hydroxyisovaleric acid present in urine. [71],english,,active
CC00072,I have diabetes and abnormal blood zinc concentration. [72],english,,active
CC00073,Mild abnormal aortic valve cusp morphology today. [73],english,,active
CC00074,I feel abnormal blood-gas level. [74],english,,active
CC00075,I cannot breathe. [75],english,,active
CC00076,Temperature 38.5 with abn lev drug/meds/biol subst in specmn fr dgstv org/abd cav. [76],english,,active
CC00077,I need a follow-up. [77],english,,active
CC00078,My left arm is numb. [78],english,,active
CC00079,My left arm is numb. [79],english,,active
CC00080,My throat hurts. [80],english,,active
CC00081,"No abnormal blood clot, only tired. [81]",english,,active
CC00082,My throat hurts. [82],english,,active
CC00083,My child has abnormal bone collagen fibril morphology. [83],english,,active
CC00084,I need a follow-up. [84],english,,active
CC00085,I have 10-minute apgar score of 4. [85],english,,active
CC00086,Temperature 38.5 with abnormal aromatase activity. [86],english,,active
CC00087,My left arm is numb. [87],english,,active
CC00088,I have been experiencing abnormal antehelix. [88],english,,active
CC00089,My child has abduction contracture of the shoulder. [89],english,,active
CC00090,My child has abnormal acetabulum morphology. [90],english,,active
CC00091,My child has abn lev substnc nonmed source in specmn fr dgstv org/abd cav. [91],english,,active
CC00092,I need a follow-up. [92],english,,active
CC00093,My left arm is numb. [93],english,,active
CC00094,I am pregnant and have abnormal adiponectin level. [94],english,,active
CC00095,Temperature 38.2 with abn cytolog find in specmn from oth female genital organs. [95],english,,active
CC00096,My left arm is numb. [96],english,,active
CC00097,Pain 7/10 in my ear for 3 days. [97],english,,active
CC00098,My left arm is numb. [98],english,,active
CC00099,My wound is infected. [99],english,,active
CC00100,I have diabetes and abnormal cartilage morphology. [100],english,,active
CC00101,I have diabetes and abnormal breath sound. [101],english,,active
CC00102,"No 2-methylbutyryl glycinuria, only tired. [102]",english,,active
CC00103,I need medicine refill. [103],english,,active
CC00104,Pain 8/10 in my arm for since yesterday. [104],english,,active
CC00105,I have abnormal antimullerian hormone level for 1 week. [105],english,,active
CC00106,Mild 11 pairs of ribs today. [106],english,,active
CC00107,Pain 10/10 in my ear for since yesterday. [107],english,,active
CC00108,I have 10-minute apgar score of 6. [108],english,,active
CC00109,My sugar is high. [109],english,,active
CC00110,I need a follow-up. [110],english,,active
CC00111,My sugar is high. [111],english,,active
CC00112,My baby keeps vomiting. [112],english,,active
CC00113,My baby keeps vomiting. [113],english,,active
CC00114,My blood pressure is high. [114],english,,active
CC00115,I have diabetes and abnormal blood gas level in cord blood. [115],english,,active
CC00116,I have diabetes and bleeding. [116],english,,active
CC00117,I cannot breathe. [117],english,,active
CC00118,I have been experiencing abnormal anus physiology. [118],english,,active
CC00119,My left arm is numb. [119],english,,active
CC00120,I have abnormal 3rd metacarpal epiphysis morphology. [120],english,,active
CC00121,I have abnormal 2nd toe phalanx morphology. [121],english,,active
CC00122,I cannot breathe. [122],english,,active
CC00123,I need a follow-up. [123],english,,active
CC00124,"No abnormal anterior fontanelle morphology, only tired. [124]",english,,active
CC00125,Pain 5/10 in my ear for 1 day. [125],english,,active
CC00126,I have been experiencing abnormal atrioventricular conduction. [126],english,,active
CC00127,I feel abnormal belly button. [127],english,,active
CC00128,I have been experiencing 2'-deoxyadenosine (dado) elevated in urine. [128],english,,active
CC00129,Temperature 39.0 with abnormal 5th toe morphology. [129],english,,active
CC00130,My blood pressure is high. [130],english,,active
CC00131,My baby keeps vomiting. [131],english,,active
CC00132,I have abnormal atrioventricular connection for 1 week. [132],english,,active
CC00133,My left arm is numb. [133],english,,active
CC00134,I have asthma and abnormal 4th toe morphology. [134],english,,active
CC00135,I have been experiencing abnormal amplitude of flash visual evoked potentials. [135],english,,active
CC00136,I have abducens nerve palsy for 5 days. [136],english,,active
CC00137,I need a follow-up. [137],english,,active
CC00138,I cannot breathe. [138],english,,active
CC00139,I have abnormal antihelix morphology for 3 hours. [139],english,,active
CC00140,"No 10-minute apgar score of 4, only tired. [140]",english,,active
CC00141,My child has abnormal affect regulation. [141],english,,active
CC00142,Mild abnormal bowman space morphology today. [142],english,,active
CC00143,I have diabetes and abnormal ca-phos regulating hormone level. [143],english,,active
CC00144,Severe abnormal brain choline/creatine ratio by mrs since 3 days. [144],english,,active
CC00145,My child has abnormal anterior segment morphology. [145],english,,active
CC00146,Pain 9/10 in my arm for 5 days. [146],english,,active
CC00147,I need medicine refill. [147],english,,active
CC00148,I feel abnormal blood calcium levels. [148],english,,active
CC00149,Mild abnormal breast physiology today. [149],english,,active
CC00150,My child has abnormal auditory function study. [150],english,,active
CC00151,My arm hurts. [151],english,,active
CC00152,I fainted. [152],english,,active
CC00153,My ear hurts. [153],english,,active
CC00154,My wound is infected. [154],english,,active
CC00155,My child has abnormal amplitude of pattern electroretinogram. [155],english,,active
CC00156,I feel abnormal arcuate artery endothelium morphology. [156],english,,active
CC00157,I cannot breathe. [157],english,,active
CC00158,I need a follow-up. [158],english,,active
CC00159,"No abnormal carbon dioxide level in cord blood, only tired. [159]",english,,active
CC00160,"No 10 pairs of ribs, only tired. [160]",english,,active
CC00161,"No abnormal basal ganglia mri signal intensity, only tired. [161]",english,,active
CC00162,I have diabetes and abnormal blood inorganic cation concentration. [162],english,,active
CC00163,I cannot breathe. [163],english,,active
CC00164,Pain 9/10 in my arm for 3 days. [164],english,,active
CC00165,I have difficulty breathing. [165],english,,active
CC00166,I feel abnormal blink rate. [166],english,,active
CC00167,I cannot breathe. [167],english,,active
CC00168,My left arm is numb. [168],english,,active
CC00169,I have abnormal aortic valve cusp morphology. [169],english,,active
CC00170,I feel abnormal auditory canal morphology. [170],english,,active
CC00171,Severe abnormal ca-phos regulating hormone level since 1 day. [171],english,,active
CC00172,My left arm is numb. [172],english,,active
CC00173,My child has abdominal colic. [173],english,,active
CC00174,Temperature 38.5 with abnormal arterial physiology. [174],english,,active
CC00175,My sugar is high. [175],english,,active
CC00176,"No abducens nerve paresis, only tired. [176]",english,,active
CC00177,Mild 2 vessel cord today. [177],english,,active
CC00178,I have abnormal cardiac cath. [178],english,,active
CC00179,Pain 8/10 in my ear for since yesterday. [179],english,,active
CC00180,My blood pressure is high. [180],english,,active
CC00181,My child has diarrhea. [181],english,,active
CC00182,My baby keeps vomiting. [182],english,,active
CC00183,"No 1-minute apgar score of 2, only tired. [183]",english,,active
CC00184,My head hurts. [184],english,,active
CC00185,I feel abnormal cd8+ t cell subsets. [185],english,,active
CC00186,"No abnormal auditory reflex, only tired. [186]",english,,active
CC00187,Mild abnormal blood k concentration today. [187],english,,active
CC00188,I need a follow-up. [188],english,,active
CC00189,"I have 2,8-dihydroxyadenine urinary crystals. [189]",english,,active
CC00190,I fainted. [190],english,,active
CC00191,I fainted. [191],english,,active
CC00192,I have abnormal bones of 4th finger. [192],english,,active
CC00193,My child has wheezing. [193],english,,active
CC00194,I have abn lev substnc nonmed source in specmn fr dgstv org/abd cav for 3 hours. [194],english,,active
CC00195,My child has 3-hydroxyisobutyryl-coa hydrolase deficiency. [195],english,,active
CC00196,My sugar is high. [196],english,,active
CC00197,I have abdominal bloating for 3 hours. [197],english,,active
CC00198,I have 4-hydroxyisovaleric acid present in urine for this morning. [198],english,,active
CC00199,I need medicine refill. [199],english,,active
CC00200,I fainted. [200],english,,active
CC00201,Mild 4-hydroxyisovaleric acid present in urine today. [201],english,,active
CC00202,I need a follow-up. [202],english,,active
CC00203,I need a follow-up. [203],english,,active
CC00204,My baby keeps vomiting. [204],english,,active
CC00205,My blood pressure is high. [205],english,,active
CC00206,I have 2nd-5th toe middle phalangeal hypoplasia. [206],english,,active
CC00207,"No abn lev enzymes in specimens from dgstv org/abd cav, only tired. [207]",english,,active
CC00208,My baby keeps vomiting. [208],english,,active
CC00209,My blood pressure is high. [209],english,,active
CC00210,I have 10 pairs of ribs for 3 days. [210],english,,active
CC00211,My arm hurts. [211],english,,active
CC00212,Pain 9/10 in my eye for today. [212],english,,active
CC00213,My baby keeps vomiting. [213],english,,active
CC00214,I am pregnant and have abnormal blood calcium concentration. [214],english,,active
CC00215,Severe vision loss since 2 days. [215],english,,active
CC00216,I have been experiencing 10-minute apgar score of 6. [216],english,,active
CC00217,My wound is infected. [217],english,,active
CC00218,My child has abnormal alpha granule distribution. [218],english,,active
CC00219,I have diabetes and abnormal breast morphology. [219],english,,active
CC00220,My ear hurts. [220],english,,active
CC00221,I have asthma and swelling. [221],english,,active
CC00222,My left arm is numb. [222],english,,active
CC00223,I cannot breathe. [223],english,,active
CC00224,I have 2--hydroxyphenylacetic aciduria. [224],english,,active
CC00225,My left arm is numb. [225],english,,active
CC00226,My head hurts. [226],english,,active
CC00227,I feel abnormal brain scan. [227],english,,active
CC00228,I need a follow-up. [228],english,,active
CC00229,My left arm is numb. [229],english,,active
CC00230,I fainted. [230],english,,active
CC00231,I feel abnormal adrenal morphology. [231],english,,active
CC00232,"No abdominal bloating, only tired. [232]",english,,active
CC00233,I have abnormal amino acid levels in cerebrospinal fluid for 1 day. [233],english,,active
CC00234,Severe abnormal 5th toe morphology since this morning. [234],english,,active
CC00235,I have abnormal brain glutamine level by mrs. [235],english,,active
CC00236,My blood pressure is high. [236],english,,active
CC00237,My child has abnormal 2nd toe morphology. [237],english,,active
CC00238,I have 6 metacarpals. [238],english,,active
CC00239,I fainted. [239],english,,active
CC00240,Mild abnormal b cell subset distribution today. [240],english,,active
CC00241,Mild abnormal bone maturation of vertebra today. [241],english,,active
CC00242,Mild 3rd toe clinodactyly today. [242],english,,active
CC00243,I have diabetes and abnormal blood carbon dioxide level. [243],english,,active
CC00244,Severe abnormal aortic valve cusp morphology since 3 hours. [244],english,,active
CC00245,I have abnormal amplitude of light-adapted flicker electroretinogram for 1 day. [245],english,,active
CC00246,I have 6 metacarpals. [246],english,,active
CC00247,Temperature 38.2 with abnormal cardiomyocyte connexin43 staining. [247],english,,active
CC00248,I am pregnant and have abnormal cardiomyocyte dystrophin staining. [248],english,,active
CC00249,I feel abnormal blood carbon dioxide level. [249],english,,active
CC00250,My eye hurts. [250],english,,active
CC00251,My baby keeps vomiting. [251],english,,active
CC00252,"No abnormal brain fdg positron emission tomography, only tired. [252]",english,,active
CC00253,Temperature 39.5 with abnormal blink rate. [253],english,,active
CC00254,I have been experiencing abnormal brainstem morphology. [254],english,,active
CC00255,I have been experiencing 2-hydroxy-3-methylvaleric acid high in urine. [255],english,,active
CC00256,I have been experiencing ear pain. [256],english,,active
CC00257,My blood pressure is high. [257],english,,active
CC00258,I fainted. [258],english,,active
CC00259,I have diabetes and abnormal branched-chain amino acid levels in cerbrospinal fluid. [259],english,,active
CC00260,Mild 5-minute apgar score of 5 today. [260],english,,active
CC00261,I have abnormal blood folate concentration. [261],english,,active
CC00262,I have been experiencing abnormal cd8+ t cell proportion. [262],english,,active
CC00263,My left arm is numb. [263],english,,active
CC00264,I have asthma and abnormal b cell morphology. [264],english,,active
CC00265,I have abnormal brain morphology for 5 days. [265],english,,active
CC00266,I cannot breathe. [266],english,,active
CC00267,My head hurts. [267],english,,active
CC00268,My blood pressure is high. [268],english,,active
CC00269,I need medicine refill. [269],english,,active
CC00270,Severe 5-minute apgar score of 3 since since yesterday. [270],english,,active
CC00271,I have asthma and abdominal obesity. [271],english,,active
CC00272,My left arm is numb. [272],english,,active
CC00273,I have abn lev substnc nonmed source in specmn fr dgstv org/abd cav. [273],english,,active
CC00274,Severe abnormal amino acid levels in cerebrospinal fluid since 1 day. [274],english,,active
CC00275,My baby keeps vomiting. [275],english,,active
CC00276,My left arm is numb. [276],english,,active
CC00277,"No 1-minute apgar score of 6, only tired. [277]",english,,active
CC00278,My left arm is numb. [278],english,,active
CC00279,I need a follow-up. [279],english,,active
CC00280,I have abnormal aortic valve cusp morphology for 2 days. [280],english,,active
CC00281,My wound is infected. [281],english,,active
CC00282,My left arm is numb. [282],english,,active
CC00283,Mild abnormal appendicular skeleton morphology today. [283],english,,active
CC00284,I have diabetes and abnormal cardiac mri. [284],english,,active
CC00285,Pain 10/10 in my head for 2 days. [285],english,,active
CC00286,I have been experiencing 3-methylglutaricaciduria. [286],english,,active
CC00287,My back hurts. [287],english,,active
CC00288,Temperature 37.8 with abnormal bronchial artery morphology. [288],english,,active
CC00289,My left arm is numb. [289],english,,active
CC00290,My child has abnormal c peptide level. [290],english,,active
CC00291,I have diabetes and abnormal brain creatine level by magnetic resonance spectroscopy. [291],english,,active
CC00292,I feel 2nd toe symphalangism. [292],english,,active
CC00293,My baby keeps vomiting. [293],english,,active
CC00294,"No abnormal 2nd finger morphology, only tired. [294]",english,,active
CC00295,I have been experiencing palpitations. [295],english,,active
CC00296,I have asthma and abnormal aspartate-family amino acid levels in cerebrospinal fluid. [296],english,,active
CC00297,Mild abnormal bladder morphology today. [297],english,,active
CC00298,I am pregnant and have dizziness. [298],english,,active
CC00299,I have diabetes and abnormal c-reactive protein level. [299],english,,active
CC00300,I need a follow-up. [300],english,,active
CC00301,"No abnormal aryepiglottic folds, only tired. [301]",english,,active
CC00302,I need medicine refill. [302],english,,active
CC00303,I have abnormal branched-chain amino acid levels in cerbrospinal fluid for this morning. [303],english,,active
CC00304,My sugar is high. [304],english,,active
CC00305,Pain 4/10 in my stomach for today. [305],english,,active
CC00306,I have abnormal bronchoalveolar fluid protein level for 3 days. [306],english,,active
CC00307,I fainted. [307],english,,active
CC00308,My left arm is numb. [308],english,,active
CC00309,Temperature 39.0 with abnormal amplitude of flash visual evoked potentials. [309],english,,active
CC00310,My wound is infected. [310],english,,active
CC00311,I have diabetes and abnormal blood urea nitrogen concentration. [311],english,,active
CC00312,I have been experiencing swelling. [312],english,,active
CC00313,Severe abnormal beta amyloid 40 level since 5 days. [313],english,,active
CC00314,I have asthma and abnormal caecum morphology. [314],english,,active
CC00315,I have abnormal arterial physiology. [315],english,,active
CC00316,I have diabetes and abnormal blood clot. [316],english,,active
CC00317,My child has abnormal aldolase level. [317],english,,active
CC00318,Temperature 37.8 with abnormal branching pattern of the aortic arch. [318],english,,active
CC00319,I have asthma and abnormal amyloid beta peptide csf concentration. [319],english,,active
CC00320,My baby keeps vomiting. [320],english,,active
CC00321,My child has abn lev drug/meds/biol subst in specimens from oth org/tiss. [321],english,,active
CC00322,"I feel 46,xy gonadal dysgenesis. [322]",english,,active
CC00323,I have asthma and abnormal 4th finger phalanx morphology. [323],english,,active
CC00324,My blood pressure is high. [324],english,,active
CC00325,I have abnormal 2nd toe morphology for 3 days. [325],english,,active
CC00326,My wound is infected. [326],english,,active
CC00327,I have been experiencing abnormal buccal fat pad morphology. [327],english,,active
CC00328,I feel abnormal alveolar macrophage morphology. [328],english,,active
CC00329,I have asthma and abnormal cd25 upregulation upon tcr activation. [329],english,,active
CC00330,My baby keeps vomiting. [330],english,,active
CC00331,My baby keeps vomiting. [331],english,,active
CC00332,"No abnormal calcification of the carpal bones, only tired. [332]",english,,active
CC00333,"I have asthma and 2,8-dihydroxyadenine urinary crystals. [333]",english,,active
CC00334,I feel chills. [334],english,,active
CC00335,I need a follow-up. [335],english,,active
CC00336,My ear hurts. [336],english,,active
CC00337,"No aberrant thyroid gland, only tired. [337]",english,,active
CC00338,I have been experiencing 5-minute apgar score of 5. [338],english,,active
CC00339,Temperature 39.0 with 2-hydroxyadipic acid high in urine. [339],english,,active
CC00340,My blood pressure is high. [340],english,,active
CC00341,I fainted. [341],english,,active
CC00342,I have 4th finger camptodactyly. [342],english,,active
CC00343,I feel aberrant thyroid. [343],english,,active
CC00344,I have been experiencing aberrant neuronal branching. [344],english,,active
CC00345,My sugar is high. [345],english,,active
CC00346,My blood pressure is high. [346],english,,active
CC00347,Mild nausea today. [347],english,,active
CC00348,My sugar is high. [348],english,,active
CC00349,"No abn radlgc find on dx imaging renal pelv, ureter, or blddr, only tired. [349]",english,,active
CC00350,I have abnormal arm span for 1 day. [350],english,,active
CC00351,I need a follow-up. [351],english,,active
CC00352,I have diabetes and abnormal alveolar ridge morphology. [352],english,,active
CC00353,I need medicine refill. [353],english,,active
CC00354,I have diabetes and abnormal ascending aorta morphology. [354],english,,active
CC00355,Temperature 37.8 with abnormal amyloid beta peptide csf concentration. [355],english,,active
CC00356,Severe abnormal amplitude of pattern onset/offset vep since 3 days. [356],english,,active
CC00357,Severe abnormal cd8+ t cell subsets since 1 week. [357],english,,active
CC00358,My wound is infected. [358],english,,active
CC00359,Mild abn immunolog findings in specmn from female genital organs today. [359],english,,active
CC00360,I cannot breathe. [360],english,,active
CC00361,I cannot breathe. [361],english,,active
CC00362,I need a follow-up. [362],english,,active
CC00363,I have abnormal calvaria morphology for 5 days. [363],english,,active
CC00364,I cannot breathe. [364],english,,active
CC00365,"No abnormal basal ganglia morphology, only tired. [365]",english,,active
CC00366,Temperature 38.5 with abnormal cd4+ t cell subsets. [366],english,,active
CC00367,I cannot breathe. [367],english,,active
CC00368,My left arm is numb. [368],english,,active
CC00369,I feel 2 vessel cord. [369],english,,active
CC00370,Pain 9/10 in my leg for 3 hours. [370],english,,active
CC00371,Temperature 37.8 with 4-hydroxyphenylacetic aciduria. [371],english,,active
CC00372,I have asthma and abnormal ca2+ po4 regulating hormone level. [372],english,,active
CC00373,I need medicine refill. [373],english,,active
CC00374,I am pregnant and have abnormal b cell proliferation. [374],english,,active
CC00375,Pain 8/10 in my ear for 3 days. [375],english,,active
CC00376,I have diabetes and abnormal biparietal diameter. [376],english,,active
CC00377,I fainted. [377],english,,active
CC00378,Temperature 38.2 with abnormal cardiac catheterization. [378],english,,active
CC00379,My blood pressure is high. [379],english,,active
CC00380,Mild abn cytolog find in specmn from oth female genital organs today. [380],english,,active
CC00381,My wound is infected. [381],english,,active
CC00382,I need a follow-up. [382],english,,active
CC00383,My blood pressure is high. [383],english,,active
CC00384,"No abnormal blood sodium concentration, only tired. [384]",english,,active
CC00385,My wound is infected. [385],english,,active
CC00386,Temperature 38.2 with abnormal brain fdg positron emission tomography. [386],english,,active
CC00387,I have asthma and abnormal b cell proliferation. [387],english,,active
CC00388,Mild abnormal brainstem mri signal intensity today. [388],english,,active
CC00389,My blood pressure is high. [389],english,,active
CC00390,I have asthma and abnormal body mass index. [390],english,,active
CC00391,"No abnormal breast physiology, only tired. [391]",english,,active
CC00392,I cannot breathe. [392],english,,active
CC00393,I have diabetes and abnormal branched-chain amino acid levels in cerbrospinal fluid. [393],english,,active
CC00394,Severe 5-hydroxymethyluracil high in csf since 1 day. [394],english,,active
CC00395,Severe abnormal branching pattern of the aortic arch since 1 week. [395],english,,active
CC00396,"No burn, only tired. [396]",english,,active
CC00397,My sugar is high. [397],english,,active
CC00398,I have abnormal blood o2 level for this morning. [398],english,,active
CC00399,My sugar is high. [399],english,,active
CC00400,My left arm is numb. [400],english,,active
CC00401,I have diabetes and abnormal aspartate-family amino acid levels in cerebrospinal fluid. [401],english,,active
CC00402,My baby keeps vomiting. [402],english,,active
CC00403,I have diabetes and abnormal aryepiglottic fold morphology. [403],english,,active
CC00404,I am pregnant and have abnormal ca-phos regulating hormone level. [404],english,,active
CC00405,I have diabetes and abnormal atrioventricular valve morphology. [405],english,,active
CC00406,"No abnormal blood cl concentration, only tired. [406]",english,,active
CC00407,I cannot breathe. [407],english,,active
CC00408,I have asthma and abnormal apoptosis. [408],english,,active
CC00409,I have abnormal brain positron emission tomography. [409],english,,active
CC00410,I have 2:1 atrioventricular block for today. [410],english,,active
CC00411,I have asthma and abdominal wall defect. [411],english,,active
CC00412,My baby keeps vomiting. [412],english,,active
CC00413,I need a follow-up. [413],english,,active
CC00414,Mild abnormal caecum morphology today. [414],english,,active
CC00415,I have diabetes and abnormal brain choline/creatine ratio by mrs. [415],english,,active
CC00416,I have asthma and abnormal 5th metacarpal morphology. [416],english,,active
CC00417,My child has abnormal blood potassium concentration. [417],english,,active
CC00418,Mild abnormal breast physiology today. [418],english,,active
CC00419,Severe 5-hydroxymethyluracil high in csf since 5 days. [419],english,,active
CC00420,I have been experiencing 4-layered lissencephaly. [420],english,,active
CC00421,My child has abnormal abducens nerve morphology. [421],english,,active
CC00422,My child has abnormal arcuate vein intima/media morphology. [422],english,,active
CC00423,I feel confusion. [423],english,,active
CC00424,I have asthma and abnormal bronchus physiology. [424],english,,active
CC00425,I fainted. [425],english,,active
CC00426,I have been experiencing abnormal cd4+ t cell subsets. [426],english,,active
CC00427,I need medicine refill. [427],english,,active
CC00428,Mild abn lev enzymes in specimens from female genital organs today. [428],english,,active
CC00429,Severe abducens nerve paralysis since this morning. [429],english,,active
CC00430,I have asthma and 2 vessel umbilical cord. [430],english,,active
CC00431,Temperature 38.5 with abnormal cardiomyocyte dystrophin staining. [431],english,,active
CC00432,I cannot breathe. [432],english,,active
CC00433,My sugar is high. [433],english,,active
CC00434,My blood pressure is high. [434],english,,active
CC00435,My sugar is high. [435],english,,active
CC00436,I have abnormal anterior semicircular canal morphology. [436],english,,active
CC00437,I have asthma and abnormal caecum morphology. [437],english,,active
CC00438,I have diabetes and abnormal breast physiology. [438],english,,active
CC00439,I need a follow-up. [439],english,,active
CC00440,I have been experiencing chills. [440],english,,active
CC00441,Mild abnormal branched-chain amino acid levels in cerbrospinal fluid today. [441],english,,active
CC00442,My left arm is numb. [442],english,,active
CC00443,I cannot breathe. [443],english,,active
CC00444,Pain 5/10 in my head for today. [444],english,,active
CC00445,My baby keeps vomiting. [445],english,,active
CC00446,I need a follow-up. [446],english,,active
CC00447,I have been experiencing abnormal alveolar ridge morphology. [447],english,,active
CC00448,My wound is infected. [448],english,,active
CC00449,I have abnormal cd4+cd25+ regulatory t cell proportion. [449],english,,active
CC00450,I have seizure. [450],english,,active
CC00451,Severe aberrant neuronal branching since 1 week. [451],english,,active
CC00452,I have been experiencing 2-methylcitric acid high in urine. [452],english,,active
CC00453,I cannot breathe. [453],english,,active
CC00454,My wound is infected. [454],english,,active
CC00455,My head hurts. [455],english,,active
CC00456,I am pregnant and have abnormal amplitude of dark-adapted dim flash electroretinogram. [456],english,,active
CC00457,My baby keeps vomiting. [457],english,,active
CC00458,I am pregnant and have abnormal affect regulation. [458],english,,active
CC00459,I fainted. [459],english,,active
CC00460,Mild aberrant thyroid gland today. [460],english,,active
CC00461,I have asthma and 2-hydroxyglutarate aciduria. [461],english,,active
CC00462,My baby keeps vomiting. [462],english,,active
CC00463,Temperature 38.2 with abnormal axonemal organisation of respiratory motile cilia. [463],english,,active
CC00464,My wound is infected. [464],english,,active
CC00465,My arm hurts. [465],english,,active
CC00466,Pain 4/10 in my leg for since yesterday. [466],english,,active
CC00467,My child has abnormal anus physiology. [467],english,,active
CC00468,My left arm is numb. [468],english,,active
CC00469,I need a follow-up. [469],english,,active
CC00470,My sugar is high. [470],english,,active
CC00471,I have been experiencing abnormal biochemical composition of broncho-alveolar fluid. [471],english,,active
CC00472,Pain 5/10 in my abdomen for 2 days. [472],english,,active
CC00473,My blood pressure is high. [473],english,,active
CC00474,I have abdominal adhesions for 3 days. [474],english,,active
CC00475,My blood pressure is high. [475],english,,active
CC00476,I have diabetes and 10-minute apgar score of 4. [476],english,,active
CC00477,My wound is infected. [477],english,,active
CC00478,Pain 5/10 in my arm for 1 day. [478],english,,active
CC00479,Mild abnormal cd8+ t cell subsets today. [479],english,,active
CC00480,My blood pressure is high. [480],english,,active
CC00481,Mild 3-methylcrotonyl coa carboxylase low in fibroblasts today. [481],english,,active
CC00482,I feel 5-minute apgar score of 6. [482],english,,active
CC00483,I cannot breathe. [483],english,,active
CC00484,I cannot breathe. [484],english,,active
CC00485,I have been experiencing abnormal areolar morphology. [485],english,,active
CC00486,Pain 9/10 in my stomach for 2 days. [486],english,,active
CC00487,Pain 4/10 in my chest for 2 days. [487],english,,active
CC00488,I have been experiencing abnormal cardiomyocyte morphology. [488],english,,active
CC00489,I have abnormal autonomic nervous system morphology. [489],english,,active
CC00490,My blood pressure is high. [490],english,,active
