id,medical_condition,symptom,category,severity_level,urgency_score,emergency_flag,recommended_action,provider_required,hospital_referral,language,synonyms,keywords,hiligaynon_term,status
CTS0019,asthma,wheezing;shortness of breath,Respiratory,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,asthma;hika;hika ko;hubak,asthma,hika,active
CTS0020,back infection,back infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon likod;may nana ko sa likod;may nana likod;may nana likod ko;may nana sa akon likod;may nana sa likod ko,back infection,may nana akon likod,active
CTS0021,back wound,back wound,Wound,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,may pilas ako sa likod;may pilas akon likod;may pilas ko sa likod;may pilas sa likod ko;nagdugo ang pilas sa likod ko;nagdugo pilas ko sa likod;nagdugo pilas sa likod ko,back wound,may pilas ako sa likod,active
CTS0022,bleeding hand wound,bleeding hand wound,Wound,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,bag-o lang may pilas ko sa kamot kag nag dugo gid;bag-o lang may pilas ko sa kamot kag nag dugo gid ko;bag-o lang may pilas ko sa kamot kag nag dugo ko gid;bag-o lang may pilas ko sa kamot kag nag dugo man;bag-o lang may pilas ko sa kamot kag nag dugo na gid;bag-o lang may pilas ko sa kamot kag nagdugo gid;bag-o lang may pilas ko sa kamot kag nagdugo gid ko;bag-o lang may pilas ko sa kamot kag nagdugo ko gid;bag-o lang may pilas ko sa kamot kag nagdugo man;bag-o lang may pilas ko sa kamot kag nagdugo na gid;bag-o lang may pilas ku sa kamot kag nagdugo gid;bag-o lang may pilas ku sa kamot kag nagdugo gid ko;bag-o lang may pilas ku sa kamot kag nagdugo ko gid;bag-o lang may pilas ku sa kamot kag nagdugo man;bag-o lang may pilas ku sa kamot kag nagdugo na gid;basin may pilas ko sa kamot kag nag dugo gid;basin may pilas ko sa kamot kag nag dugo gid ko;basin may pilas ko sa kamot kag nag dugo ko gid;basin may pilas ko sa kamot kag nag dugo man;basin may pilas ko sa kamot kag nag dugo na gid;basin may pilas ko sa kamot kag nagdugo gid;basin may pilas ko sa kamot kag nagdugo gid ko;basin may pilas ko sa kamot kag nagdugo ko gid;basin may pilas ko sa kamot kag nagdugo man;basin may pilas ko sa kamot kag nagdugo na gid;basin may pilas ku sa kamot kag nagdugo gid;basin may pilas ku sa kamot kag nagdugo gid ko;basin may pilas ku sa kamot kag nagdugo ko gid;basin may pilas ku sa kamot kag nagdugo man;basin may pilas ku sa kamot kag nagdugo na gid;daw may pilas ko sa kamot kag nag dugo gid;daw may pilas ko sa kamot kag nag dugo gid ko;daw may pilas ko sa kamot kag nag dugo ko gid;daw may pilas ko sa kamot kag nag dugo man;daw may pilas ko sa kamot kag nag dugo na gid;daw may pilas ko sa kamot kag nagdugo gid;daw may pilas ko sa kamot kag nagdugo gid ko;daw may pilas ko sa kamot kag nagdugo ko gid;daw may pilas ko sa kamot kag nagdugo man;daw may pilas ko sa kamot kag nagdugo na gid;daw may pilas ku sa kamot kag nagdugo gid;daw may pilas ku sa kamot kag nagdugo gid ko;daw may pilas ku sa kamot kag nagdugo ko gid;daw may pilas ku sa kamot kag nagdugo man;daw may pilas ku sa kamot kag nagdugo na gid;dugay na may pilas ko sa kamot kag nag dugo gid;dugay na may pilas ko sa kamot kag nag dugo gid ko;dugay na may pilas ko sa kamot kag nag dugo ko gid;dugay na may pilas ko sa kamot kag nag dugo man;dugay na may pilas ko sa kamot kag nag dugo na gid;dugay na may pilas ko sa kamot kag nagdugo gid;dugay na may pilas ko sa kamot kag nagdugo gid ko;dugay na may pilas ko sa kamot kag nagdugo ko gid;dugay na may pilas ko sa kamot kag nagdugo man;dugay na may pilas ko sa kamot kag nagdugo na gid;dugay na may pilas ku sa kamot kag nagdugo gid;dugay na may pilas ku sa kamot kag nagdugo gid ko;dugay na may pilas ku sa kamot kag nagdugo ko gid;dugay na may pilas ku sa kamot kag nagdugo man;dugay na may pilas ku sa kamot kag nagdugo na gid;ginabalaka ko may pilas ko sa kamot kag nag dugo gid;ginabalaka ko may pilas ko sa kamot kag nag dugo gid ko;ginabalaka ko may pilas ko sa kamot kag nag dugo ko gid;ginabalaka ko may pilas ko sa kamot kag nag dugo man;ginabalaka ko may pilas ko sa kamot kag nag dugo na gid;ginabalaka ko may pilas ko sa kamot kag nagdugo gid;ginabalaka ko may pilas ko sa kamot kag nagdugo gid ko;ginabalaka ko may pilas ko sa kamot kag nagdugo ko gid;ginabalaka ko may pilas ko sa kamot kag nagdugo man;ginabalaka ko may pilas ko sa kamot kag nagdugo na gid;ginabalaka ku may pilas ko sa kamot kag nagdugo gid;ginabalaka ku may pilas ko sa kamot kag nagdugo gid ko;ginabalaka ku may pilas ko sa kamot kag nagdugo ko gid;ginabalaka ku may pilas ko sa kamot kag nagdugo man;ginabalaka ku may pilas ko sa kamot kag nagdugo na gid;ginpangayo ko doctor may pilas ko sa kamot kag nag dugo gid;ginpangayo ko doctor may pilas ko sa kamot kag nag dugo gid ko;ginpangayo ko doctor may pilas ko sa kamot kag nag dugo ko gid;ginpangayo ko doctor may pilas ko sa kamot kag nag dugo man;ginpangayo ko doctor may pilas ko sa kamot kag nag dugo na gid;ginpangayo ko doctor may pilas ko sa kamot kag nagdugo gid;ginpangayo ko doctor may pilas ko sa kamot kag nagdugo gid ko;ginpangayo ko doctor may pilas ko sa kamot kag nagdugo ko gid;ginpangayo ko doctor may pilas ko sa kamot kag nagdugo man;ginpangayo ko doctor may pilas ko sa kamot kag nagdugo na gid;ginpangayo ku doctor may pilas ko sa kamot kag nagdugo gid;ginpangayo ku doctor may pilas ko sa kamot kag nagdugo gid ko;ginpangayo ku doctor may pilas ko sa kamot kag nagdugo ko gid;ginpangayo ku doctor may pilas ko sa kamot kag nagdugo man;ginpangayo ku doctor may pilas ko sa kamot kag nagdugo na gid;karon may pilas ko sa kamot kag nag dugo gid;karon may pilas ko sa kamot kag nag dugo gid ko;karon may pilas ko sa kamot kag nag dugo ko gid;karon may pilas ko sa kamot kag nag dugo man;karon may pilas ko sa kamot kag nag dugo na gid;karon may pilas ko sa kamot kag nagdugo gid;karon may pilas ko sa kamot kag nagdugo gid ko;karon may pilas ko sa kamot kag nagdugo ko gid;karon may pilas ko sa kamot kag nagdugo man;karon may pilas ko sa kamot kag nagdugo na gid;karon may pilas ku sa kamot kag nagdugo gid;karon may pilas ku sa kamot kag nagdugo gid ko;karon may pilas ku sa kamot kag nagdugo ko gid;karon may pilas ku sa kamot kag nagdugo man;karon may pilas ku sa kamot kag nagdugo na gid;may pilas ko sa kamot kag nag dugo;may pilas ko sa kamot kag nagdugo;may pilas ku sa kamot kag nagdugo;subong may pilas ko sa kamot kag nag dugo gid;subong may pilas ko sa kamot kag nag dugo gid ko;subong may pilas ko sa kamot kag nag dugo ko gid;subong may pilas ko sa kamot kag nag dugo man;subong may pilas ko sa kamot kag nag dugo na gid;subong may pilas ko sa kamot kag nagdugo gid;subong may pilas ko sa kamot kag nagdugo gid ko;subong may pilas ko sa kamot kag nagdugo ko gid;subong may pilas ko sa kamot kag nagdugo man;subong may pilas ko sa kamot kag nagdugo na gid;subong may pilas ku sa kamot kag nagdugo gid;subong may pilas ku sa kamot kag nagdugo gid ko;subong may pilas ku sa kamot kag nagdugo ko gid;subong may pilas ku sa kamot kag nagdugo man;subong may pilas ku sa kamot kag nagdugo na gid;wala ko kasugtan may pilas ko sa kamot kag nag dugo gid;wala ko kasugtan may pilas ko sa kamot kag nag dugo gid ko;wala ko kasugtan may pilas ko sa kamot kag nag dugo ko gid;wala ko kasugtan may pilas ko sa kamot kag nag dugo man;wala ko kasugtan may pilas ko sa kamot kag nag dugo na gid;wala ko kasugtan may pilas ko sa kamot kag nagdugo gid;wala ko kasugtan may pilas ko sa kamot kag nagdugo gid ko;wala ko kasugtan may pilas ko sa kamot kag nagdugo ko gid;wala ko kasugtan may pilas ko sa kamot kag nagdugo man;wala ko kasugtan may pilas ko sa kamot kag nagdugo na gid;wala ku kasugtan may pilas ko sa kamot kag nagdugo gid;wala ku kasugtan may pilas ko sa kamot kag nagdugo gid ko;wala ku kasugtan may pilas ko sa kamot kag nagdugo ko gid;wala ku kasugtan may pilas ko sa kamot kag nagdugo man;wala ku kasugtan may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,bag-o lang may pilas ko sa kamot kag nag dugo gid,active
CTS0023,bleeding wound,bleeding wound,Wound,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,doc nagdugo pilas ko;dugo gid ang pilas ko;dugo gid ang pilas ku;may dugo sa pilas ko;may dugo sa pilas ku;nag dugo akon pilas;nag dugo ang pilas ko;nag dugo gid pilas ko;nag dugo pilas ko;nagdugo acun pilas;nagdugo akon pilas;nagdugo ang pilas ko;nagdugo ang pilas ku;nagdugo gid pilas ko;nagdugo gid pilas ku;nagdugo pilas ko;nagdugo pilas ku,bleeding wound,doc nagdugo pilas ko,active
CTS0024,bleeding wound with fever,bleeding wound with fever,Infection,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,3 ka adlaw na nagdugo pilas ko kag ginahilanat ko;dugay na nagdugo pilas ko kag ginahilanat ko;nagdugo pilas ko kag ginahilanat ko;nagdugo pilas ko upod sang ginahilanat ko;subong nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,3 ka adlaw na nagdugo pilas ko kag ginahilanat ko,active
CTS0025,body burn,body burn,Burn,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,mapula nasunog lawas ko;may pilas nasunog sa lawas ko;nasunog akon lawas;nasunog gid lawas ko;nasunog ko ang lawas;nasunog lawas ko,body burn,mapula nasunog lawas ko,active
CTS0026,body infection,body infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon lawas;may nana ko sa lawas;may nana lawas;may nana lawas ko;may nana sa akon lawas;may nana sa lawas ko,body infection,may nana akon lawas,active
CTS0027,body swelling with itching,body swelling with itching,Allergy,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,3 ka adlaw na gahubag lawas ko kag gakatol lawas ko;dugay na gahubag lawas ko kag gakatol lawas ko;gahubag lawas ko kag gakatol lawas ko;gahubag lawas ko upod sang gakatol lawas ko;subong gahubag lawas ko kag gakatol lawas ko,body swelling with itching,3 ka adlaw na gahubag lawas ko kag gakatol lawas ko,active
CTS0028,brain infection,brain infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon utok;may nana ko sa utok;may nana sa akon utok;may nana sa utok ko;may nana utok;may nana utok ko,brain infection,may nana akon utok,active
CTS0029,breast infection,breast infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon titi;may nana ko sa titi;may nana sa akon titi;may nana sa titi ko;may nana titi;may nana titi ko,breast infection,may nana akon titi,active
CTS0030,bruise,bruise,Trauma,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,nabun-og ako;nabun-og ko,bruise,nabun-og ako,active
CTS0031,buttocks infection,buttocks infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon tai;may nana ko sa tai;may nana sa akon tai;may nana sa tai ko;may nana tai;may nana tai ko,buttocks infection,may nana akon tai,active
CTS0032,cat bite,cat bite,Bite,URGENT,55,0,Consult a healthcare provider as soon as possible (same day / within hours).,1,0,en;hil,ginakagat sang kuring ko;ginkagat ako sang kuring;ginkagat kuring ako;ginkagat sang kuring ko;may kagat sang kuring ko,cat bite,ginakagat sang kuring ko,active
CTS0033,cheek infection,cheek infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon pisngi;may nana ko sa pisngi;may nana pisngi;may nana pisngi ko;may nana sa akon pisngi;may nana sa pisngi ko,cheek infection,may nana akon pisngi,active
CTS0034,chest infection,chest infection,Infection,NON_URGENT,20,0,Schedule a routine consultation with a healthcare provider.,0,0,en;hil,may nana akon dughan;may nana dughan;may nana dughan ko;may nana ko sa dughan;may nana sa akon dughan;may nana sa dughan ko,chest infection,may nana akon dughan,active
CTS0035,chest pain,chest pain,Cardiovascular,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,ano ang buhaton gasakit dughan ko;ano ang buhaton nga gasakit dughan ko;basin gasakit dughan ko;basin nga gasakit dughan ko;daw gasakit dughan ko;daw nga gasakit dughan ko;perme gasakit dughan ko;perme nga gasakit dughan ko;posible gasakit dughan ko;posible nga gasakit dughan ko,chest pain,ano ang buhaton gasakit dughan ko,active
CTS0036,chest pain with cough,chest pain with cough,Cardiovascular,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,3 ka adlaw na sakit dughan ko kag gahika ko;dugay na sakit dughan ko kag gahika ko;sakit dughan ko kag gahika ko;sakit dughan ko upod sang gahika ko;subong sakit dughan ko kag gahika ko,chest pain with cough,3 ka adlaw na sakit dughan ko kag gahika ko,active
CTS0037,chest pain with shortness of breath,chest pain with shortness of breath,Cardiovascular,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,3 ka adlaw na sakit dughan ko kag dula ginhawa ko;dugay na sakit dughan ko kag dula ginhawa ko;sakit dughan ko kag dula ginhawa ko;sakit dughan ko upod sang dula ginhawa ko;subong sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,3 ka adlaw na sakit dughan ko kag dula ginhawa ko,active
CTS0038,chest pain — cardiac concern,chest pain;diaphoresis,Cardiovascular,EMERGENCY,90,1,Seek emergency medical care immediately / call emergency services.,1,1,en;hil,sakit dughan,chest pain;acs,ginasakit dughan,active
