local_term,english_term,language,status
5 ka adlaw gahubag tiyan ko,abdominal swelling,hiligaynon,active
5 ka adlaw galuya lawas ko,body weakness,hiligaynon,active
5 ka adlaw gasakit ulo ko,head pain,hiligaynon,active
5 ka adlaw ginadudul-om ko,diarrhea,hiligaynon,active
5 ka adlaw ginahilanat ko,fever,hiligaynon,active
5 ka adlaw may nana akon mata,eye infection,hiligaynon,active
5 ka adlaw may pilas ko sa kamot,hand wound,hiligaynon,active
abaga,shoulder,hiligaynon,active
abdominal pain,abdominal pain,hiligaynon,active
abscess,abscess,hiligaynon,active
acid reflux,gastroesophageal reflux disease,hiligaynon,active
acne,acne,hiligaynon,active
adenoid,adenoid hypertrophy,hiligaynon,active
adhesive allergy,contact dermatitis,hiligaynon,active
afib,atrial fibrillation,hiligaynon,active
aids,hiv/aids,hiligaynon,active
alergic,allergy,hiligaynon,active
alergies,allergy,hiligaynon,active
alergy,allergy,hiligaynon,active
alergy sa dust,dust mite allergy,hiligaynon,active
alergy sa mani,peanut allergy,hiligaynon,active
alergy sa pagkaon,food allergy,hiligaynon,active
alergy sa penicilin,penicillin allergy,hiligaynon,active
alergy sa seafood,shellfish allergy,hiligaynon,active
alikabok allergy,dust mite allergy,hiligaynon,active
alipunga,fungal infection,hiligaynon,active
alipunga sa paa,tinea pedis,hiligaynon,active
allergic,allergy,hiligaynon,active
allergic ako sa,allergy,hiligaynon,active
allergic ako sa dust,dust mite allergy,hiligaynon,active
allergic ako sa eggs,egg allergy,hiligaynon,active
allergic ako sa milk,milk allergy,hiligaynon,active
allergic ako sa peanuts,peanut allergy,hiligaynon,active
allergic ako sa penicillin,penicillin allergy,hiligaynon,active
allergic ako sa seafood,shellfish allergy,hiligaynon,active
allergic ako sa shrimp,shrimp allergy,hiligaynon,active
allergic ako sa sulfa drugs,sulfa allergy,hiligaynon,active
allergic reaction,allergic reaction,hiligaynon,active
allergic sa alikabok,dust mite allergy,hiligaynon,active
allergic sa alimango,crab allergy,hiligaynon,active
allergic sa amag,mold allergy,hiligaynon,active
allergic sa antibiotic,antibiotic allergy,hiligaynon,active
allergic sa aso,dog dander allergy,hiligaynon,active
allergic sa aspirin,aspirin allergy,hiligaynon,active
allergic sa baboy,pork allergy,hiligaynon,active
allergic sa biogesic,acetaminophen sensitivity,hiligaynon,active
allergic sa bubuyog,bee sting allergy,hiligaynon,active
allergic sa bulakla,pollen allergy,hiligaynon,active
allergic sa detergent,detergent sensitivity,hiligaynon,active
allergic sa dust,dust mite allergy,hiligaynon,active
allergic sa gamot,drug allergy,hiligaynon,active
allergic sa gatas,milk allergy,hiligaynon,active
allergic sa grass,grass pollen allergy,hiligaynon,active
allergic sa harina,wheat allergy,hiligaynon,active
allergic sa hipon,shrimp allergy,hiligaynon,active
allergic sa ipis,cockroach allergen,hiligaynon,active
allergic sa isda,fish allergy,hiligaynon,active
allergic sa itlog,egg allergy,hiligaynon,active
allergic sa lamang-dagat,seafood allergy,hiligaynon,active
allergic sa lamok,mosquito bite allergy,hiligaynon,active
allergic sa latex,latex allergy,hiligaynon,active
allergic sa lotion,contact dermatitis,hiligaynon,active
allergic sa mani,peanut allergy,hiligaynon,active
allergic sa manok,poultry allergy,hiligaynon,active
allergic sa mefenamic,nsaid allergy,hiligaynon,active
allergic sa pagkain,food allergy,hiligaynon,active
allergic sa pagkaon,food allergy,hiligaynon,active
allergic sa penicillin,penicillin allergy,hiligaynon,active
allergic sa perfume,fragrance sensitivity,hiligaynon,active
allergic sa pollen,pollen allergy,hiligaynon,active
allergic sa prutas,fruit allergy,hiligaynon,active
allergic sa pusa,cat dander allergy,hiligaynon,active
allergic sa putik,contact dermatitis,hiligaynon,active
allergic sa rubber,latex allergy,hiligaynon,active
allergic sa sabon,soap sensitivity,hiligaynon,active
allergic sa saging,banana allergy,hiligaynon,active
allergic sa sigarilyo,tobacco smoke sensitivity,hiligaynon,active
allergic sa sulfa,sulfa allergy,hiligaynon,active
allergic sa tinapay,wheat allergy,hiligaynon,active
allergic sa usok,smoke sensitivity,hiligaynon,active
allergies,allergy,hiligaynon,active
allergy,allergy,hiligaynon,active
allergy attack,allergic reaction,hiligaynon,active
allergy rash,allergic reaction,hiligaynon,active
allergy sa alikabok,dust mite allergy,hiligaynon,active
allergy sa alikabok sa balay,dust mite allergy,hiligaynon,active
allergy sa alimango,crab allergy,hiligaynon,active
allergy sa amag,mold allergy,hiligaynon,active
allergy sa amoxicillin,amoxicillin allergy,hiligaynon,active
allergy sa anesthesia,anesthesia allergy,hiligaynon,active
allergy sa ant,fire ant sting allergy,hiligaynon,active
allergy sa antibiotic,antibiotic allergy,hiligaynon,active
allergy sa aspirin,aspirin allergy,hiligaynon,active
allergy sa baboy,pork allergy,hiligaynon,active
allergy sa bagoong,shellfish allergy,hiligaynon,active
allergy sa baybay,seafood allergy,hiligaynon,active
allergy sa bee,bee sting allergy,hiligaynon,active
allergy sa beef,beef allergy,hiligaynon,active
allergy sa biogesic,acetaminophen sensitivity,hiligaynon,active
allergy sa bleach,chemical allergy,hiligaynon,active
allergy sa bugas,wheat allergy,hiligaynon,active
allergy sa bulak,pollen allergy,hiligaynon,active
allergy sa bulong,drug allergy,hiligaynon,active
allergy sa buyo,bee sting allergy,hiligaynon,active
allergy sa buyo-buyo,bee sting allergy,hiligaynon,active
allergy sa cat,cat dander allergy,hiligaynon,active
allergy sa chemical,chemical allergy,hiligaynon,active
allergy sa chicken,poultry allergy,hiligaynon,active
allergy sa chocolate,food allergy,hiligaynon,active
allergy sa cockroach,cockroach allergen,hiligaynon,active
allergy sa coconut,coconut allergy,hiligaynon,active
allergy sa codeine,opioid allergy,hiligaynon,active
allergy sa contrast,contrast dye allergy,hiligaynon,active
allergy sa corn,corn allergy,hiligaynon,active
allergy sa dagat,seafood allergy,hiligaynon,active
allergy sa detergent,detergent sensitivity,hiligaynon,active
allergy sa dust,dust mite allergy,hiligaynon,active
allergy sa dust sa balay,dust mite allergy,hiligaynon,active
allergy sa egg,egg allergy,hiligaynon,active
allergy sa eye drops,medication allergy,hiligaynon,active
allergy sa flu vaccine,vaccine allergy,hiligaynon,active
allergy sa gabi,taro allergy,hiligaynon,active
allergy sa gamot na ito,drug allergy,hiligaynon,active
allergy sa gatas,milk allergy,hiligaynon,active
allergy sa gatas sang baka,milk allergy,hiligaynon,active
allergy sa ginamos,shellfish allergy,hiligaynon,active
allergy sa gloves,latex allergy,hiligaynon,active
allergy sa gluten,gluten allergy,hiligaynon,active
allergy sa hangin,environmental allergy,hiligaynon,active
allergy sa harina,wheat allergy,hiligaynon,active
allergy sa hayop,animal dander allergy,hiligaynon,active
allergy sa hipon,shrimp allergy,hiligaynon,active
allergy sa hornet,wasp sting allergy,hiligaynon,active
allergy sa iodine,iodine allergy,hiligaynon,active
allergy sa iring,cat dander allergy,hiligaynon,active
allergy sa iro,dog dander allergy,hiligaynon,active
allergy sa iro sa balay,dog dander allergy,hiligaynon,active
allergy sa isda,fish allergy,hiligaynon,active
allergy sa itlog,egg allergy,hiligaynon,active
allergy sa itlog manok,egg allergy,hiligaynon,active
allergy sa kanding,animal dander allergy,hiligaynon,active
allergy sa karagatan,seafood allergy,hiligaynon,active
allergy sa karne,meat allergy,hiligaynon,active
allergy sa lamian,shellfish allergy,hiligaynon,active
allergy sa lamok,mosquito bite allergy,hiligaynon,active
allergy sa lamok bite,mosquito bite allergy,hiligaynon,active
allergy sa latex,latex allergy,hiligaynon,active
allergy sa lidocaine,local anesthetic allergy,hiligaynon,active
allergy sa liso,soy allergy,hiligaynon,active
allergy sa mais,corn allergy,hiligaynon,active
allergy sa mangga,fruit allergy,hiligaynon,active
allergy sa mani,peanut allergy,hiligaynon,active
allergy sa manok,poultry allergy,hiligaynon,active
allergy sa manok feather,feather allergy,hiligaynon,active
allergy sa medicine,drug allergy,hiligaynon,active
allergy sa mefenamic,nsaid allergy,hiligaynon,active
allergy sa milk,milk allergy,hiligaynon,active
allergy sa mold,mold allergy,hiligaynon,active
allergy sa morphine,opioid allergy,hiligaynon,active
allergy sa mosquito,mosquito bite allergy,hiligaynon,active
allergy sa msg,msg sensitivity,hiligaynon,active
allergy sa mustard,mustard allergy,hiligaynon,active
allergy sa neomycin,neomycin allergy,hiligaynon,active
allergy sa nsaid,nsaid allergy,hiligaynon,active
allergy sa ointment,medication allergy,hiligaynon,active
allergy sa pagkaon,food allergy,hiligaynon,active
allergy sa painkiller,nsaid allergy,hiligaynon,active
allergy sa panahon,seasonal allergic rhinitis,hiligaynon,active
allergy sa panit,contact dermatitis,hiligaynon,active
allergy sa paracetamol,acetaminophen sensitivity,hiligaynon,active
allergy sa patis,fish allergy,hiligaynon,active
allergy sa peanut butter,peanut allergy,hiligaynon,active
allergy sa peanuts,peanut allergy,hiligaynon,active
allergy sa penicillin,penicillin allergy,hiligaynon,active
allergy sa perfume,fragrance sensitivity,hiligaynon,active
allergy sa pollen,pollen allergy,hiligaynon,active
allergy sa pollen grass,grass pollen allergy,hiligaynon,active
allergy sa prutas,fruit allergy,hiligaynon,active
allergy sa pusit,shellfish allergy,hiligaynon,active
allergy sa putyukan,wasp sting allergy,hiligaynon,active
allergy sa rice,rice allergy,hiligaynon,active
allergy sa rubber,latex allergy,hiligaynon,active
allergy sa sabon,soap sensitivity,hiligaynon,active
allergy sa saging,banana allergy,hiligaynon,active
allergy sa seafood,shellfish allergy,hiligaynon,active
allergy sa seasoning,food allergy,hiligaynon,active
allergy sa sesame,sesame allergy,hiligaynon,active
allergy sa shrimp paste,shellfish allergy,hiligaynon,active
allergy sa sigarilyo,tobacco smoke sensitivity,hiligaynon,active
allergy sa soy,soy allergy,hiligaynon,active
allergy sa squid,shellfish allergy,hiligaynon,active
allergy sa strawberry,strawberry allergy,hiligaynon,active
allergy sa sulfa,sulfa allergy,hiligaynon,active
allergy sa sulfa drug,sulfa allergy,hiligaynon,active
allergy sa swaki,shellfish allergy,hiligaynon,active
allergy sa tahong,shellfish allergy,hiligaynon,active
allergy sa talaba,shellfish allergy,hiligaynon,active
allergy sa tambal,drug allergy,hiligaynon,active
allergy sa tambal nga antibiotic,antibiotic allergy,hiligaynon,active
allergy sa tambal nga aspirin,aspirin allergy,hiligaynon,active
allergy sa tetanus,vaccine allergy,hiligaynon,active
allergy sa topical,medication allergy,hiligaynon,active
allergy sa toyo,soy allergy,hiligaynon,active
allergy sa uban,mold allergy,hiligaynon,active
allergy sa usok,smoke sensitivity,hiligaynon,active
allergy sa utanan,tree nut allergy,hiligaynon,active
allergy sa uyap,shrimp allergy,hiligaynon,active
allergy sa vaccine,vaccine allergy,hiligaynon,active
allergy sa wasp,wasp sting allergy,hiligaynon,active
allergy sa wheat,wheat allergy,hiligaynon,active
almond allergy,tree nut allergy,hiligaynon,active
almoranas,hemorrhoids,hiligaynon,active
alta presyon,hypertension,hiligaynon,active
alta presyon ko,hypertension,hiligaynon,active
altakolesterol,hyperlipidemia,hiligaynon,active
altapresion,hypertension,hiligaynon,active
altapresyon,hypertension,hiligaynon,active
altapresyon ko,hypertension,hiligaynon,active
alzheimer,alzheimer disease,hiligaynon,active
amoebiasis,amoebiasis,hiligaynon,active
amoxicillin allergy,amoxicillin allergy,hiligaynon,active
an-an,tinea versicolor,hiligaynon,active
anaphylactic,anaphylaxis,hiligaynon,active
anaphylaxis,anaphylaxis,hiligaynon,active
anemia,anemia,hiligaynon,active
anemic,anemia,hiligaynon,active
angina,angina,hiligaynon,active
ano ang buhaton budlay magginhawa ko,difficulty breathing,hiligaynon,active
ano ang buhaton gasakit dughan ko,chest pain,hiligaynon,active
ano ang buhaton ginkagat sang ido ko,dog bite,hiligaynon,active
ano ang buhaton may nana akon mata,eye infection,hiligaynon,active
ano ang buhaton nabali kamot ko,hand fracture,hiligaynon,active
ano ang buhaton nagdugo ulo ko,head bleeding,hiligaynon,active
ano ang buhaton nga budlay magginhawa ko,difficulty breathing,hiligaynon,active
ano ang buhaton nga gasakit dughan ko,chest pain,hiligaynon,active
ano ang buhaton nga ginkagat sang ido ko,dog bite,hiligaynon,active
ano ang buhaton nga may nana akon mata,eye infection,hiligaynon,active
ano ang buhaton nga nabali kamot ko,hand fracture,hiligaynon,active
ano ang buhaton nga nagdugo ulo ko,head bleeding,hiligaynon,active
antibiotic allergy,antibiotic allergy,hiligaynon,active
anxiety,anxiety disorder,hiligaynon,active
anxity,anxiety disorder,hiligaynon,active
appendicitis,appendicitis,hiligaynon,active
appendix,appendicitis,hiligaynon,active
apple allergy,apple allergy,hiligaynon,active
arthiritis,arthritis,hiligaynon,active
arthitis,arthritis,hiligaynon,active
arthritis,arthritis,hiligaynon,active
arthritis sa tuhod,osteoarthritis,hiligaynon,active
asma,asthma,hiligaynon,active
asma attack,asthma,hiligaynon,active
asma sa bata,asthma,hiligaynon,active
aspirin allergy,aspirin allergy,hiligaynon,active
asthma,asthma,hiligaynon,active
asthma attack,asthma,hiligaynon,active
asukal,diabetes,hiligaynon,active
atake puso,heart attack,hiligaynon,active
atake sa puso,heart attack,hiligaynon,active
atake sa utok,stroke,hiligaynon,active
atay,liver,hiligaynon,active
athlete foot,tinea pedis,hiligaynon,active
atopic dermatitis,atopic dermatitis,hiligaynon,active
atrial fibrillation,atrial fibrillation,hiligaynon,active
augmentin allergy,amoxicillin allergy,hiligaynon,active
avocado allergy,avocado allergy,hiligaynon,active
awang,jaw,hiligaynon,active
b12 deficiency,vitamin b12 deficiency,hiligaynon,active
baba,mouth,hiligaynon,active
back pain,back pain,hiligaynon,active
bag-o lang budlay gid gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
bag-o lang budlay gid gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
bag-o lang budlay gid gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko mag ginhawa subong gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko mag ginhawa subong gid ko,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko mag ginhawa subong ko gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko mag ginhawa subong man,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko mag ginhawa subong na gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ku magginhawa subong gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ku magginhawa subong gid ko,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ku magginhawa subong ko gid,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ku magginhawa subong man,difficulty breathing,hiligaynon,active
bag-o lang budlay gid ku magginhawa subong na gid,difficulty breathing,hiligaynon,active
bag-o lang gahabok dila ko gid gid,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ko gid gid ko,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ko gid ko gid,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ko gid man,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ko gid na gid,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ku gid gid,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ku gid gid ko,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ku gid ko gid,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ku gid man,swollen tongue,hiligaynon,active
bag-o lang gahabok dila ku gid na gid,swollen tongue,hiligaynon,active
bag-o lang gahika ko,cough,hiligaynon,active
bag-o lang gahubag dila ko gid gid,swollen tongue,hiligaynon,active
bag-o lang gahubag dila ko gid gid ko,swollen tongue,hiligaynon,active
bag-o lang gahubag dila ko gid ko gid,swollen tongue,hiligaynon,active
bag-o lang gahubag dila ko gid man,swollen tongue,hiligaynon,active
bag-o lang gahubag dila ko gid na gid,swollen tongue,hiligaynon,active
bag-o lang gahubag tiyan ko,abdominal swelling,hiligaynon,active
bag-o lang galuya lawas ko,body weakness,hiligaynon,active
bag-o lang galuya lawas ko kag kapoy gid gid,body weakness with severe fatigue,hiligaynon,active
bag-o lang galuya lawas ko kag kapoy gid gid ko,body weakness with severe fatigue,hiligaynon,active
bag-o lang galuya lawas ko kag kapoy gid ko gid,body weakness with severe fatigue,hiligaynon,active
bag-o lang galuya lawas ko kag kapoy gid man,body weakness with severe fatigue,hiligaynon,active
bag-o lang galuya lawas ko kag kapoy gid na gid,body weakness with severe fatigue,hiligaynon,active
bag-o lang gapula mata ko kag gakatol gid,red itchy eyes,hiligaynon,active
bag-o lang gapula mata ko kag gakatol gid ko,red itchy eyes,hiligaynon,active
bag-o lang gapula mata ko kag gakatol ko gid,red itchy eyes,hiligaynon,active
bag-o lang gapula mata ko kag gakatol man,red itchy eyes,hiligaynon,active
bag-o lang gapula mata ko kag gakatol na gid,red itchy eyes,hiligaynon,active
bag-o lang gasakit ulo ko,head pain,hiligaynon,active
bag-o lang gasakit ulo ko karon gid,head pain,hiligaynon,active
bag-o lang gasakit ulo ko karon gid ko,head pain,hiligaynon,active
bag-o lang gasakit ulo ko karon ko gid,head pain,hiligaynon,active
bag-o lang gasakit ulo ko karon man,head pain,hiligaynon,active
bag-o lang gasakit ulo ko karon na gid,head pain,hiligaynon,active
bag-o lang gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
bag-o lang gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
bag-o lang gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
bag-o lang gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
bag-o lang gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginadudul-om ko,diarrhea,hiligaynon,active
bag-o lang ginahilanat ko,fever,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ku kag nagdugo gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ku kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ku kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ku kag nagdugo man,dog bite with bleeding,hiligaynon,active
bag-o lang ginkagat sang ido ku kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
bag-o lang ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ku kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ku kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ku kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ku kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
bag-o lang ginsumbag ku kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
bag-o lang may nana akon mata,eye infection,hiligaynon,active
bag-o lang may nana akon mata subong gid,eye infection,hiligaynon,active
bag-o lang may nana akon mata subong gid ko,eye infection,hiligaynon,active
bag-o lang may nana akon mata subong ko gid,eye infection,hiligaynon,active
bag-o lang may nana akon mata subong man,eye infection,hiligaynon,active
bag-o lang may nana akon mata subong na gid,eye infection,hiligaynon,active
bag-o lang may pilas ko sa kamot,hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nag dugo man,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ku sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
bag-o lang may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
bag-o lang nabali kamot ko sang natumba gid,hand fracture,hiligaynon,active
bag-o lang nabali kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
bag-o lang nabali kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
bag-o lang nabali kamot ko sang natumba man,hand fracture,hiligaynon,active
bag-o lang nabali kamot ko sang natumba na gid,hand fracture,hiligaynon,active
bag-o lang nabali kamot ku sang natumba gid,hand fracture,hiligaynon,active
bag-o lang nabali kamot ku sang natumba gid ko,hand fracture,hiligaynon,active
bag-o lang nabali kamot ku sang natumba ko gid,hand fracture,hiligaynon,active
bag-o lang nabali kamot ku sang natumba man,hand fracture,hiligaynon,active
bag-o lang nabali kamot ku sang natumba na gid,hand fracture,hiligaynon,active
bag-o lang nabali na kamot ko sang natumba gid,hand fracture,hiligaynon,active
bag-o lang nabali na kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
bag-o lang nabali na kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
bag-o lang nabali na kamot ko sang natumba man,hand fracture,hiligaynon,active
bag-o lang nabali na kamot ko sang natumba na gid,hand fracture,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
bag-o lang nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
