flag_id,flag_name,hiligaynon_pattern,english_pattern,body_system,category,auto_triage,severity,clinical_rationale,status
EF027,Chest Pain,masakit dibdib ko kag dula ginhawa,chest pain with shortness of breath,cardiovascular,cardiac,EMERGENCY,critical,Chest pain with dyspnea,active
EF028,Chest Pain,naga pitik dughan ko kag masakit,chest pain with palpitations,cardiovascular,cardiac,EMERGENCY,critical,Chest pain with arrhythmia symptoms,active
EF029,Respiratory Distress,lisod gid magginhawa,severe difficulty breathing,respiratory,breathing,EMERGENCY,critical,Severe dyspnea,active
EF030,Respiratory Distress,ginakapos gid ginhawa ko,air hunger,respiratory,breathing,EMERGENCY,critical,Air hunger — hypoxia risk,active
EF031,Respiratory Distress,nagahubak kag budlay magginhawa,wheezing with dyspnea,respiratory,breathing,EMERGENCY,critical,Severe bronchospasm,active
EF032,Respiratory Distress,nagasinghot blood,coughing blood,respiratory,breathing,EMERGENCY,critical,Hemoptysis,active
EF033,Respiratory Distress,nagauba dugo,coughing blood,respiratory,breathing,EMERGENCY,critical,Hemoptysis,active
EF034,Severe Bleeding,grabe nagadugo kamot ko,severe hand bleeding,general,bleeding,EMERGENCY,critical,Uncontrolled extremity hemorrhage,active
EF035,Severe Bleeding,indi mapunggan dugo sa pilas,uncontrolled wound bleeding,general,bleeding,EMERGENCY,critical,Wound hemorrhage not controlled,active
EF036,Severe Bleeding,grabe gid nagadugo bilat,severe vaginal bleeding,gynecologic,bleeding,EMERGENCY,critical,Massive vaginal hemorrhage,active
EF037,Severe Bleeding,grabe gid nagadugo ari,severe penile bleeding,male_reproductive,bleeding,EMERGENCY,critical,Severe genital hemorrhage,active
EF038,Loss of Consciousness,nalipong ko kag natumba,syncope with fall,neurological,consciousness,EMERGENCY,critical,Syncope with collapse,active
EF039,Loss of Consciousness,wala ko malay,unresponsive,neurological,consciousness,EMERGENCY,critical,Unresponsive patient,active
EF040,Loss of Consciousness,nahilo gid kag nagapunaw,severe dizziness with fainting,neurological,consciousness,EMERGENCY,critical,Presyncope progressing to syncope,active
EF041,Stroke Symptoms,nawala gahambal ko,sudden speech loss,neurological,neurological,EMERGENCY,critical,Sudden aphasia — stroke alert,active
EF042,Stroke Symptoms,naparalysis ang atubang ko,facial paralysis,neurological,neurological,EMERGENCY,critical,Facial droop — FAST stroke criteria,active
EF043,Stroke Symptoms,kalit naluya ang kamot kag tiil,sudden limb weakness,neurological,neurological,EMERGENCY,critical,Sudden unilateral weakness,active
EF044,Stroke Symptoms,kalit nabulag isa ka mata,sudden vision loss one eye,neurological,neurological,EMERGENCY,critical,Sudden monocular vision loss,active
EF045,Seizure,nagakombulsyon ko,convulsions,neurological,neurological,EMERGENCY,critical,Active convulsions,active
EF046,Seizure,atake sang bakukang,seizure attack,neurological,neurological,EMERGENCY,critical,Seizure activity (local slang),active
EF047,Severe Allergic Reaction,namaga dila ko kag budlay magginhawa,tongue swelling with dyspnea,allergy,allergy,EMERGENCY,critical,Angioedema with airway threat,active
EF048,Severe Allergic Reaction,gahubag ngabil kag indi magginhawa,lip swelling with breathing difficulty,allergy,allergy,EMERGENCY,critical,Anaphylaxis airway involvement,active
EF049,Severe Allergic Reaction,kalit gakatol tanan lawas kag naluya,sudden whole-body itching with weakness,allergy,allergy,EMERGENCY,critical,Systemic allergic reaction,active
EF050,Suicidal Ideation,wala na ko sang paglaum kag gusto matapos,hopelessness with suicidal intent,mental_health,psychiatric,EMERGENCY,critical,Active suicidal ideation,active
EF051,Suicidal Ideation,plano ko maghikog,suicide plan,mental_health,psychiatric,EMERGENCY,critical,Suicide plan disclosed,active
EF052,Major Trauma,natumba sa taas nga lugar,fall from height,trauma,trauma,EMERGENCY,critical,High-energy fall mechanism,active
EF053,Major Trauma,ginbunalan kag nawala malay,assault with loss of consciousness,trauma,trauma,EMERGENCY,critical,Trauma with altered consciousness,active
EF054,Major Trauma,nabangga sang motorsiklo,motorcycle collision,trauma,trauma,EMERGENCY,critical,High-energy traffic injury,active
EF055,Amputation,nabungtol ang tudlo ko,finger avulsion,trauma,trauma,EMERGENCY,critical,Traumatic digit loss,active
EF056,Amputation,nautod ang kamot ko,hand amputation,trauma,trauma,EMERGENCY,critical,Major traumatic amputation,active
EF057,Electrical Injury,nakuryente ko kag nagkulba dughan,electrical injury with chest discomfort,trauma,trauma,EMERGENCY,critical,Electrical injury — cardiac risk,active
EF058,Severe Burns,nasunog dughan kag likod ko,chest and back burns,dermatological,burn,EMERGENCY,critical,Extensive burns of trunk,active
EF059,Severe Burns,nasunog sang asido,chemical burn,dermatological,burn,EMERGENCY,critical,Chemical burn injury,active
EF060,Urinary Retention,indi ko gid makaihi,complete inability to urinate,urinary,urinary,EMERGENCY,severe,Complete urinary retention,active
EF061,Severe Head Injury,nabun-og ulo pagkatapos nabangga,head bruise after collision,neurological,trauma,EMERGENCY,critical,Head trauma after impact,active
EF062,Severe Head Injury,nagsuka pagkatapos napukol ulo,vomiting after head blow,neurological,trauma,EMERGENCY,critical,Post-traumatic vomiting,active
EF063,Choking,naipit sang bukog sa tutunlan,bone stuck in throat,respiratory,breathing,EMERGENCY,critical,Foreign body airway obstruction,active
EF064,Poisoning,naka-inom ko sang kerosene,kerosene ingestion,general,toxicology,EMERGENCY,critical,Hydrocarbon ingestion,active
EF065,Poisoning,naka-inom sang scrub / chlorine,chlorine or cleaning agent ingestion,general,toxicology,EMERGENCY,critical,Caustic/toxic ingestion,active
EF066,Pregnancy Emergency,grabe sakit tiyan kag may dugo samtang buntis,abdominal pain with bleeding in pregnancy,gynecologic,obstetric,EMERGENCY,critical,Possible ectopic pregnancy or miscarriage complication,active
EF067,Pregnancy Emergency,gadugo gid samtang buntis ko,heavy bleeding while pregnant,gynecologic,obstetric,EMERGENCY,critical,Obstetric hemorrhage,active
EF068,Pediatric Emergency,indi magpukaw ang bata,unresponsive child,pediatric,consciousness,EMERGENCY,critical,Unresponsive pediatric patient,active
EF069,Pediatric Emergency,indi magginhawa ang bata,child not breathing,pediatric,breathing,EMERGENCY,critical,Pediatric respiratory arrest risk,active
EF070,Severe Dehydration,wala ko mag-ihi kag sobra nagsuka,no urine output with severe vomiting,general,dehydration,EMERGENCY,severe,Severe dehydration with oliguria,active
EF071,Severe Abdominal Pain,grabe sakit tiyan kag gahubag,severe abdominal pain with swelling,gastrointestinal,abdominal,EMERGENCY,critical,Acute abdomen,active
EF072,Severe Abdominal Pain,masakit tiyan kag nagapalamiit,abdominal pain with rigidity,gastrointestinal,abdominal,EMERGENCY,critical,Peritoneal signs — emergency surgery risk,active
EF073,Testicular Emergency,kalit masakit gid itlog ko,sudden severe testicular pain,male_reproductive,urologic,EMERGENCY,critical,Possible testicular torsion,active
EF074,Eye Emergency,kalit nabulag mata ko,sudden blindness,ophthalmology,vision,EMERGENCY,critical,Sudden vision loss,active
EF075,Eye Emergency,nagsulod sang asido sa mata,chemical in eye,ophthalmology,trauma,EMERGENCY,critical,Ocular chemical burn,active
EF076,Chest Pain,pig-ot dughan ko,chest tightness,cardiovascular,cardiac,EMERGENCY,critical,Chest tightness may indicate ischemia,active
EF077,Chest Pain,ginahapdi dughan kag naluya,chest pain with weakness,cardiovascular,cardiac,EMERGENCY,critical,Chest pain with systemic weakness,active
EF078,Chest Pain,masakit dughan paglakat,exertional chest pain,cardiovascular,cardiac,EMERGENCY,critical,Exertional angina pattern,active
EF079,Respiratory Distress,ginahingal gid ako,severe breathlessness,respiratory,breathing,EMERGENCY,critical,Severe air hunger,active
EF080,Respiratory Distress,indi ko matapos ang ginhawa,cannot complete a breath,respiratory,breathing,EMERGENCY,critical,Critical dyspnea,active
EF081,Respiratory Distress,nagabughat kag budlay magginhawa,stridor with dyspnea,respiratory,breathing,EMERGENCY,critical,Upper airway obstruction risk,active
EF082,Respiratory Distress,asul na ang ngabil ko,blue lips,respiratory,breathing,EMERGENCY,critical,Cyanosis,active
EF083,Respiratory Distress,asul na daliri ko,blue fingers,respiratory,breathing,EMERGENCY,critical,Peripheral cyanosis,active
EF084,Severe Bleeding,nagaibus dugo sa ilong,severe nosebleed,general,bleeding,EMERGENCY,critical,Uncontrolled epistaxis,active
EF085,Severe Bleeding,nagdugo sa baba kag indi mapunggan,uncontrolled mouth bleeding,general,bleeding,EMERGENCY,critical,Oropharyngeal hemorrhage,active
EF086,Severe Bleeding,nagdugo sa lubot sing grabe,severe rectal bleeding,gastrointestinal,bleeding,EMERGENCY,critical,Lower GI hemorrhage,active
EF087,Severe Bleeding,nagsuka sang dugo,vomiting blood,gastrointestinal,bleeding,EMERGENCY,critical,Hematemesis,active
EF088,Severe Bleeding,itim ang tae kag naluya,black stool with weakness,gastrointestinal,bleeding,EMERGENCY,critical,Melena with hypovolemia signs,active
EF089,Loss of Consciousness,kalit natumba ako,sudden collapse,neurological,consciousness,EMERGENCY,critical,Sudden collapse,active
EF090,Loss of Consciousness,nagalipong kag indi makatindog,dizziness and cannot stand,neurological,consciousness,EMERGENCY,critical,Severe presyncope,active
EF091,Stroke Symptoms,nabalyo ang guya ko,facial asymmetry,neurological,neurological,EMERGENCY,critical,Facial droop,active
EF092,Stroke Symptoms,indi ko maalsa ang isa ka kamot,cannot raise one arm,neurological,neurological,EMERGENCY,critical,Arm drift — FAST,active
EF093,Stroke Symptoms,nagalumay ang panulti ko,slurred speech,neurological,neurological,EMERGENCY,critical,Dysarthria / stroke alert,active
EF094,Stroke Symptoms,kalit nadula panulok,sudden vision loss,neurological,neurological,EMERGENCY,critical,Acute visual loss,active
EF095,Stroke Symptoms,kalit sakit ulo nga grabe gid,sudden worst headache,neurological,neurological,EMERGENCY,critical,Thunderclap headache pattern,active
EF096,Seizure,nagaluyu kag nagakurog,stiffening and shaking,neurological,neurological,EMERGENCY,critical,Tonic-clonic activity,active
EF097,Seizure,nagaibus bula sa baba sa atake,foaming at mouth during attack,neurological,neurological,EMERGENCY,critical,Seizure with autonomic signs,active
EF098,Severe Allergic Reaction,kalit gahubag ang lawas kag naga pula,sudden whole-body swelling and redness,allergy,allergy,EMERGENCY,critical,Systemic allergic reaction,active
EF099,Severe Allergic Reaction,ginakaluyahan kag gakatol tanan,weakness with generalized itching,allergy,allergy,EMERGENCY,critical,Anaphylaxis prodrome,active
EF100,Severe Allergic Reaction,nagsipa sang medicine kag budlay magginhawa,medicine reaction with dyspnea,allergy,allergy,EMERGENCY,critical,Drug-induced anaphylaxis,active
EF101,Suicidal Ideation,ginahunahuna ko maghikog,thinking of suicide,mental_health,psychiatric,EMERGENCY,critical,Suicidal ideation,active
EF102,Suicidal Ideation,may plano ako magpakamatay,has suicide plan,mental_health,psychiatric,EMERGENCY,critical,Suicide plan,active
EF103,Suicidal Ideation,mas maayo kung wala na ako,wish to be dead,mental_health,psychiatric,EMERGENCY,critical,Passive death wish — urgent safety assess,active
EF104,Major Trauma,nabangga sang trak,hit by truck,trauma,trauma,EMERGENCY,critical,High-energy impact,active
EF105,Major Trauma,natumba gikan sa bubong,fell from roof,trauma,trauma,EMERGENCY,critical,Fall from height,active
EF106,Major Trauma,ginpusila / nabaekan,gunshot or stab wound,trauma,trauma,EMERGENCY,critical,Penetrating trauma,active
EF107,Major Trauma,nabali liog ko,broken neck,trauma,trauma,EMERGENCY,critical,Possible cervical spine injury,active
EF108,Amputation,natanggal ang tudlo ko,finger severed,trauma,trauma,EMERGENCY,critical,Traumatic amputation,active
EF109,Amputation,natabunan sang makina ang kamot,hand crushed by machine,trauma,trauma,EMERGENCY,critical,Crush amputation risk,active
EF110,Electrical Injury,nakuryente kag nagsuka,electrical injury with vomiting,trauma,trauma,EMERGENCY,critical,Electrical injury systemic effects,active
EF111,Severe Burns,nasunog ang guya,face burn,dermatological,burn,EMERGENCY,critical,Facial burn — airway risk,active
EF112,Severe Burns,nasunog madamo sang lawas,extensive body burns,dermatological,burn,EMERGENCY,critical,Large TBSA burn,active
EF113,Severe Burns,nasunog sang init nga tubig ang bata,scald burn in child,pediatric,burn,EMERGENCY,critical,Pediatric scald,active
EF114,Urinary Retention,busog pantog kag indi makaihi,full bladder cannot void,urinary,urinary,EMERGENCY,severe,Acute retention,active
EF115,Severe Head Injury,nagdugo ilong kag dulunggan pagkatapos natumba,ear and nose bleeding after fall,neurological,trauma,EMERGENCY,critical,Possible basilar skull fracture,active
EF116,Severe Head Injury,nagahubag ulo kag nagsuka-suka,head swelling with vomiting,neurological,trauma,EMERGENCY,critical,Raised ICP concern,active
EF117,Choking,naipit pagkaon sa tutunlan,food stuck in throat,respiratory,breathing,EMERGENCY,critical,Airway foreign body,active
EF118,Choking,indi makahambal tungod may naipit,cannot speak due to choking,respiratory,breathing,EMERGENCY,critical,Severe airway obstruction,active
EF119,Poisoning,nainom sang rat poison,rat poison ingestion,general,toxicology,EMERGENCY,critical,Rodenticide poisoning,active
EF120,Poisoning,nainom sang insecticide,insecticide ingestion,general,toxicology,EMERGENCY,critical,Pesticide poisoning,active
EF121,Poisoning,nasinghot sang smoke kag nalipong,smoke inhalation with syncope,respiratory,toxicology,EMERGENCY,critical,Smoke inhalation,active
EF122,Pregnancy Emergency,nagdugo kag grabe sakit tiyan buntis,bleeding with severe abdominal pain pregnant,gynecologic,obstetric,EMERGENCY,critical,Ectopic / obstetric emergency,active
EF123,Pregnancy Emergency,indi ko mabatyagan ang bata maghulag,no fetal movement,gynecologic,obstetric,EMERGENCY,critical,Reduced fetal movement,active
EF124,Pregnancy Emergency,nagaawas tubig samtang buntis,water breaking,gynecologic,obstetric,EMERGENCY,critical,PROM / labor emergency assessment,active
EF125,Pediatric Emergency,ginahilanat ang bata kag naguyam,febrile child with seizure,pediatric,neurological,EMERGENCY,critical,Febrile seizure,active
EF126,Pediatric Emergency,indi maginom ang bata kag sobra hinog,child not drinking and very lethargic,pediatric,dehydration,EMERGENCY,critical,Severe pediatric dehydration,active
EF127,Pediatric Emergency,asul ang bata pagkatapos magubo,child cyanosed after coughing,pediatric,breathing,EMERGENCY,critical,Pediatric respiratory emergency,active
EF128,Severe Dehydration,makauga bibig kag indi makapatingug,very dry mouth cannot speak well,general,dehydration,EMERGENCY,severe,Severe dehydration,active
EF129,Severe Dehydration,naluya gid kag wala na ihi sang adlaw,extreme weakness no urine all day,general,dehydration,EMERGENCY,severe,Anuria with shock risk,active
EF130,Severe Abdominal Pain,masakit tiyan kag nagaibot itim,abdominal pain with black stool,gastrointestinal,abdominal,EMERGENCY,critical,GI bleed with pain,active
EF131,Severe Abdominal Pain,kalit sakit tiyan sa tuo nga baba,sudden right lower abdominal pain,gastrointestinal,abdominal,EMERGENCY,critical,Appendicitis pattern,active
EF132,Testicular Emergency,gahubag kag kalit hapdi itlog,sudden swelling and testicular pain,male_reproductive,urologic,EMERGENCY,critical,Torsion suspicion,active
EF133,Eye Emergency,nagsulod sinelas / asero sa mata,metal or foreign body in eye,ophthalmology,trauma,EMERGENCY,critical,Ocular foreign body,active
EF134,Eye Emergency,nabusisi ang mata kag indi makita,eye ruptured cannot see,ophthalmology,trauma,EMERGENCY,critical,Globe injury,active
EF135,Cardiac Arrest Concern,indi makabayaw dughan / wala tibok,no pulse / not breathing,cardiovascular,cardiac,EMERGENCY,critical,Possible cardiac arrest — start BLS,active
EF136,Severe Hypertension Crisis,grabe sakit ulo kag alta 180,severe headache with BP 180,cardiovascular,cardiac,EMERGENCY,critical,Hypertensive emergency pattern,active
EF137,Diabetic Emergency,asukal sobra taas kag nalipong,very high sugar with dizziness,endocrine,metabolic,EMERGENCY,critical,Hyperglycemic emergency,active
EF138,Diabetic Emergency,asukal sobra baba kag nagakurog,very low sugar with shaking,endocrine,metabolic,EMERGENCY,critical,Hypoglycemia,active
EF139,Severe Infection,ginahilanat 40 kag naluya gid,fever 40 with severe weakness,infectious,sepsis,EMERGENCY,critical,Possible sepsis,active
EF140,Severe Infection,mapula nagahapdi ang pilas kag may bilog na linya,red painful wound with streaking,infectious,infection,EMERGENCY,critical,Spreading cellulitis / lymphangitis,active
EF141,Snake Bite,gina-kagat sang man-og,snake bite,trauma,toxicology,EMERGENCY,critical,Venomous bite risk,active
EF142,Drowning,nalumos / nakainom madamo tubig,near drowning,respiratory,trauma,EMERGENCY,critical,Submersion injury,active
EF143,Heat Emergency,sobra kainit lawas kag nalipong sa init,overheating with syncope,general,environmental,EMERGENCY,critical,Heat stroke risk,active
EF144,Hypothermia,ginaginhawa budlay kag sobra katugnaw lawas,cold body with weak breathing,general,environmental,EMERGENCY,critical,Severe hypothermia,active
EF145,Violent Agitation / Psych Emergency,nagahimo kaugalingon nga kalainan kag delikado,dangerous self-harm behavior,mental_health,psychiatric,EMERGENCY,critical,Immediate safety risk,active
EF146,Neonatal Emergency,indi maghuni / indi magginhawa ang bag-ong bata,newborn not crying or breathing,pediatric,neonatal,EMERGENCY,critical,Neonatal resuscitation need,active
EF147,Severe Allergic Reaction,pagkaon allergy kag gahubag tutunlan,food allergy with throat swelling,allergy,allergy,EMERGENCY,critical,Food anaphylaxis,active
EF148,Stroke Symptoms,kalit nalipong kag isa ka bahin sang lawas manhid,sudden dizziness with one-sided numbness,neurological,neurological,EMERGENCY,critical,Cerebrovascular syndrome,active
EF149,Respiratory Distress,COVID / pneumonia kag oxygen mubo,pneumonia with low oxygen,respiratory,breathing,EMERGENCY,critical,Hypoxemic respiratory failure risk,active
EF150,Severe Bleeding,pag-opera nagdugo liwat sing grabe,post-op severe bleeding,general,bleeding,EMERGENCY,critical,Postoperative hemorrhage,active
EF151,Chest Pain,daw may gahugot sa dughan,squeezing chest sensation,cardiovascular,cardiac,EMERGENCY,critical,Classic ischemic squeeze pattern,active
EF152,Chest Pain,sakit dughan nagakalat sa abaga,chest pain radiating to shoulder,cardiovascular,cardiac,EMERGENCY,critical,Radiating chest pain,active
EF153,Chest Pain,sakit dughan kag nagasinghot sing bug-at,chest pain with heavy sweating,cardiovascular,cardiac,EMERGENCY,critical,Diaphoresis with chest pain,active
EF154,Respiratory Distress,ginahingal bisan magpahuway,breathless at rest,respiratory,breathing,EMERGENCY,critical,Rest dyspnea,active
EF155,Respiratory Distress,nagagamit tiyan pagginhawa,using abdominal muscles to breathe,respiratory,breathing,EMERGENCY,critical,Accessory muscle use,active
EF156,Respiratory Distress,indi makatulog tungod budlay ginhawa,cannot sleep due to dyspnea,respiratory,breathing,EMERGENCY,critical,Orthopnea / nocturnal dyspnea,active
EF157,Stroke Symptoms,kalit indi makahambal maayo,sudden inability to speak well,neurological,neurological,EMERGENCY,critical,Aphasia / dysarthria onset,active
EF158,Stroke Symptoms,nabag-o panan-aw kag nalipong,sudden vision change with dizziness,neurological,neurological,EMERGENCY,critical,Posterior circulation warning,active
EF159,Stroke Symptoms,nabulol ang panulti kag naluya isa ka kamot,garbled speech with one weak arm,neurological,neurological,EMERGENCY,critical,FAST positive pattern,active
EF160,Seizure,nagakagat dila kag nagaulo,biting tongue during attack,neurological,neurological,EMERGENCY,critical,Seizure with oral trauma,active
EF161,Seizure,naguyam liwat-liwag wala pa manohod,repeated seizures without recovery,neurological,neurological,EMERGENCY,critical,Status epilepticus risk,active
EF162,Severe Bleeding,nagaawas dugo sa tudlo kag indi mapunggan,uncontrolled finger bleeding,general,bleeding,EMERGENCY,critical,Arterial or uncontrolled bleed,active
EF163,Severe Bleeding,nagdugo sa ngipon kag bug-os panit asa,oral bleeding with pale skin,general,bleeding,EMERGENCY,critical,Bleeding with hypovolemia signs,active
EF164,Severe Bleeding,nagaibot dugo madamo,passing large amount of blood in stool,gastrointestinal,bleeding,EMERGENCY,critical,Hematochezia — massive GI bleed,active
EF165,Loss of Consciousness,nadulaan malay pagkatapos sakit ulo,lost consciousness after headache,neurological,consciousness,EMERGENCY,critical,Secondary syncope / ICH concern,active
EF166,Loss of Consciousness,nagpunaw sa init sang adlaw,fainted in heat,general,consciousness,EMERGENCY,severe,Heat-related syncope — assess severity,active
EF167,Severe Allergic Reaction,kalit gahubag ngabil kag mata,sudden lip and eye swelling,allergy,allergy,EMERGENCY,critical,Angioedema,active
EF168,Severe Allergic Reaction,nakakaon shrimps kag budlay magginhawa,shrimp allergy with dyspnea,allergy,allergy,EMERGENCY,critical,Food anaphylaxis,active
EF169,Severe Allergic Reaction,ginkagat putakti kag ginahubag lawas,wasp sting with body swelling,allergy,allergy,EMERGENCY,critical,Insect venom anaphylaxis,active
EF170,Major Trauma,nabangga motorsiklo kag indi makahulag,motorcycle crash cannot move,trauma,trauma,EMERGENCY,critical,High-energy MVC with paralysis concern,active
EF171,Major Trauma,natumba sa kahoy kag sakit grabe sa likod,fell from tree severe back pain,trauma,trauma,EMERGENCY,critical,Fall from height spinal injury,active
EF172,Major Trauma,nabunggo ulo kag nagsuka,head impact then vomiting,neurological,trauma,EMERGENCY,critical,Concussion / intracranial injury risk,active
EF173,Poisoning,nainom bleach / chlorine,bleach ingestion,general,toxicology,EMERGENCY,critical,Caustic ingestion,active
EF174,Poisoning,nainom kerosene / gasolina,kerosene ingestion,general,toxicology,EMERGENCY,critical,Hydrocarbon aspiration risk,active
EF175,Poisoning,ginpa-inom lason sang iba,forced poisoned by someone,general,toxicology,EMERGENCY,critical,Intentional poisoning / assault,active
EF176,Pregnancy Emergency,buntis kag kalit grabe sakit tuo tiyan,pregnant sudden right abdominal pain,gynecologic,obstetric,EMERGENCY,critical,Ectopic pregnancy pattern,active
EF177,Pregnancy Emergency,buntis kag nagdugo madamo,pregnant heavy bleeding,gynecologic,obstetric,EMERGENCY,critical,Antepartum hemorrhage,active
EF178,Pregnancy Emergency,nagakontraksyon mga bulan pa,early strong contractions,gynecologic,obstetric,EMERGENCY,critical,Preterm labor risk,active
EF179,Pediatric Emergency,bata gahingal kag asul,child breathless and blue,pediatric,breathing,EMERGENCY,critical,Pediatric cyanosis,active
EF180,Pediatric Emergency,bata indi magmata / sobra hinog,child unresponsive lethargy,pediatric,consciousness,EMERGENCY,critical,Altered LOC in child,active
EF181,Pediatric Emergency,bata may tae dugo kag nagsuka,child bloody stool and vomiting,pediatric,gastrointestinal,EMERGENCY,critical,Pediatric GI emergency,active
EF182,Diabetic Emergency,diabetis kag nagsuka kag ginahingal,diabetic vomiting and dyspnea,endocrine,metabolic,EMERGENCY,critical,Possible DKA,active
EF183,Diabetic Emergency,asukal baba kag indi magmata,low sugar unresponsive,endocrine,metabolic,EMERGENCY,critical,Severe hypoglycemia,active
EF184,Severe Infection,may pilas kag may nana nga itim / baho gid,wound with black foul discharge,infectious,infection,EMERGENCY,critical,Necrotizing infection concern,active
EF185,Severe Infection,ginahilanat kag suga sa liog magtig-a,fever with stiff neck,infectious,neurological,EMERGENCY,critical,Meningitis pattern,active
EF186,Severe Infection,sakit ihi kag ginahilanat gid kag naluya,dysuria fever severe weakness,infectious,urinary,EMERGENCY,critical,Possible urosepsis,active
EF187,Eye Emergency,kalit nabuta ang isa ka mata,sudden blindness one eye,ophthalmology,vision,EMERGENCY,critical,Acute vision loss,active
EF188,Eye Emergency,nagsulod chemical / paint sa mata,chemical or paint in eye,ophthalmology,trauma,EMERGENCY,critical,Chemical eye injury,active
EF189,Urinary Retention,indi makaihi sang adlaw kag sakit pantog,cannot void all day bladder pain,urinary,urinary,EMERGENCY,severe,Acute urinary retention,active
EF190,Testicular Emergency,kalit sakit itlog kag nagaubos,sudden testicular pain elevation,male_reproductive,urologic,EMERGENCY,critical,Torsion — time critical,active
EF191,Cardiac Concern,nagatibok dughan madasig kag nalipong,racing heartbeat with syncope,cardiovascular,cardiac,EMERGENCY,critical,Arrhythmia with syncope,active
EF192,Cardiac Concern,naghunong tibok / CPR ang kabataan,pulse stopped CPR started,cardiovascular,cardiac,EMERGENCY,critical,Cardiac arrest in progress,active
EF193,Violent Threat,may armas kag buot makapatay,armed and intent to kill,mental_health,psychiatric,EMERGENCY,critical,Immediate safety / police emergency,active
EF194,Violent Threat,ginaasikaso nga may plano maghikog karong adlaw,active suicide plan today,mental_health,psychiatric,EMERGENCY,critical,Imminent suicide risk,active
EF195,Bite / Envenomation,ginkagat aso / iro kag nagdugo,dog bite bleeding,trauma,infection,EMERGENCY,severe,Animal bite — rabies / wound care,active
EF196,Bite / Envenomation,ginkagat sawa kag nagahubag,snake bite with swelling,trauma,toxicology,EMERGENCY,critical,Venomous snakebite,active
