entity,entity_type,normalized,status
"2,8-dihydroxyadenine Urinary Crystals",symptom,"2,8-dihydroxyadenine urinary crystals",active
2--hydroxyphenylacetic Aciduria,symptom,2--hydroxyphenylacetic aciduria,active
2-aminoadipic Aciduria,symptom,2-aminoadipic aciduria,active
2-ethylhydracylic Aciduria,symptom,2-ethylhydracylic aciduria,active
2-hydroxy-3-methylvaleric Acid High in Urine,symptom,2-hydroxy-3-methylvaleric acid high in urine,active
2-hydroxyadipic Acid High in Urine,symptom,2-hydroxyadipic acid high in urine,active
2-hydroxyadipic Aciduria,symptom,2-hydroxyadipic aciduria,active
2-hydroxyglutarate Aciduria,symptom,2-hydroxyglutarate aciduria,active
"2-methyl-2,3-dihydroxybutyrate High in Urine",symptom,"2-methyl-2,3-dihydroxybutyrate high in urine",active
2-methylacetoacetic Acid Present in Urine,symptom,2-methylacetoacetic acid present in urine,active
2-Methylbutyryl Glycinuria,symptom,2-methylbutyryl glycinuria,active
2-methylcitric Acid High in Urine,symptom,2-methylcitric acid high in urine,active
2-oxoadipic Aciduria,symptom,2-oxoadipic aciduria,active
2:1 Atrioventricular Block,symptom,2:1 atrioventricular block,active
2:1 AV Block,symptom,2:1 av block,active
2nd Toe Symphalangism,symptom,2nd toe symphalangism,active
2nd-5th Toe Middle Phalangeal Hypoplasia,symptom,2nd-5th toe middle phalangeal hypoplasia,active
3-hydroxydicarboxylic Aciduria,symptom,3-hydroxydicarboxylic aciduria,active
3-hydroxyglutaric Acid High in Urine,symptom,3-hydroxyglutaric acid high in urine,active
3-hydroxyisobutyryl-CoA Hydrolase Deficiency,symptom,3-hydroxyisobutyryl-coa hydrolase deficiency,active
3-hydroxyisovaleric Aciduria,symptom,3-hydroxyisovaleric aciduria,active
3-hydroxypropionic Acid High in Urine,symptom,3-hydroxypropionic acid high in urine,active
3-ketoacyl-CoA Thiolase (THIO) Deficiency,symptom,3-ketoacyl-coa thiolase (thio) deficiency,active
3-methylcrotonyl CoA Carboxylase Low in Fibroblasts,symptom,3-methylcrotonyl coa carboxylase low in fibroblasts,active
3-Methylglutaconic Aciduria,symptom,3-methylglutaconic aciduria,active
3-Methylglutaconicaciduria,symptom,3-methylglutaconicaciduria,active
3-Methylglutaric Aciduria,symptom,3-methylglutaric aciduria,active
3-methylglutaricaciduria,symptom,3-methylglutaricaciduria,active
3-Methylhistidinuria,symptom,3-methylhistidinuria,active
3rd Toe Clinodactyly,symptom,3rd toe clinodactyly,active
4-hydroxyisovaleric Acid Present in Urine,symptom,4-hydroxyisovaleric acid present in urine,active
4-hydroxyphenylacetic Aciduria,symptom,4-hydroxyphenylacetic aciduria,active
4-hydroxyphenyllactic Aciduria,symptom,4-hydroxyphenyllactic aciduria,active
4-Hydroxyphenylpyruvic Aciduria,symptom,4-hydroxyphenylpyruvic aciduria,active
4-layered Lissencephaly,symptom,4-layered lissencephaly,active
"46,xy Gonadal Dysgenesis",symptom,"46,xy gonadal dysgenesis",active
4th Finger Camptodactyly,symptom,4th finger camptodactyly,active
5-fluorouracil Exposure,symptom,5-fluorouracil exposure,active
5-hydroxymethyluracil High in Blood,symptom,5-hydroxymethyluracil high in blood,active
5-hydroxymethyluracil High in CSF,symptom,5-hydroxymethyluracil high in csf,active
5-hydroxymethyluracil High in Urine,symptom,5-hydroxymethyluracil high in urine,active
5-minute APGAR Score of 0,symptom,5-minute apgar score of 0,active
5-minute APGAR Score of 1,symptom,5-minute apgar score of 1,active
5-minute APGAR Score of 2,symptom,5-minute apgar score of 2,active
5-minute APGAR Score of 3,symptom,5-minute apgar score of 3,active
5-minute APGAR Score of 4,symptom,5-minute apgar score of 4,active
5-minute APGAR Score of 5,symptom,5-minute apgar score of 5,active
5-minute APGAR Score of 6,symptom,5-minute apgar score of 6,active
5-oxoprolinase Deficiency,symptom,5-oxoprolinase deficiency,active
5th Finger Middle Phalangeal Hypoplasia,symptom,5th finger middle phalangeal hypoplasia,active
6 Long Bones of Hand,symptom,6 long bones of hand,active
6 Metacarpals,symptom,6 metacarpals,active
6-layered Lissencephaly,symptom,6-layered lissencephaly,active
6-mercaptopurine Exposure,symptom,6-mercaptopurine exposure,active
A Decline or Reduced Social Expression and Social Connectedness,symptom,a decline or reduced social expression and social connectedness,active
A Severe Pyogenic Infection of the Epidural Space,symptom,a severe pyogenic infection of the epidural space,active
AA Amyloidosis,symptom,aa amyloidosis,active
Abasia,symptom,abasia,active
Abdominal Adhesions,symptom,abdominal adhesions,active
Abdominal Aortic Aneurysm,symptom,abdominal aortic aneurysm,active
Abdominal Aortic Calcification,symptom,abdominal aortic calcification,active
Abdominal Aortic Dissection,symptom,abdominal aortic dissection,active
Abdominal Aseptic Abscess,symptom,abdominal aseptic abscess,active
Abdominal Aura,symptom,abdominal aura,active
Abdominal Bloating,symptom,abdominal bloating,active
Abdominal Colic,symptom,abdominal colic,active
Abdominal Cramps,symptom,abdominal cramps,active
Abdominal Distension,symptom,abdominal distension,active
Abdominal Distension (gaseous),symptom,abdominal distension (gaseous),active
Abdominal Distention,symptom,abdominal distention,active
Abdominal Ectopia Cordis,symptom,abdominal ectopia cordis,active
Abdominal Guarding,symptom,abdominal guarding,active
Abdominal Mass,symptom,abdominal mass,active
Abdominal Muscular Hypoplasia,symptom,abdominal muscular hypoplasia,active
Abdominal Obesity,symptom,abdominal obesity,active
Abdominal Organ Duplication,symptom,abdominal organ duplication,active
Abdominal Protuberance,symptom,abdominal protuberance,active
Abdominal Reflex Absent,symptom,abdominal reflex absent,active
Abdominal Rigidity,symptom,abdominal rigidity,active
"Abdominal Rigidity, Unspecified Site",symptom,"abdominal rigidity, unspecified site",active
Abdominal Situs Ambiguus,symptom,abdominal situs ambiguus,active
Abdominal Situs Inversus,symptom,abdominal situs inversus,active
Abdominal Swelling,symptom,abdominal swelling,active
Abdominal Symptom,symptom,abdominal symptom,active
"Abdominal Tenderness, Unspecified Site",symptom,"abdominal tenderness, unspecified site",active
Abdominal Wall Defect,symptom,abdominal wall defect,active
Abdominal Wall Mass,symptom,abdominal wall mass,active
Abdominal Wall Muscle Weakness,symptom,abdominal wall muscle weakness,active
Abducens Nerve Palsy,symptom,abducens nerve palsy,active
Abducens Nerve Paralysis,symptom,abducens nerve paralysis,active
Abducens Nerve Paresis,symptom,abducens nerve paresis,active
Abducens Palsy,symptom,abducens palsy,active
Abducted Thumb,symptom,abducted thumb,active
Abduction Contracture of the Shoulder,symptom,abduction contracture of the shoulder,active
Aberrant Melanosome Maturation,symptom,aberrant melanosome maturation,active
Aberrant Neuronal Branching,symptom,aberrant neuronal branching,active
Aberrant Right Subclavian Artery,symptom,aberrant right subclavian artery,active
Aberrant Right Subclavian Artery Syndrome,symptom,aberrant right subclavian artery syndrome,active
Aberrant Thyroid,symptom,aberrant thyroid,active
Aberrant Thyroid Gland,symptom,aberrant thyroid gland,active
Abetalipoproteinemia,symptom,abetalipoproteinemia,active
Ablepharon,symptom,ablepharon,active
Ablepharon of Eyelid,symptom,ablepharon of eyelid,active
Abn Cytolog Find in Specmn From Oth Female Genital Organs,symptom,abn cytolog find in specmn from oth female genital organs,active
Abn Cytolog Findings in Specmn From Oth Dgstv Org/abd Cav,symptom,abn cytolog findings in specmn from oth dgstv org/abd cav,active
"Abn Findings On Dx Imaging of Abd Regions, Inc Retroperiton",symptom,"abn findings on dx imaging of abd regions, inc retroperiton",active
Abn Histolog Findings in Specmn From Female Genital Organs,symptom,abn histolog findings in specmn from female genital organs,active
Abn Histolog Findings in Specmn From Male Genital Organs,symptom,abn histolog findings in specmn from male genital organs,active
Abn Immunolog Findings in Specmn From Female Genital Organs,symptom,abn immunolog findings in specmn from female genital organs,active
Abn Immunolog Findings in Specmn From Male Genital Organs,symptom,abn immunolog findings in specmn from male genital organs,active
Abn Lev Drug/meds/biol Subst in Cerebrospinal Fluid,symptom,abn lev drug/meds/biol subst in cerebrospinal fluid,active
Abn Lev Drug/meds/biol Subst in Specimens From Oth Org/tiss,symptom,abn lev drug/meds/biol subst in specimens from oth org/tiss,active
Abn Lev Drug/meds/biol Subst in Specimens From Resp Org/thrx,symptom,abn lev drug/meds/biol subst in specimens from resp org/thrx,active
Abn Lev Drug/meds/biol Subst in Specmn Fr Dgstv Org/abd Cav,symptom,abn lev drug/meds/biol subst in specmn fr dgstv org/abd cav,active
Abn Lev Drug/meds/biol Subst in Specmn From Fem Gntl Organs,symptom,abn lev drug/meds/biol subst in specmn from fem gntl organs,active
Abn Lev Drug/meds/biol Subst in Specmn From Male Gntl Organs,symptom,abn lev drug/meds/biol subst in specmn from male gntl organs,active
Abn Lev Enzymes in Specimens From Dgstv Org/abd Cav,symptom,abn lev enzymes in specimens from dgstv org/abd cav,active
Abn Lev Enzymes in Specimens From Female Genital Organs,symptom,abn lev enzymes in specimens from female genital organs,active
Abn Lev Enzymes in Specimens From Male Genital Organs,symptom,abn lev enzymes in specimens from male genital organs,active
Abn Lev Hormones in Specimens From Dgstv Org/abd Cav,symptom,abn lev hormones in specimens from dgstv org/abd cav,active
Abn Lev Hormones in Specimens From Female Genital Organs,symptom,abn lev hormones in specimens from female genital organs,active
Abn Lev Hormones in Specimens From Male Genital Organs,symptom,abn lev hormones in specimens from male genital organs,active
Abn Lev Substances Chiefly Nonmedicinal As to Source in CSF,symptom,abn lev substances chiefly nonmedicinal as to source in csf,active
Abn Lev Substnc Nonmed Source in Specmn Fr Dgstv Org/abd Cav,symptom,abn lev substnc nonmed source in specmn fr dgstv org/abd cav,active
Abn Lev Substnc Nonmed Source in Specmn From Fem Gntl Organs,symptom,abn lev substnc nonmed source in specmn from fem gntl organs,active
Abn Lev Substnc Nonmed Source in Specmn From Male Gntl Org,symptom,abn lev substnc nonmed source in specmn from male gntl org,active
Abn Lev Substnc Nonmed Source in Specmn From Oth Org/tiss,symptom,abn lev substnc nonmed source in specmn from oth org/tiss,active
Abn Lev Substnc Nonmed Source in Specmn From Resp Org/thrx,symptom,abn lev substnc nonmed source in specmn from resp org/thrx,active
Abn Microbiolog Find in Specmn From Female Genital Organs,symptom,abn microbiolog find in specmn from female genital organs,active
Abn Microbiolog Findings in Specmn From Dgstv Org/abd Cav,symptom,abn microbiolog findings in specmn from dgstv org/abd cav,active
Abn Microbiolog Findings in Specmn From Male Genital Organs,symptom,abn microbiolog findings in specmn from male genital organs,active
"Abn Radlgc Find On Dx Imaging Renal Pelv, Ureter, or Blddr",symptom,"abn radlgc find on dx imaging renal pelv, ureter, or blddr",active
Abn Radlgc Findings On Dx Imaging of Other Urinary Organs,symptom,abn radlgc findings on dx imaging of other urinary organs,active
Abn Results of Function Studies of Ear and Oth Sp Senses,symptom,abn results of function studies of ear and oth sp senses,active
Abnormal 1st Metacarpal Morphology,symptom,abnormal 1st metacarpal morphology,active
Abnormal 2nd Finger Morphology,symptom,abnormal 2nd finger morphology,active
Abnormal 2nd Metacarpal Morphology,symptom,abnormal 2nd metacarpal morphology,active
Abnormal 2nd Toe Morphology,symptom,abnormal 2nd toe morphology,active
Abnormal 2nd Toe Phalanx Morphology,symptom,abnormal 2nd toe phalanx morphology,active
Abnormal 3rd Finger Morphology,symptom,abnormal 3rd finger morphology,active
Abnormal 3rd Finger Phalanx Morphology,symptom,abnormal 3rd finger phalanx morphology,active
Abnormal 3rd Metacarpal Epiphysis Morphology,symptom,abnormal 3rd metacarpal epiphysis morphology,active
Abnormal 3rd Metacarpal Morphology,symptom,abnormal 3rd metacarpal morphology,active
Abnormal 3rd Toe Morphology,symptom,abnormal 3rd toe morphology,active
Abnormal 4th Finger Morphology,symptom,abnormal 4th finger morphology,active
Abnormal 4th Finger Phalanx Morphology,symptom,abnormal 4th finger phalanx morphology,active
Abnormal 4th Metacarpal Epiphysis Morphology,symptom,abnormal 4th metacarpal epiphysis morphology,active
Abnormal 4th Metacarpal Morphology,symptom,abnormal 4th metacarpal morphology,active
Abnormal 4th Toe Morphology,symptom,abnormal 4th toe morphology,active
Abnormal 5th Finger Morphology,symptom,abnormal 5th finger morphology,active
Abnormal 5th Finger Phalanx Morphology,symptom,abnormal 5th finger phalanx morphology,active
Abnormal 5th Metacarpal Epiphysis Morphology,symptom,abnormal 5th metacarpal epiphysis morphology,active
Abnormal 5th Metacarpal Morphology,symptom,abnormal 5th metacarpal morphology,active
Abnormal 5th Toe Morphology,symptom,abnormal 5th toe morphology,active
Abnormal 6-hydroxypurine Phosphoribosyltransferase Level,symptom,abnormal 6-hydroxypurine phosphoribosyltransferase level,active
Abnormal A-type Atrial Natriuretic Peptide Level,symptom,abnormal a-type atrial natriuretic peptide level,active
Abnormal Abdomen Morphology,symptom,abnormal abdomen morphology,active
Abnormal Abdominal Wall Morphology,symptom,abnormal abdominal wall morphology,active
Abnormal Abducens Nerve Morphology,symptom,abnormal abducens nerve morphology,active
Abnormal Abeta 40 Level,symptom,abnormal abeta 40 level,active
Abnormal Absence of Menstruation,symptom,abnormal absence of menstruation,active
Abnormal Acetabulum Morphology,symptom,abnormal acetabulum morphology,active
Abnormal Achilles Tendon Morphology,symptom,abnormal achilles tendon morphology,active
Abnormal Activity of Mitochondrial Respiratory Chain,symptom,abnormal activity of mitochondrial respiratory chain,active
Abnormal Adiponectin Level,symptom,abnormal adiponectin level,active
Abnormal Adipose Tissue Morphology,symptom,abnormal adipose tissue morphology,active
Abnormal Adrenal Gland Position,symptom,abnormal adrenal gland position,active
Abnormal Adrenal Morphology,symptom,abnormal adrenal morphology,active
Abnormal Affect,symptom,abnormal affect,active
Abnormal Affect Regulation,symptom,abnormal affect regulation,active
Abnormal Alanine Levels in Cerebrospinal Fluid,symptom,abnormal alanine levels in cerebrospinal fluid,active
Abnormal Albumin Level,symptom,abnormal albumin level,active
Abnormal Albumin Levels in Cerebrospinal Fluid,symptom,abnormal albumin levels in cerebrospinal fluid,active
Abnormal Alcohol Consumption,symptom,abnormal alcohol consumption,active
Abnormal Aldolase Level,symptom,abnormal aldolase level,active
Abnormal Alpha Granule Content,symptom,abnormal alpha granule content,active
Abnormal Alpha Granule Distribution,symptom,abnormal alpha granule distribution,active
Abnormal Alpha Granules,symptom,abnormal alpha granules,active
Abnormal Alpha-aminobutyrate Levels in Cerebrospinal Fluid,symptom,abnormal alpha-aminobutyrate levels in cerebrospinal fluid,active
Abnormal Alveolar Epithelial Type II Cell Morphology,symptom,abnormal alveolar epithelial type ii cell morphology,active
Abnormal Alveolar Macrophage Morphology,symptom,abnormal alveolar macrophage morphology,active
Abnormal Alveolar Ridge Morphology,symptom,abnormal alveolar ridge morphology,active
Abnormal Alveolar Type II Pneumocyte Morphology,symptom,abnormal alveolar type ii pneumocyte morphology,active
Abnormal Alveolar Volume,symptom,abnormal alveolar volume,active
Abnormal Amino Acid Levels in Cerebrospinal Fluid,symptom,abnormal amino acid levels in cerebrospinal fluid,active
Abnormal Amniotic Fluid,symptom,abnormal amniotic fluid,active
Abnormal Amniotic Fluid Protein Concentration,symptom,abnormal amniotic fluid protein concentration,active
Abnormal Amplitude of Dark-adapted Bright Flash Electroretinogram,symptom,abnormal amplitude of dark-adapted bright flash electroretinogram,active
Abnormal Amplitude of Dark-adapted Dim Flash Electroretinogram,symptom,abnormal amplitude of dark-adapted dim flash electroretinogram,active
Abnormal Amplitude of Flash Visual Evoked Potentials,symptom,abnormal amplitude of flash visual evoked potentials,active
Abnormal Amplitude of Light-adapted Flicker Electroretinogram,symptom,abnormal amplitude of light-adapted flicker electroretinogram,active
Abnormal Amplitude of Light-adapted Single Flash Electroretinogram,symptom,abnormal amplitude of light-adapted single flash electroretinogram,active
Abnormal Amplitude of Pattern Electroretinogram,symptom,abnormal amplitude of pattern electroretinogram,active
Abnormal Amplitude of Pattern Onset/offset VEP,symptom,abnormal amplitude of pattern onset/offset vep,active
Abnormal Amplitude of Pattern Onset/offset Visual Evoked Potentials,symptom,abnormal amplitude of pattern onset/offset visual evoked potentials,active
Abnormal Amplitude of Pattern Reversal Visual Evoked Potentials,symptom,abnormal amplitude of pattern reversal visual evoked potentials,active
Abnormal Amsler Grid Test,symptom,abnormal amsler grid test,active
Abnormal Amygdala Morphology,symptom,abnormal amygdala morphology,active
Abnormal Amyloid Beta 40 Peptide CSF Concentration,symptom,abnormal amyloid beta 40 peptide csf concentration,active
Abnormal Amyloid Beta 42 Peptide CSF Concentration,symptom,abnormal amyloid beta 42 peptide csf concentration,active
Abnormal Amyloid Beta Peptide CSF Concentration,symptom,abnormal amyloid beta peptide csf concentration,active
Abnormal Anatomic Location of the Heart,symptom,abnormal anatomic location of the heart,active
Abnormal Ankle Bones,symptom,abnormal ankle bones,active
Abnormal Ankle Morphology,symptom,abnormal ankle morphology,active
Abnormal Ankle Physiology,symptom,abnormal ankle physiology,active
Abnormal Antehelix,symptom,abnormal antehelix,active
Abnormal Anterior Chamber Morphology,symptom,abnormal anterior chamber morphology,active
Abnormal Anterior Cricoarytenoid Muscle Morphology,symptom,abnormal anterior cricoarytenoid muscle morphology,active
Abnormal Anterior Eye Segment Morphology,symptom,abnormal anterior eye segment morphology,active
Abnormal Anterior Fontanelle Morphology,symptom,abnormal anterior fontanelle morphology,active
Abnormal Anterior Horn Cell Morphology,symptom,abnormal anterior horn cell morphology,active
Abnormal Anterior Segment Morphology,symptom,abnormal anterior segment morphology,active
Abnormal Anterior Semicircular Canal Morphology,symptom,abnormal anterior semicircular canal morphology,active
Abnormal Anteroposterior Retina Thickness On OCT,symptom,abnormal anteroposterior retina thickness on oct,active
Abnormal Anthelix,symptom,abnormal anthelix,active
Abnormal Antihelix,symptom,abnormal antihelix,active
Abnormal Antihelix Morphology,symptom,abnormal antihelix morphology,active
Abnormal Antimullerian Hormone Level,symptom,abnormal antimullerian hormone level,active
Abnormal Antitragus Morphology,symptom,abnormal antitragus morphology,active
Abnormal Antral Follicle Count,symptom,abnormal antral follicle count,active
Abnormal Anus Morphology,symptom,abnormal anus morphology,active
Abnormal Anus Physiology,symptom,abnormal anus physiology,active
Abnormal Anus Position,symptom,abnormal anus position,active
Abnormal Aorta Morphology,symptom,abnormal aorta morphology,active
Abnormal Aortic Arch Morphology,symptom,abnormal aortic arch morphology,active
Abnormal Aortic Morphology,symptom,abnormal aortic morphology,active
Abnormal Aortic Physiology,symptom,abnormal aortic physiology,active
Abnormal Aortic Valve Cusp Morphology,symptom,abnormal aortic valve cusp morphology,active
Abnormal Aortic Valve Morphology,symptom,abnormal aortic valve morphology,active
Abnormal Aortic Valve Physiology,symptom,abnormal aortic valve physiology,active
Abnormal Apolipoprotein Level,symptom,abnormal apolipoprotein level,active
Abnormal Apoptosis,symptom,abnormal apoptosis,active
Abnormal Appendicular Skeleton Morphology,symptom,abnormal appendicular skeleton morphology,active
Abnormal Arachnoid Mater Morphology,symptom,abnormal arachnoid mater morphology,active
Abnormal Arcuate Artery Endothelium Morphology,symptom,abnormal arcuate artery endothelium morphology,active
Abnormal Arcuate Artery Intima/media Morphology,symptom,abnormal arcuate artery intima/media morphology,active
Abnormal Arcuate Artery Lumen Morphology,symptom,abnormal arcuate artery lumen morphology,active
Abnormal Arcuate Artery Morphology,symptom,abnormal arcuate artery morphology,active
Abnormal Arcuate Vein Intima/media Morphology,symptom,abnormal arcuate vein intima/media morphology,active
Abnormal Arcuate Vein Lumen Morphology,symptom,abnormal arcuate vein lumen morphology,active
Abnormal Arcuate Vein Morphology,symptom,abnormal arcuate vein morphology,active
Abnormal Areolar Morphology,symptom,abnormal areolar morphology,active
Abnormal Arginine Levels in Cerebrospinal Fluid,symptom,abnormal arginine levels in cerebrospinal fluid,active
Abnormal Arm Span,symptom,abnormal arm span,active
Abnormal Aromatase Activity,symptom,abnormal aromatase activity,active
Abnormal Aromatic Amino Acid Levels in Cerebrospinal Fluid,symptom,abnormal aromatic amino acid levels in cerebrospinal fluid,active
Abnormal Arterial Physiology,symptom,abnormal arterial physiology,active
Abnormal Aryepiglottic Fold Morphology,symptom,abnormal aryepiglottic fold morphology,active
Abnormal Aryepiglottic Folds,symptom,abnormal aryepiglottic folds,active
Abnormal Ascending Aorta Morphology,symptom,abnormal ascending aorta morphology,active
Abnormal Aspartate-family Amino Acid Levels in Cerebrospinal Fluid,symptom,abnormal aspartate-family amino acid levels in cerebrospinal fluid,active
Abnormal Aspartic Acid Levels in Cerebrospinal Fluid,symptom,abnormal aspartic acid levels in cerebrospinal fluid,active
Abnormal Astrocyte Morphology,symptom,abnormal astrocyte morphology,active
Abnormal Atrial Arrangement,symptom,abnormal atrial arrangement,active
Abnormal Atrial Septum Morphology,symptom,abnormal atrial septum morphology,active
Abnormal Atrioventricular Conduction,symptom,abnormal atrioventricular conduction,active
Abnormal Atrioventricular Connection,symptom,abnormal atrioventricular connection,active
Abnormal Atrioventricular Connexion,symptom,abnormal atrioventricular connexion,active
Abnormal Atrioventricular Valve Morphology,symptom,abnormal atrioventricular valve morphology,active
Abnormal Atrioventricular Valve Physiology,symptom,abnormal atrioventricular valve physiology,active
Abnormal Auditory Canal Morphology,symptom,abnormal auditory canal morphology,active
Abnormal Auditory Evoked Potentials,symptom,abnormal auditory evoked potentials,active
Abnormal Auditory Function Study,symptom,abnormal auditory function study,active
Abnormal Auditory Reflex,symptom,abnormal auditory reflex,active
Abnormal Automated Kinetic Perimetry Test,symptom,abnormal automated kinetic perimetry test,active
Abnormal Autonomic Nervous System Morphology,symptom,abnormal autonomic nervous system morphology,active
Abnormal Autonomic Nervous System Physiology,symptom,abnormal autonomic nervous system physiology,active
Abnormal Axial Muscle Morphology,symptom,abnormal axial muscle morphology,active
Abnormal Axial Skeleton Morphology,symptom,abnormal axial skeleton morphology,active
Abnormal Axonemal Organisation of Respiratory Motile Cilia,symptom,abnormal axonemal organisation of respiratory motile cilia,active
Abnormal Axonemal Organization of Respiratory Motile Cilia,symptom,abnormal axonemal organization of respiratory motile cilia,active
Abnormal B Cell Count,symptom,abnormal b cell count,active
Abnormal B Cell Morphology,symptom,abnormal b cell morphology,active
Abnormal B Cell Physiology,symptom,abnormal b cell physiology,active
Abnormal B Cell Proliferation,symptom,abnormal b cell proliferation,active
Abnormal B Cell Subset Distribution,symptom,abnormal b cell subset distribution,active
Abnormal B Cells,symptom,abnormal b cells,active
Abnormal B-type Natriuretic Peptide Level,symptom,abnormal b-type natriuretic peptide level,active
Abnormal Basal Ganglia Morphology,symptom,abnormal basal ganglia morphology,active
Abnormal Basal Ganglia MRI Signal Intensity,symptom,abnormal basal ganglia mri signal intensity,active
Abnormal Base Excess,symptom,abnormal base excess,active
Abnormal Basophil Morphology,symptom,abnormal basophil morphology,active
Abnormal Beliefs,symptom,abnormal beliefs,active
Abnormal Belly Button,symptom,abnormal belly button,active
Abnormal Best Corrected Visual Acuity Test,symptom,abnormal best corrected visual acuity test,active
Abnormal Beta Amyloid 40 Level,symptom,abnormal beta amyloid 40 level,active
Abnormal Big Toe Bones,symptom,abnormal big toe bones,active
Abnormal Biliary Tract Morphology,symptom,abnormal biliary tract morphology,active
Abnormal Biliary Tract Physiology,symptom,abnormal biliary tract physiology,active
Abnormal Biochemical Composition of Broncho-alveolar Fluid,symptom,abnormal biochemical composition of broncho-alveolar fluid,active
Abnormal Biotinidase Level,symptom,abnormal biotinidase level,active
Abnormal Biparietal Diameter,symptom,abnormal biparietal diameter,active
Abnormal Bladder Morphology,symptom,abnormal bladder morphology,active
Abnormal Bleeding,symptom,abnormal bleeding,active
Abnormal Blink Rate,symptom,abnormal blink rate,active
Abnormal Blistering of the Skin,symptom,abnormal blistering of the skin,active
Abnormal Blood 5-methyltetrahydrofolate Level,symptom,abnormal blood 5-methyltetrahydrofolate level,active
Abnormal Blood Calcium Concentration,symptom,abnormal blood calcium concentration,active
Abnormal Blood Calcium Levels,symptom,abnormal blood calcium levels,active
Abnormal Blood Carbon Dioxide Level,symptom,abnormal blood carbon dioxide level,active
Abnormal Blood Cation Concentration,symptom,abnormal blood cation concentration,active
Abnormal Blood Chloride Concentration,symptom,abnormal blood chloride concentration,active
Abnormal Blood Cl Concentration,symptom,abnormal blood cl concentration,active
Abnormal Blood Clot,symptom,abnormal blood clot,active
Abnormal Blood Clotting,symptom,abnormal blood clotting,active
Abnormal Blood Coagulation Studies,symptom,abnormal blood coagulation studies,active
Abnormal Blood Creatinine Level,symptom,abnormal blood creatinine level,active
Abnormal Blood Folate Concentration,symptom,abnormal blood folate concentration,active
Abnormal Blood Gas Level in Cord Blood,symptom,abnormal blood gas level in cord blood,active
Abnormal Blood Glucose Concentration,symptom,abnormal blood glucose concentration,active
Abnormal Blood Inorganic Cation Concentration,symptom,abnormal blood inorganic cation concentration,active
Abnormal Blood Ion Concentration,symptom,abnormal blood ion concentration,active
Abnormal Blood K Concentration,symptom,abnormal blood k concentration,active
Abnormal Blood Monovalent Inorganic Cation Concentration,symptom,abnormal blood monovalent inorganic cation concentration,active
Abnormal Blood Na+ Levels,symptom,abnormal blood na+ levels,active
Abnormal Blood O2 Level,symptom,abnormal blood o2 level,active
Abnormal Blood Oxygen Level,symptom,abnormal blood oxygen level,active
