symptom_key,aliases,display_name,category,tip_1,tip_2,tip_3,tip_4,when_to_seek_care,resource_label,resource_url,active
muscle_ache,body ache|sakit lawas|masakit ang kalamnan|myalgia|muscle pain|pananakit ng katawan|pamamasa,Body / muscle ache,musculoskeletal,Rest sore muscles and avoid strenuous exercise until better.,Apply a warm compress to tight muscle areas for comfort.,Stay hydrated and get adequate sleep.,Gentle stretching and slow walking may reduce stiffness.,"Seek care if pain is severe after injury, with swelling/deformity, or with high fever.",American Academy of Family Physicians (AAFP),https://www.aafp.org/,1
joint_pain,joint pain|sakit tuhod|sakit kasukasuan|arthralgia|knee pain|ankle pain|shoulder pain,Mild joint pain,musculoskeletal,Rest the joint and avoid activities that sharply increase pain.,Elevate the area if swollen and consider a brief cold pack.,Support with a soft wrap only if it does not worsen numbness/tingling.,Continue light movement within comfort to prevent stiffness.,"Seek care for hot swollen joints, inability to bear weight, deformity, or fever with joint pain.",American Academy of Family Physicians (AAFP),https://www.aafp.org/,1
toothache,toothache|sakit ngipin|masakit ang ngipin|dental pain|sakit bagang,Toothache,dental,Rinse with warm salt water and keep the area clean.,"Avoid very hot, cold, or sugary foods that trigger pain.",Use dental floss carefully to remove trapped food if present.,OTC pain relief may help temporarily if suitable for you; it is not a cure.,"See a dentist promptly for swelling of the face, fever, pus, or pain lasting more than 1–2 days.",NHS: Toothache,https://www.nhs.uk/conditions/toothache/,1
earache,earache|sakit tenga|masakit ang tenga|ear pain|otitis mild,Mild earache,ent,Keep the ear dry; avoid inserting cotton buds or oils into the canal.,Apply a warm (not hot) compress outside the ear for comfort.,Rest with the painful ear up and take fluids.,Do not share earphones while infected/irritated.,"Seek care for severe pain, discharge, hearing loss, high fever, or symptoms after swimming/injury.",American Heart Association,https://www.heart.org/,1
eye_strain,eye strain|nasakit mata|masakit ang mata|irritated eyes|red eye mild|mata ko|dry eyes,Eye strain / mild eye irritation,eye,Follow the 20-20-20 rule: every 20 minutes look 20 feet away for 20 seconds.,Blink often and reduce screen brightness if needed.,Use preservative-free lubricating drops if recommended for dry eyes.,Avoid rubbing the eyes and wash hands before touching them.,"Seek care for sudden vision loss, severe pain, light sensitivity, chemical exposure, or injury.",Philippine Pediatric Society (PPS),https://pps.org.ph/,1
allergy_rhinitis,allergy|allergies|allergic rhinitis|hapong|hapong-hapong|sneeze|bahing|itchy nose|pollen allergy|hay fever,Mild allergy / itchy nose,allergy,Rinse nasal passages with saline if available.,Stay indoors when dust/pollen is high; keep windows closed if helpful.,"Wash bedding and avoid known triggers (dust, smoke, pet dander).",Non-sedating antihistamines may help if appropriate and used as labeled.,"Seek care for breathing difficulty, facial swelling, wheezing, or known severe allergy history.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
skin_rash_mild,rash|red spots|pantal|butol|skin rash|itchy rash mild|urticaria mild,Mild skin rash / itch,skin,Keep the area clean and dry; avoid scratching to prevent infection.,Use a gentle fragrance-free moisturizer.,Wear loose cotton clothing over the irritated area.,Cool compresses can reduce itch; ask a pharmacist about soothing lotions if needed.,"Seek care for rapidly spreading rash, blistering, fever, facial/lip swelling, or breathing trouble.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
insect_bite,insect bite|kagat ng lamok|kagat|mosquito bite|bug bite|ant bite,Insect bite,skin,"Wash with soap and water, then apply a cool compress.",Avoid scratching; short clean nails reduce skin breaks.,Calamine or pharmacist-advised anti-itch cream may help.,"Watch for increasing redness, warmth, or pus.","Seek urgent care for difficulty breathing, facial swelling, dizziness after a sting, or signs of serious allergic reaction.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
minor_wound,cut|hiwa|gasgas|abrasion|minor wound|scraped skin|kalmot,Minor cut / scrape,first_aid,Wash gently with clean water and mild soap.,Apply light pressure with a clean cloth if still bleeding.,Cover with a clean bandage and change daily or when wet/dirty.,Keep tetanus vaccination status in mind for deeper wounds.,"Seek care for deep cuts, uncontrolled bleeding, numbness, animal bites, or signs of infection.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
minor_burn,burn|paso|minor burn|scald|napaso,Minor burn,first_aid,Cool under cool running water for about 20 minutes (not ice).,Remove tight items near the area early before swelling starts.,Cover loosely with a clean non-stick dressing.,"Do not apply toothpaste, butter, or folk pastes.","Seek care for burns on face/hands/genitals, large areas, blisters that break open widely, or electrical/chemical burns.",NHS: Burns and scalds,https://www.nhs.uk/conditions/burns-and-scalds/,1
fatigue,fatigue|pagod|lupaypay|low energy|tiredness|panghihina|weakness mild,Fatigue / tiredness,general,Prioritize sleep (consistent bedtime) and short rest breaks in the day.,Drink water and eat regular balanced meals; avoid skipping breakfast.,Limit caffeine late in the day and reduce alcohol.,Light outdoor walking can improve energy more than total inactivity.,"Seek care if fatigue is sudden/severe, with chest pain, fainting, unexplained weight loss, or lasts many weeks.",NHS: Tiredness and fatigue,https://www.nhs.uk/conditions/tiredness-and-fatigue/,1
insomnia,insomnia|hirap matulog|di makatulog|sleepless|walang tulog,Trouble sleeping,mental_health,"Keep a regular sleep and wake time, including weekends when possible.",Avoid screens and heavy meals close to bedtime.,"Make the room dark, quiet, and comfortably cool.",Limit naps to under 30 minutes and not late afternoon.,"Seek care if insomnia lasts weeks, with severe anxiety/depression, or daytime safety risks (falling asleep while driving).",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
menstrual_cramps,menstrual pain|sakit regla|cramps|dysmenorrhea|period pain|masakit ang regla,Menstrual cramps,womens_health,Use a warm compress on the lower abdomen.,"Gentle stretching, walking, or rest in a comfortable position may help.",Stay hydrated and consider heat + OTC pain relief if suitable for you.,Track cycle dates and symptom severity for your next visit.,"Seek care for sudden severe pelvic pain, unusually heavy bleeding, fainting, pregnancy possibility, or pain not typical for you.",NHS: Period pain,https://www.nhs.uk/conditions/period-pain/,1
heartburn,heartburn|asid|asido|acid reflux|maalsom|nagnaigas|burn chest mild|indigestion acid,Mild heartburn / acid discomfort,gastrointestinal,Eat smaller meals and avoid lying down for 2–3 hours after eating.,"Limit spicy, fatty, and highly acidic foods temporarily.",Elevate the head of the bed slightly if night symptoms occur.,Antacids may help short-term if appropriate and used as labeled.,"Seek urgent care for chest pressure with sweating, arm pain, shortness of breath, or first-time severe chest pain.",American Heart Association,https://www.heart.org/,1
constipation_gas,gas|kabag|bloated|kabag gas|flatulence|distended mild,Gas / bloating,gastrointestinal,Eat slowly and avoid carbonated drinks for a day.,Take a short walk after meals to help gas move.,"Reduce beans, cabbage, and heavy fried foods temporarily if they trigger you.",Sip warm water or herbal tea if you tolerate it.,"Seek care for severe progressive bloating with vomiting, no flatus/stool, or intense pain.",NHS: Flatulence,https://www.nhs.uk/conditions/flatulence/,1
sore_muscles_after_work,overuse|pagod katawan|masakit pagkatapos trabaho|strain mild|pulled muscle mild,Mild muscle strain / overuse,musculoskeletal,"Use RICE basics: rest, ice briefly, compression if comfortable, elevation when swollen.",Return to activity gradually; avoid sudden heavy loads.,Gentle range-of-motion exercises within pain limits help recovery.,Supportive footwear and good lifting posture prevent repeat strain.,"Seek care if you heard a pop, cannot move the limb, have numbness, or swelling worsens quickly.",MedlinePlus: Health Topics,https://medlineplus.gov/healthtopics.html,1
uti_irritation_mild,uti mild|masakit when peeing|ardor al orinar|sakit ihi|burning urination mild|frequent urination mild,Mild urinary irritation,urinary,Drink extra water unless advised to restrict fluids.,Do not delay urination; empty the bladder fully.,"Avoid irritants (alcohol, caffeine, very spicy foods) for a day or two.",Keep genital area clean and dry; wipe front to back.,"Seek care promptly for fever, back/flank pain, blood in urine, pregnancy, male patients with symptoms, or symptoms lasting >1–2 days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
constipation_hemorrhoid_mild,hemorrhoid mild|piles|masakit puwit mild|almoranas mild,Mild hemorrhoid discomfort,gastrointestinal,Increase fiber and water to soften stools and reduce straining.,Avoid sitting for very long periods; take short standing breaks.,Warm sitz baths can soothe local irritation.,Keep the area clean with water; pat dry gently.,"Seek care for heavy bleeding, severe pain, prolapsed tissue, or dizziness from blood loss.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
stress_tension,stress|kabalaka|anxiety mild|tense|kabado|worried mild|panic mild not emergency,Stress / tension,mental_health,"Practice slow breathing: inhale 4 seconds, exhale 6 seconds, for a few minutes.",Take a short walk or stretch break away from the stressor.,Talk with a trusted person and keep a simple worry list to revisit later.,"Protect sleep, meals, and hydration — basic routines reduce stress intensity.","Seek urgent help for thoughts of self-harm, inability to function, or panic with chest pain/shortness of breath that feels new or severe.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
dehydration_mild,dehydration mild|uhaw|tuyong bibig|dry mouth|konting ihi,Mild dehydration,general,Drink ORS or water regularly in small amounts rather than chugging once.,"Replace fluids after heat exposure, diarrhea, or heavy sweating.",Rest in a cool shaded place.,"Eat watery fruits (banana, melon) when appetite returns.","Seek care for confusion, fainting, no urine for many hours, or inability to keep fluids down.",CDC: Rehydration therapy,https://www.cdc.gov/cholera/treatment/rehydration-therapy.html,1
nausea_motion,motion sickness|sasakyan|hilo sa byahe|seasick,Motion sickness,neurological,Sit where motion is least (front seat / over wings) and look at the horizon.,Avoid heavy meals and strong smells before travel.,Fresh air and limiting screen use while moving can help.,Ask a pharmacist about travel tablets if appropriate for you.,Seek care if vomiting is severe with headache/neck stiffness or neurological symptoms.,NHS: Motion sickness,https://www.nhs.uk/conditions/motion-sickness/,1
sinus_congestion,sinus|sinusitis|sinus infection|masakit sinuses|pressure sa mukha|facial pressure|congested sinuses|sipon na matagal,Sinus congestion,respiratory,Drink clear fluids often to keep mucus thin so sinuses can drain.,Apply a warm moist cloth to the face several times a day; breathe mild steam (bathroom shower steam — not scalding).,Use saline nasal spray several times daily; a clean humidifier can help indoor air.,"If using OTC decongestant nasal spray, limit to a few days only — longer use can rebound congestion.","Seek care if symptoms last >10–14 days, severe headache not eased by pain medicine, fever, vision changes, or facial swelling.",NHS: Sinusitis,https://www.nhs.uk/conditions/sinusitis/,1
nosebleed,nosebleed|epistaxis|dugo sa ilong|pagdurugo ng ilong|bleeding nose|nullos dugo,Nosebleed,first_aid,"Sit up, lean slightly forward, and breathe through your mouth — do not tip the head back.",Pinch the soft part of both nostrils firmly for a full 10–15 minutes without peeking.,You may place a cool compress across the bridge of the nose; avoid packing gauze deep inside.,"After it stops, avoid blowing/picking the nose and heavy lifting for several hours; saline gel can reduce dryness later.","Seek care if bleeding continues after two full pressure attempts, follows a head injury, or you feel faint/weak, or nosebleeds keep recurring.",NHS: Nosebleed,https://www.nhs.uk/conditions/nosebleed/,1
ankle_sprain_mild,sprain|sprained ankle|nabaligtad paa|nastrain|twisted ankle|sakit bukong-bukong|mild sprain,Mild sprain,musculoskeletal,Rest the injured area and avoid putting full weight on it for 1–2 days if painful.,Ice 15–20 minutes at a time (cloth barrier) several times a day during the first 48 hours.,Use a snug elastic wrap for light compression if toes stay warm/pink and sensation is normal.,Elevate the limb above heart level when possible to limit swelling.,"Seek care if you cannot bear weight, the joint feels unstable/numb, bone pain is severe, or it is not improving after 2–3 days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
neck_pain,neck pain|sakit leeg|masakit ang leeg|stiff neck mild|torticolis mild,Mild neck pain,musculoskeletal,Avoid sudden twisting and prolonged phone/computer strain; keep screens at eye level.,Apply a warm compress or brief ice pack as comfortably tolerated.,Gentle range-of-motion stretches within pain limits often help more than complete immobility.,Support the neck with a supportive pillow; avoid stomach sleeping if it worsens pain.,"Seek care for neck pain with fever, severe headache, weakness/numbness in arms, or after a fall/collision.",NHS: Neck pain,https://www.nhs.uk/conditions/neck-pain/,1
sunburn,sunburn|paso ng araw|nasunog sa araw|red skin from sun,Sunburn,skin,Get out of the sun and cool the skin with lukewarm water or a cool compress (not ice directly).,Moisturize with a gentle lotion; avoid petroleum-heavy greasy products on fresh burns if they trap heat.,Drink extra water; loose cotton clothing reduces friction.,OTC pain relief may help discomfort if suitable for you; do not pop large blisters.,"Seek care for extensive blistering, fever, confusion, severe pain, or burns on face/eyes/genitals.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
indigestion,indigestion|dyspepsia|sakit dibdib after kain|busog na masakit|upset stomach|maalsom tiyan,Indigestion,gastrointestinal,Eat smaller slower meals; stop eating when comfortably full.,"Avoid trigger foods (very fatty, spicy, fried) and limit alcohol/caffeine for a day.",Stay upright after eating; a short walk can ease fullness.,Antacids may help short-term if appropriate and labeled for you.,"Seek care for vomiting blood, black stools, unintentional weight loss, or chest pain that could be cardiac.",NHS: Indigestion,https://www.nhs.uk/conditions/indigestion/,1
flu_home_care,flu|influenza|trangkaso malala mild|body flu|flu symptoms,Flu-like illness (home care),respiratory,Rest at home and sleep more while contagious symptoms are active.,Drink fluids often; use fever/pain medicine only as labeled if needed for comfort.,Isolate from higher-risk household members when possible; cover coughs and wash hands.,Antibiotics do not treat flu viruses — ask about testing/antivirals early if you are high risk.,"Seek care for trouble breathing, chest pain, confusion, inability to keep fluids down, or symptoms that suddenly worsen.",CDC: Flu – Caring for yourself,https://www.cdc.gov/flu/treatment/takingcare.htm,1
mouth_ulcer,mouth ulcer|canker sore|singaw|sakit sa bibig|aphthous ulcer,Mouth ulcer / canker sore,dental,Rinse with warm salt water and avoid acidic/spicy foods that sting.,Use a soft toothbrush and keep the mouth clean.,Cool soft foods and chilled drinks may feel better.,Ask a pharmacist about soothing gels if ulcers are very painful.,"Seek care if ulcers last >2 weeks, you cannot eat/drink, have high fever, or many ulcers appear suddenly.",NHS: Mouth ulcers,https://www.nhs.uk/conditions/mouth-ulcers/,1
hoarse_voice,hoarse|paos|nawala boses|laryngitis|lost voice|masakit boses,Hoarse voice / laryngitis,respiratory,Rest your voice — avoid whispering (it can strain more); speak softly only when needed.,Drink warm fluids and humidify the air.,Avoid smoke and throat clearing as much as possible.,Honey/lozenges may soothe adults if appropriate.,"Seek care if hoarseness lasts >2–3 weeks, or you have breathing difficulty, coughing blood, or unexplained weight loss.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
pink_eye_mild,pink eye|conjunctivitis|namumula mata|sore eyes mild|mata na may sipon,Mild pink eye,eye,Wash hands often and avoid touching/rubbing the eyes.,"Do not share towels, pillows, or eye makeup.",Cool clean compresses can ease discomfort; discard contact lenses until cleared.,Artificial tears may soothe irritation if recommended for you.,"Seek care for vision loss, severe pain, light sensitivity, eye injury, or symptoms in a newborn.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
bruise,bruise|pasa|black and blue|contusion mild|nagusmok,Mild bruise,first_aid,Rest the area and elevate if on a limb to limit swelling.,Apply a cool pack with a cloth barrier for brief periods in the first day.,"After 1–2 days, warm compresses may help fading comfort for some people.",Avoid massage of a fresh painful bruise.,"Seek care for bruises after a major fall/blow to the head, unexplained easy bruising, or swelling that expands quickly.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
heat_related_mild,heat exhaustion mild|init|heat stress|sobra ang init|init ng araw|nauuinit,Mild heat stress,general,Move to a cool shaded or air-conditioned place right away.,Loosen clothing and apply cool wet cloths to the skin.,Sip water or ORS slowly if you are fully awake and not vomiting heavily.,Rest until sweating and weakness improve.,"Seek urgent care for confusion, fainting, vomiting that prevents drinking, very hot dry skin, or seizures — possible heat emergency.",CDC: Extreme heat,https://www.cdc.gov/extreme-heat/prevention/index.html,1
leg_cramps,leg cramp|pulikat|charley horse|sakit binti bigla|calf cramp,Leg cramp,musculoskeletal,Gently stretch and massage the cramped muscle; walk carefully once it eases.,Hydrate and ensure you are not skipping meals/electrolytes after heavy sweat.,Apply a warm pack after the cramp settles if the muscle remains tight.,Review sudden new medicines with a clinician/pharmacist if cramps are frequent.,"Seek care for swelling/redness in one leg, chest pain, or cramps with severe weakness.",NHS: Leg cramps,https://www.nhs.uk/conditions/leg-cramps/,1
morning_sickness_mild,morning sickness|nausea pregnancy mild|sumerko buntis|pregnancy nausea mild,Mild pregnancy nausea,womens_health,Eat small frequent bland snacks (crackers) rather than large meals.,Sip fluids between meals; ginger tea or hard ginger candy may help some people.,Avoid strong smells and greasy foods.,Rest and rise slowly from bed.,"Seek care for inability to keep fluids down, dizziness, weight loss, severe vomiting, or abdominal pain — do not start new medicines without clinician advice.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
food_poisoning_recovery,food poisoning|sira ang tiyan|kuspad|foodborne mild|agusaw after kain,Mild food poisoning recovery,gastrointestinal,Focus on ORS/clear fluids first until vomiting settles.,"Return to bland foods gradually (BRAT-style: banana, rice, apple sauce, toast) when hungry.","Rest and avoid dairy, alcohol, and greasy foods for a day or two.",Practice careful handwashing and discard leftover suspect food.,"Seek care for bloody diarrhea, high fever, severe dehydration, or symptoms lasting beyond a couple of days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
athlete_foot,athlete foot|alipunga|itchy feet fungus|foot fungus mild,Athlete's foot,skin,"Wash and dry feet carefully, especially between toes.",Wear clean dry socks; alternate shoes to let them dry.,Over-the-counter antifungal cream may help if used as labeled for the full course.,Avoid sharing towels and walking barefoot in damp public areas when possible.,"Seek care if the rash spreads, has pus, severe swelling, fever, or you have diabetes/poor circulation.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
cold_sore,cold sore|herpes labialis|singaw sa labi|fever blister,Cold sore,skin,Avoid kissing/sharing utensils while sores are open.,Apply a cool compress; keep the area clean and dry.,Ask a pharmacist about topical antiviral creams started early if appropriate.,Do not pick the sore; wash hands after touching it.,"Seek care for sores near the eyes, frequent severe outbreaks, or sores with high fever in infants.",WHO: Health topics,https://www.who.int/health-topics,1
post_nasal_drip,post nasal drip|uhog sa lalamunan|throat mucus|tickle throat mucus,Post-nasal drip,respiratory,Drink fluids and use saline nasal rinse/spray to thin mucus.,Sleep with the head slightly elevated.,A clean humidifier may reduce throat tickle from dryness.,Avoid smoke; treat allergy triggers if they are known.,"Seek care if drip lasts weeks with facial pain, green/bloody discharge, fever, or wheezing.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
chest_congestion_mild,chest congestion|phlegm sa dibdib|malapot uhog|productive chest mild,Mild chest congestion,respiratory,Drink warm fluids and rest to help loosen phlegm.,Use steamy air carefully; avoid smoke exposure.,Honey (adults/older children) may soothe cough; expectorants only if labeled for you.,Do not suppress a productive cough completely if mucus is clearing.,"Seek care for shortness of breath, chest pain, bluish lips, high fever, or coughing blood.",NHS: Cough,https://www.nhs.uk/conditions/cough/,1
sciatica_mild,sciatica|sakit nerbiyos binti|shooting leg pain mild|nerve pain leg mild,Mild sciatica-like pain,musculoskeletal,Avoid prolonged sitting; take short walking breaks.,Use ice or heat packs as comfortable for short sessions.,Gentle stretches for hips/hamstrings within pain limits may help.,Sleep on a supportive surface; a pillow between knees can reduce strain.,"Seek care for progressive weakness, numbness in the groin, or loss of bladder/bowel control.",FDA US: Consumer Updates,https://www.fda.gov/consumers/consumer-updates,1
wrist_strain,wrist pain|sakit pulso|carpal strain mild|nastrain kamay,Mild wrist strain,musculoskeletal,Rest from repetitive straining tasks for 24–48 hours.,Ice briefly with a cloth barrier if swollen.,A soft wrist support may help daytime tasks if sensation stays normal.,Return to typing/lifting gradually with neutral wrist posture.,"Seek care after a fall onto the wrist, visible deformity, or numbness that does not improve.",NHS: Sprains and strains,https://www.nhs.uk/conditions/sprains-and-strains/,1
heel_pain,heel pain|sakit sakong|plantar fasciitis mild|sakit talampakan,Mild heel pain,musculoskeletal,Reduce high-impact activity for a few days; choose supportive shoes.,Gentle calf stretches before standing first thing in the morning may help.,Ice the heel briefly after activity if sore.,Avoid walking barefoot on hard floors while symptomatic.,"Seek care for inability to walk, heel bruising after injury, or pain that worsens over weeks.",NIH: Health Information,https://www.nih.gov/health-information,1
dry_skin_eczema_mild,dry skin|eczema mild|pagkatuyo ng balat|itchy dry skin|kaliskis balat mild,Dry skin / mild eczema,skin,Moisturize often with fragrance-free cream after bathing.,Use lukewarm (not hot) water and gentle cleanser; pat dry.,"Wear soft cotton layers; avoid known irritants (harsh soaps, wool if triggering).",Keep nails short to reduce scratch damage.,"Seek care for oozing infection, fever, rapidly spreading redness, or severe sleep-disturbing itch.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
dengue_watch_home,dengue|dengue watch|dengue mild watch|possible dengue home|lagnat dengue watch|dengge,Fever with body pain (dengue-watch home care),general,Rest and drink ORS/water frequently; monitor urine output.,Use acetaminophen/paracetamol only as labeled for fever/pain if suitable — avoid aspirin/ibuprofen if dengue is possible unless a clinician says otherwise.,Use mosquito nets/repellent to protect others; eliminate standing water around the home.,"Watch warning signs closely: severe belly pain, persistent vomiting, bleeding gums/nose, black stools, restlessness, cold clammy skin.","Seek urgent care for any warning signs, fever with bleeding, severe lethargy, or inability to drink — dengue can worsen quickly after the fever drops.",DOH Philippines,https://doh.gov.ph/,1
covid_mild_home,covid mild|covid-19 home|positive covid mild|corona mild,Mild COVID-like illness,respiratory,"Rest at home, isolate as advised locally, and improve room ventilation when possible.",Drink fluids; use labeled fever/pain medicine for comfort if appropriate.,Monitor breathing and oxygen needs if you have a pulse oximeter and know your baseline.,Contact a clinician early if you are high risk — antivirals work best soon after symptoms start.,"Seek urgent care for trouble breathing, chest pain, confusion, blue lips, or inability to stay awake.",CDC: COVID-19,https://www.cdc.gov/covid/prevention/index.html,1
