emotion,phrase,language
curious,Paano mag-book ng appointment,fil
curious,Diin ko maka-book sang appointment,hil
curious,Pwede ko mag-book sang appointment,hil
curious,Need ko mag-reset sang password,hil
curious,Hindi ako maka-login sa account ko,fil
relieved,Salamat okay na ang login,fil
relieved,Salamat guid okay na,hil
excited,Excited na mag-book ng appointment,fil
excited,Excited na ko mag konsulta,hil
disappointed,Hindi nag-work ang appointment ko,fil
disappointed,Indi nag-work ang appointment ko,hil
nervous,Kinakabahan ako sa video consult,fil
nervous,Kinakabahan ko sa video konsultasyon,hil
afraid,Basi delikado ang sintomas ko,fil
afraid,Basi delikado ang sintomas ko,hil
happy,Maayo na ang tanan subong,hil
happy,Okay na ang tanan,fil
