local_term,english_translation,category,medical_keyword,severity,body_system
masakit ulo / headache,headache,symptom,headache,moderate,neurological
pareho pirme sakit ulo ko po gid,headache,symptom,headache,moderate,neurological
feel ko nga ga sakit ulo ko pirmi gid,headache,symptom,headache,moderate,neurological
"doktor, daw ga linog akon ulo subong",headache,symptom,headache,moderate,neurological
masakit ulo po,headache,symptom,headache,moderate,neurological
masakit akon ulo malala gid gid,headache,symptom,headache,moderate,neurological
daw daw ga linog akon ulo gid,headache,symptom,headache,moderate,neurological
sakit sa ulo,headache,symptom,headache,moderate,neurological
amuni pirme sakit ulo ko nga po na gid,headache,symptom,headache,moderate,neurological
"doc, ga sakit ulo ko sige na gid",headache,symptom,headache,moderate,neurological
kirot ulo man,headache,symptom,headache,moderate,neurological
may ara ko nga ga sakit ulo ko sige ako,headache,symptom,headache,moderate,neurological
ulo masakit man,headache,symptom,headache,moderate,neurological
ulo masakit ako,headache,symptom,headache,moderate,neurological
sakit ulo sobra ko,headache,symptom,headache,moderate,neurological
ga sakit ulo ko pirmi na gid,headache,symptom,headache,moderate,neurological
feel ko nga sakit sang ulo grabe gid ako,headache,symptom,headache,moderate,neurological
"doc, ga sakit ulo ko since kagapon",headache,symptom,headache,moderate,neurological
sige ko masakit daw malala akon ulo sige gid ako,headache,symptom,headache,moderate,neurological
masakit grabeh akon ulo karon na gid,headache,symptom,headache,moderate,neurological
amuni ga sakit ulo ko karon,headache,symptom,headache,moderate,neurological
sakit sang ulo gid ko,headache,symptom,headache,moderate,neurological
sige ko sakit sang ulo ko sige man,headache,symptom,headache,moderate,neurological
ulo masakit subong,headache,symptom,headache,moderate,neurological
amuni nagasakit ulo dako gid,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko subong na gid,headache,symptom,headache,moderate,neurological
ulo masakit na gid,headache,symptom,headache,moderate,neurological
Daw ga linog akon ulo.,headache,symptom,headache,moderate,neurological
masakit akon ulo,headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko kagapon",headache,symptom,headache,moderate,neurological
sige ko sakit sang ulo malala gid gid ko,headache,symptom,headache,moderate,neurological
sakit sa ulo subong,headache,symptom,headache,moderate,neurological
"doc, masakit grabe akon ulo halin sang gabii man",headache,symptom,headache,moderate,neurological
"doktor, masakit sobra akon ulo subong gid",headache,symptom,headache,moderate,neurological
daw sakit sang ulo ko pirmi bah,headache,symptom,headache,moderate,neurological
daw masakit ulo sing malala na gid,headache,symptom,headache,moderate,neurological
may ara ko nga nagasakit ulo daw malala gid,headache,symptom,headache,moderate,neurological
ulo maskit,headache,symptom,headache,moderate,neurological
"doktor, pirme sakit ulo ko po gid",headache,symptom,headache,moderate,neurological
nagasakit ulo po,headache,symptom,headache,moderate,neurological
amuni masakit malala gid akon ulo halin sang gabii gid ko,headache,symptom,headache,moderate,neurological
nagMasakit gid akon ulo subong,headache,symptom,headache,moderate,neurological
"doktor, sakit sang ulo ko karon ako",headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko subong subong,headache,symptom,headache,moderate,neurological
"doktor, sakit sang ulo ko halin sang gabii bah",headache,symptom,headache,moderate,neurological
"doc, pirme sakit ulo ko na po man",headache,symptom,headache,moderate,neurological
basin daw ga linog akon ulo ko,headache,symptom,headache,moderate,neurological
complain ko kay masakit dako gid akon ulo halin sang aga gid ako,headache,symptom,headache,moderate,neurological
"doktor, sakit sang ulo ko halin sang aga man",headache,symptom,headache,moderate,neurological
"doktor, daw ga linog akon ulo",headache,symptom,headache,moderate,neurological
ginpanakit ulo,headache,symptom,headache,moderate,neurological
may ara ko nga sakit sang ulo ko karon gid ako,headache,symptom,headache,moderate,neurological
sakit ulo / headache,headache,symptom,headache,moderate,neurological
sakit sa ulo man,headache,symptom,headache,moderate,neurological
pareho masakit sing malala akon ulo since kagapon bah,headache,symptom,headache,moderate,neurological
"dok, daw ga linog akon ulo ko",headache,symptom,headache,moderate,neurological
naga sakit ulo ko,headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko sige bah",headache,symptom,headache,moderate,neurological
hapdi ulo talaga,headache,symptom,headache,moderate,neurological
amuni pirme sakit ulo ko din man,headache,symptom,headache,moderate,neurological
complain ko kay pirme sakit ulo ko nga po gid ko,headache,symptom,headache,moderate,neurological
may ara ko nga ga sakit ulo ko subong ako,headache,symptom,headache,moderate,neurological
nagasakit ulo,headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko pirmi ko",headache,symptom,headache,moderate,neurological
sakit ulo po,headache,symptom,headache,moderate,neurological
complain ko kay sakit ulo dako gid gid,headache,symptom,headache,moderate,neurological
basin grabe sakit sang ulo ko man,headache,symptom,headache,moderate,neurological
"dok, pirme sakit ulo ko din gid ko",headache,symptom,headache,moderate,neurological
sige ko sakit sang ulo ko sige gid,headache,symptom,headache,moderate,neurological
amuni masakit ulo grabe man,headache,symptom,headache,moderate,neurological
masakit malala gid akon ulo halin sang aga ako,headache,symptom,headache,moderate,neurological
"dok, daw ga linog akon ulo subong",headache,symptom,headache,moderate,neurological
daw ga linog akon ulo ko,headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko nga po gid ako,headache,symptom,headache,moderate,neurological
"doc, sakit ulo daw malala na gid",headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko din,headache,symptom,headache,moderate,neurological
kirot ulo bah,headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko since kagapon gid",headache,symptom,headache,moderate,neurological
may ara ko nga daw ga linog akon ulo gid,headache,symptom,headache,moderate,neurological
daw daw ga linog akon ulo gid ko,headache,symptom,headache,moderate,neurological
"doktor, ga sakit ulo ko kagapon na gid",headache,symptom,headache,moderate,neurological
complain ko kay sakit sang ulo ko since kagapon ako,headache,symptom,headache,moderate,neurological
"dok, masakit akon ulo sing malala bah",headache,symptom,headache,moderate,neurological
basin pirme sakit ulo ko talaga bah,headache,symptom,headache,moderate,neurological
may Daw ga linog akon ulo.,headache,symptom,headache,moderate,neurological
panakit ulo subong,headache,symptom,headache,moderate,neurological
Pirme sakit ulo ko,headache,symptom,headache,moderate,neurological
may ara ko nga pirme sakit ulo ko talaga gid ako,headache,symptom,headache,moderate,neurological
ga sakit ulo ko ko,headache,symptom,headache,moderate,neurological
complain ko kay masakit gid akon ulo karon gid,headache,symptom,headache,moderate,neurological
ginGrabe sakit sang ulo ko,headache,symptom,headache,moderate,neurological
ga sakit ulo ko ako,headache,symptom,headache,moderate,neurological
nagsakit sa ulo,headache,symptom,headache,moderate,neurological
ginsakit sang ulo,headache,symptom,headache,moderate,neurological
sakit sa ulo gid ko,headache,symptom,headache,moderate,neurological
masakit sing malala akon ulo karon gid ko,headache,symptom,headache,moderate,neurological
masakit akon ulo gid,headache,symptom,headache,moderate,neurological
daw daw ga linog akon ulo bah,headache,symptom,headache,moderate,neurological
may ara ko nga daw ga linog akon ulo gid ko,headache,symptom,headache,moderate,neurological
ulo masakit po,headache,symptom,headache,moderate,neurological
kirot ulo,headache,symptom,headache,moderate,neurological
amuni sakit sang ulo ko since kagapon bah,headache,symptom,headache,moderate,neurological
may ara ko nga sakit sang ulo ko kagapon ako,headache,symptom,headache,moderate,neurological
feel ko nga masakit ulo malala gid gid,headache,symptom,headache,moderate,neurological
"doc, grabe sakit sang ulo ko",headache,symptom,headache,moderate,neurological
"doktor, pirme sakit ulo ko po gid man",headache,symptom,headache,moderate,neurological
ginhapdi ulo,headache,symptom,headache,moderate,neurological
"may Dok, sakit gid ulo ko subong.",headache,symptom,headache,moderate,neurological
amuni grabe sakit sang ulo ko ako,headache,symptom,headache,moderate,neurological
basin masakit sing malala akon ulo karon ako,headache,symptom,headache,moderate,neurological
sakit sang ulo,headache,symptom,headache,moderate,neurological
basin pirme sakit ulo ko nga po gid ako,headache,symptom,headache,moderate,neurological
ulo masaket,headache,symptom,headache,moderate,neurological
basin grabe sakit sang ulo ko na gid,headache,symptom,headache,moderate,neurological
nagpanakit ulo,headache,symptom,headache,moderate,neurological
sige ko masakit sing malala akon ulo karon,headache,symptom,headache,moderate,neurological
"dok, masakit sobra akon ulo halin sang gabii na gid",headache,symptom,headache,moderate,neurological
"dok, pirme sakit ulo ko din man",headache,symptom,headache,moderate,neurological
nagasaket ulo,headache,symptom,headache,moderate,neurological
feel ko nga ga sakit ulo ko kagapon gid ako,headache,symptom,headache,moderate,neurological
sakit sang ulo ko halin sang gabii na gid,headache,symptom,headache,moderate,neurological
nagDaw ga linog akon ulo.,headache,symptom,headache,moderate,neurological
"doc, daw ga linog akon ulo ko",headache,symptom,headache,moderate,neurological
complain ko kay grabe sakit sang ulo ko gid ako,headache,symptom,headache,moderate,neurological
ga sakit ulo ko subong,headache,symptom,headache,moderate,neurological
panakit ulo gid,headache,symptom,headache,moderate,neurological
may ara ko nga masakit grabe akon ulo sige na gid,headache,symptom,headache,moderate,neurological
"dok, ga sakit ulo ko sige gid ko",headache,symptom,headache,moderate,neurological
basin masakit ulo gid,headache,symptom,headache,moderate,neurological
may hapdi ulo,headache,symptom,headache,moderate,neurological
sige ko ga sakit ulo ko karon bah,headache,symptom,headache,moderate,neurological
feel ko nga sakit sang ulo ko kagapon man,headache,symptom,headache,moderate,neurological
sige ko masakit grabeh akon ulo kagapon bah,headache,symptom,headache,moderate,neurological
naghapdi ulo,headache,symptom,headache,moderate,neurological
basin grabe sakit sang ulo ko gid ako,headache,symptom,headache,moderate,neurological
kirot ulo na gid,headache,symptom,headache,moderate,neurological
masakit sobra akon ulo kagapon gid,headache,symptom,headache,moderate,neurological
feel ko nga pirme sakit ulo ko po gid gid ko,headache,symptom,headache,moderate,neurological
pareho sakit sang ulo ko pirmi na gid,headache,symptom,headache,moderate,neurological
masakit akon ulo ko,headache,symptom,headache,moderate,neurological
ulo masakit gid,headache,symptom,headache,moderate,neurological
skit sang ulo,headache,symptom,headache,moderate,neurological
pareho masakit malala gid akon ulo since kagapon gid ako,headache,symptom,headache,moderate,neurological
sige ko daw ga linog akon ulo ako,headache,symptom,headache,moderate,neurological
complain ko kay masakit akon ulo grabeh man,headache,symptom,headache,moderate,neurological
"dok, daw ga linog akon ulo",headache,symptom,headache,moderate,neurological
"dok, daw ga linog akon ulo gid",headache,symptom,headache,moderate,neurological
"doktor, sakit sang ulo dako gid gid ko",headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko talaga bah,headache,symptom,headache,moderate,neurological
ga sakit ulo ko gid,headache,symptom,headache,moderate,neurological
complain ko kay pirme sakit ulo ko talaga na gid,headache,symptom,headache,moderate,neurological
basin daw ga linog akon ulo gid ako,headache,symptom,headache,moderate,neurological
hapdi ulo na gid,headache,symptom,headache,moderate,neurological
daw grabe sakit sang ulo ko gid ako,headache,symptom,headache,moderate,neurological
amuni daw ga linog akon ulo ako,headache,symptom,headache,moderate,neurological
may ara ko nga sakit sang ulo ko halin sang aga subong,headache,symptom,headache,moderate,neurological
"doktor, pirme sakit ulo ko din gid ako",headache,symptom,headache,moderate,neurological
masaket ulo,headache,symptom,headache,moderate,neurological
daw masakit malala gid akon ulo halin sang gabii gid ko,headache,symptom,headache,moderate,neurological
amuni ga sakit ulo ko pirmi,headache,symptom,headache,moderate,neurological
sige ko pirme sakit ulo ko din,headache,symptom,headache,moderate,neurological
complain ko kay sakit sang ulo sobra na gid,headache,symptom,headache,moderate,neurological
"doktor, nagasakit ulo grabe gid",headache,symptom,headache,moderate,neurological
daw ga linog akon ulo ako,headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko po gid ako,headache,symptom,headache,moderate,neurological
may ara ko nga daw ga linog akon ulo ko,headache,symptom,headache,moderate,neurological
sige ko sakit sang ulo ko since kagapon gid,headache,symptom,headache,moderate,neurological
ga sakit ulo ko sing malala na gid,headache,symptom,headache,moderate,neurological
complain ko kay ga sakit ulo ko pirmi ko,headache,symptom,headache,moderate,neurological
hapdi ulo subong,headache,symptom,headache,moderate,neurological
complain ko kay sakit sang ulo ko halin sang aga bah,headache,symptom,headache,moderate,neurological
masakti akon ulo,headache,symptom,headache,moderate,neurological
panakit ulo na gid,headache,symptom,headache,moderate,neurological
sakit ulo dako gid na gid,headache,symptom,headache,moderate,neurological
amuni ga sakit ulo ko karon na gid,headache,symptom,headache,moderate,neurological
feel ko nga masakit ulo grabeh ako,headache,symptom,headache,moderate,neurological
masakit akon ulo / headache,headache,symptom,headache,moderate,neurological
complain ko kay masakit dako gid akon ulo karon na gid,headache,symptom,headache,moderate,neurological
panakit ulo,headache,symptom,headache,moderate,neurological
"doktor, pirme sakit ulo ko nga po",headache,symptom,headache,moderate,neurological
"doc, masakit ulo malala gid subong",headache,symptom,headache,moderate,neurological
nagaskit ulo,headache,symptom,headache,moderate,neurological
amuni nagasakit ulo grabe gid ako,headache,symptom,headache,moderate,neurological
complain ko kay sakit ulo sing malala na gid,headache,symptom,headache,moderate,neurological
sakit sang ulo man,headache,symptom,headache,moderate,neurological
complain ko kay masakit daw malala akon ulo pirmi ko,headache,symptom,headache,moderate,neurological
"doc, sakit sang ulo ko since kagapon gid ko",headache,symptom,headache,moderate,neurological
pareho pirme sakit ulo ko nga po gid,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko kagapon gid ko,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko sige man,headache,symptom,headache,moderate,neurological
amuni sakit sang ulo ko halin sang gabii man,headache,symptom,headache,moderate,neurological
"dok, daw ga linog akon ulo man",headache,symptom,headache,moderate,neurological
sakit sang ulo grabeh ako,headache,symptom,headache,moderate,neurological
"doktor, daw ga linog akon ulo bah",headache,symptom,headache,moderate,neurological
sige ko ga sakit ulo ko since kagapon ko,headache,symptom,headache,moderate,neurological
basin ga sakit ulo ko halin sang gabii,headache,symptom,headache,moderate,neurological
masakit akon ulo talaga,headache,symptom,headache,moderate,neurological
hapdi ulo man,headache,symptom,headache,moderate,neurological
may Grabe sakit sang ulo ko,headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko halin sang aga bah",headache,symptom,headache,moderate,neurological
masakit ulo talaga,headache,symptom,headache,moderate,neurological
"dok, masakit gid akon ulo halin sang gabii man",headache,symptom,headache,moderate,neurological
ginga sakit ulo ko,headache,symptom,headache,moderate,neurological
pareho masakit sing malala akon ulo since kagapon ako,headache,symptom,headache,moderate,neurological
pareho nagasakit ulo grabe gid,headache,symptom,headache,moderate,neurological
sakit sang ulo ako,headache,symptom,headache,moderate,neurological
complain ko kay daw ga linog akon ulo gid ako,headache,symptom,headache,moderate,neurological
may panakit ulo,headache,symptom,headache,moderate,neurological
feel ko nga daw ga linog akon ulo ako,headache,symptom,headache,moderate,neurological
hapdi ulo,headache,symptom,headache,moderate,neurological
sakit sang ulo ko sige subong,headache,symptom,headache,moderate,neurological
may ara ko nga ga sakit ulo ko halin sang gabii gid ko,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko karon ko,headache,symptom,headache,moderate,neurological
masakit ulo subong,headache,symptom,headache,moderate,neurological
"doc, sakit sang ulo ko sige ako",headache,symptom,headache,moderate,neurological
ginPirme sakit ulo ko,headache,symptom,headache,moderate,neurological
may ara ko nga daw ga linog akon ulo na gid,headache,symptom,headache,moderate,neurological
ginkirot ulo,headache,symptom,headache,moderate,neurological
"dok, masakit sobra akon ulo karon ko",headache,symptom,headache,moderate,neurological
"doc, daw ga linog akon ulo subong",headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko since kagapon gid ako",headache,symptom,headache,moderate,neurological
"doc, sakit sang ulo ko pirmi gid",headache,symptom,headache,moderate,neurological
may ara ko nga ga sakit ulo ko halin sang aga ko,headache,symptom,headache,moderate,neurological
"doktor, grabe sakit sang ulo ko na gid",headache,symptom,headache,moderate,neurological
ginsakit ulo,headache,symptom,headache,moderate,neurological
daw ga sakit ulo ko karon subong,headache,symptom,headache,moderate,neurological
sige ko pirme sakit ulo ko nga po ko,headache,symptom,headache,moderate,neurological
"doktor, masakit akon ulo sing malala bah",headache,symptom,headache,moderate,neurological
complain ko kay masakit sing malala akon ulo since kagapon gid ko,headache,symptom,headache,moderate,neurological
"dok, grabe sakit sang ulo ko ko",headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko po subong,headache,symptom,headache,moderate,neurological
hapdi ulo ako,headache,symptom,headache,moderate,neurological
may ara ko nga ga sakit ulo ko halin sang aga subong,headache,symptom,headache,moderate,neurological
may kirot ulo,headache,symptom,headache,moderate,neurological
sige ko masakit ulo daw malala gid ako,headache,symptom,headache,moderate,neurological
sakit ulo man,headache,symptom,headache,moderate,neurological
amuni ga sakit ulo ko pirmi bah,headache,symptom,headache,moderate,neurological
"doc, pirme sakit ulo ko nga po",headache,symptom,headache,moderate,neurological
pirme sakit ulo ko nga po bah,headache,symptom,headache,moderate,neurological
amuni nagasakit ulo gid man,headache,symptom,headache,moderate,neurological
hapdi ulo po,headache,symptom,headache,moderate,neurological
pirme sakit ulo ko na po subong,headache,symptom,headache,moderate,neurological
may ara ko nga masakit daw malala akon ulo kagapon ko,headache,symptom,headache,moderate,neurological
pareho sakit sang ulo ko halin sang gabii ako,headache,symptom,headache,moderate,neurological
complain ko kay grabe sakit sang ulo ko gid ko,headache,symptom,headache,moderate,neurological
Maskit gid akon ulo subong,headache,symptom,headache,moderate,neurological
sige ko masakit sing malala akon ulo sige gid,headache,symptom,headache,moderate,neurological
grabe sakit sang ulo ko gid ko,headache,symptom,headache,moderate,neurological
may ara ko nga sakit sang ulo daw malala subong,headache,symptom,headache,moderate,neurological
sakit sang ulo subong,headache,symptom,headache,moderate,neurological
masakit akon ulo po,headache,symptom,headache,moderate,neurological
kirot ulo ako,headache,symptom,headache,moderate,neurological
basin grabe sakit sang ulo ko ako,headache,symptom,headache,moderate,neurological
"doktor, pirme sakit ulo ko talaga bah",headache,symptom,headache,moderate,neurological
"doktor, ga sakit ulo ko halin sang gabii ko",headache,symptom,headache,moderate,neurological
"doc, daw ga linog akon ulo",headache,symptom,headache,moderate,neurological
sige ko sakit sang ulo ko sige gid ko,headache,symptom,headache,moderate,neurological
nagasakit ulo grabeh ko,headache,symptom,headache,moderate,neurological
"doc, grabe sakit sang ulo ko gid ako",headache,symptom,headache,moderate,neurological
"Dok, sakit gid ulo ko subong.",headache,symptom,headache,moderate,neurological
hapdi ulo ko,headache,symptom,headache,moderate,neurological
ginMasakit gid akon ulo subong,headache,symptom,headache,moderate,neurological
masakit ulo na gid,headache,symptom,headache,moderate,neurological
daw grabe sakit sang ulo ko gid ko,headache,symptom,headache,moderate,neurological
may ara ko nga daw ga linog akon ulo ako,headache,symptom,headache,moderate,neurological
amuni pirme sakit ulo ko nga po subong,headache,symptom,headache,moderate,neurological
sakit sa ulo na gid,headache,symptom,headache,moderate,neurological
nagasakit ulo na gid,headache,symptom,headache,moderate,neurological
may ara ko nga sakit sang ulo ko sige man,headache,symptom,headache,moderate,neurological
kirot ulo gid,headache,symptom,headache,moderate,neurological
may Pirme sakit ulo ko,headache,symptom,headache,moderate,neurological
Masakit gid akon ulo subong,headache,symptom,headache,moderate,neurological
basin daw ga linog akon ulo bah,headache,symptom,headache,moderate,neurological
amuni daw ga linog akon ulo gid,headache,symptom,headache,moderate,neurological
sige ko ga sakit ulo ko malala gid gid ko,headache,symptom,headache,moderate,neurological
may ara ko nga grabe sakit sang ulo ko gid,headache,symptom,headache,moderate,neurological
grabe sakit sang ulo ko ko,headache,symptom,headache,moderate,neurological
sige ko pirme sakit ulo ko po gid gid ako,headache,symptom,headache,moderate,neurological
kirot ulo subong,headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko talaga ako,headache,symptom,headache,moderate,neurological
feel ko nga sakit ulo daw malala subong,headache,symptom,headache,moderate,neurological
amuni masakit akon ulo gid bah,headache,symptom,headache,moderate,neurological
complain ko kay pirme sakit ulo ko na po na gid,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko since kagapon gid ako,headache,symptom,headache,moderate,neurological
panakit ulo po,headache,symptom,headache,moderate,neurological
pareho masakit grabe akon ulo subong na gid,headache,symptom,headache,moderate,neurological
daw grabe sakit sang ulo ko ko,headache,symptom,headache,moderate,neurological
pirme sakit ulo ko na po man,headache,symptom,headache,moderate,neurological
basin ga sakit ulo ko malala gid bah,headache,symptom,headache,moderate,neurological
pareho ga sakit ulo ko sing malala man,headache,symptom,headache,moderate,neurological
Masaket gid akon ulo subong,headache,symptom,headache,moderate,neurological
sakit sang ulo po,headache,symptom,headache,moderate,neurological
"doktor, masakit dako gid akon ulo since kagapon na gid",headache,symptom,headache,moderate,neurological
sige ko masakit akon ulo sobra gid ko,headache,symptom,headache,moderate,neurological
amuni grabe sakit sang ulo ko gid ko,headache,symptom,headache,moderate,neurological
sige ko ga sakit ulo ko halin sang aga na gid,headache,symptom,headache,moderate,neurological
amuni ga sakit ulo ko subong subong,headache,symptom,headache,moderate,neurological
sakit sa ulo gid,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko since kagapon ko,headache,symptom,headache,moderate,neurological
pareho masakit sing malala akon ulo kagapon gid ko,headache,symptom,headache,moderate,neurological
basin sakit sang ulo malala gid gid ako,headache,symptom,headache,moderate,neurological
complain ko kay grabe sakit sang ulo ko ko,headache,symptom,headache,moderate,neurological
pareho sakit sang ulo ko kagapon gid ako,headache,symptom,headache,moderate,neurological
masakit akon ulo subong,headache,symptom,headache,moderate,neurological
Masakit gid akon ulo subuhonng,headache,symptom,headache,moderate,neurological
"doc, masakit daw malala akon ulo subong",headache,symptom,headache,moderate,neurological
"dok, sakit sang ulo ko karon ako",headache,symptom,headache,moderate,neurological
basin nagasakit ulo daw malala na gid,headache,symptom,headache,moderate,neurological
sakit sang ulo ko,headache,symptom,headache,moderate,neurological
basin sakit sang ulo ko halin sang aga na gid,headache,symptom,headache,moderate,neurological
may headache ko,headache,symptom,headache,moderate,neurological
complain ko kay ga sakit ulo ko halin sang aga bah,headache,symptom,headache,moderate,neurological
masakit ulo ko,headache,symptom,headache,moderate,neurological
masakit akon ulo bah,headache,symptom,headache,moderate,neurological
pareho ga sakit ulo ko karon,headache,symptom,headache,moderate,neurological
sakit ulo gid,headache,symptom,headache,moderate,neurological
pareho grabe sakit sang ulo ko na gid,headache,symptom,headache,moderate,neurological
nagga sakit ulo ko,headache,symptom,headache,moderate,neurological
daw pirme sakit ulo ko po,headache,symptom,headache,moderate,neurological
