hiligaynon_pattern,english_pattern,triage_level,severity,status
akon ko ngabil hilanat gid,lip high fever,urgent,moderate,active
akon ko pisngi hilanat gid,cheek high fever,urgent,moderate,active
akon ko singit hilanat gid,groin high fever,urgent,moderate,active
akon ko talukap mata hilanat gid,eyelid high fever,urgent,moderate,active
akon ko tiyan hilanat gid,abdomen high fever,urgent,moderate,active
akon ko tungod hilanat gid,throat high fever,urgent,moderate,active
akon ngabil hilanat gid,lip high fever,urgent,moderate,active
akon pisngi hilanat gid,cheek high fever,urgent,moderate,active
akon singit hilanat gid,groin high fever,urgent,moderate,active
akon talukap mata hilanat gid,eyelid high fever,urgent,moderate,active
akon tiyan hilanat gid,abdomen high fever,urgent,moderate,active
akon tungod hilanat gid,throat high fever,urgent,moderate,active
alta presyon,hypertension,urgent,moderate,active
alta presyon ko,hypertension,urgent,moderate,active
bag-o lang ginahilanat gid ko,fever,urgent,moderate,active
bukongbukong akon hilanat gid,ankle high fever,urgent,moderate,active
bukongbukong akon ko hilanat gid,ankle high fever,urgent,moderate,active
bukongbukong hilanat gid,ankle high fever,urgent,moderate,active
bukongbukong ko akon hilanat gid,ankle high fever,urgent,moderate,active
bukongbukong ko hilanat gid,ankle high fever,urgent,moderate,active
dalunggan akon hilanat gid,ear high fever,urgent,moderate,active
dalunggan akon ko hilanat gid,ear high fever,urgent,moderate,active
dalunggan hilanat gid,ear high fever,urgent,moderate,active
dalunggan ko akon hilanat gid,ear high fever,urgent,moderate,active
dalunggan ko hilanat gid,ear high fever,urgent,moderate,active
dugay na ginahilanat gid ko,fever,urgent,moderate,active
dughan akon hilanat gid,chest high fever,urgent,moderate,active
dughan akon ko hilanat gid,chest high fever,urgent,moderate,active
dughan hilanat gid,chest high fever,urgent,moderate,active
dughan ko akon hilanat gid,chest high fever,urgent,moderate,active
dughan ko hilanat gid,chest high fever,urgent,moderate,active
gadugo ari ko,penile bleeding,urgent,severe,active
gadugo bilat ko,vaginal bleeding,urgent,severe,active
gahabok ari ko,penis swelling,urgent,moderate,active
gahabok bilat ko,vagina swelling,urgent,moderate,active
gahabok itlog ko,testicle swelling,urgent,moderate,active
gahabok kamot ko,hand swelling,urgent,moderate,active
gahabok liog ko,neck swelling,urgent,moderate,active
gahabok mata ko,eye swelling,urgent,moderate,active
gahabok pisngi ko,cheek swelling,urgent,moderate,active
gahabok talukap mata ko,eyelid swelling,urgent,moderate,active
gahabok tiyan ko,abdomen swelling,urgent,moderate,active
gahika dughan ko,chest cough,urgent,moderate,active
gahubag itlog ko,testicular swelling,urgent,moderate,active
gasakit ari ko,penis pain,urgent,moderate,active
gasakit bilat ko,vagina pain,urgent,moderate,active
gasakit dalunggan ko,ear pain,urgent,moderate,active
gasakit itlog ko,testicle pain,urgent,moderate,active
gasakit likod ko,back pain,urgent,moderate,active
gasakit mata ko,eye pain,urgent,moderate,active
gasakit tiyan ko,abdomen pain,urgent,moderate,active
gasakit tungod ko,throat pain,urgent,moderate,active
gid hilanat gid abaga akon,shoulder high fever,urgent,moderate,active
gid hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,active
gid hilanat gid abaga ko,shoulder high fever,urgent,moderate,active
gid hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,active
gid hilanat gid bukongbukong akon,ankle high fever,urgent,moderate,active
gid hilanat gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
gid hilanat gid bukongbukong ko,ankle high fever,urgent,moderate,active
gid hilanat gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
gid hilanat gid dalunggan akon,ear high fever,urgent,moderate,active
gid hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,active
gid hilanat gid dalunggan ko,ear high fever,urgent,moderate,active
gid hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,active
gid hilanat gid dughan akon,chest high fever,urgent,moderate,active
gid hilanat gid dughan akon ko,chest high fever,urgent,moderate,active
gid hilanat gid dughan ko,chest high fever,urgent,moderate,active
gid hilanat gid dughan ko akon,chest high fever,urgent,moderate,active
gid hilanat gid ilong akon,nose high fever,urgent,moderate,active
gid hilanat gid ilong akon ko,nose high fever,urgent,moderate,active
gid hilanat gid ilong ko,nose high fever,urgent,moderate,active
gid hilanat gid ilong ko akon,nose high fever,urgent,moderate,active
gid hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,active
gid hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
gid hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,active
gid hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
gid hilanat gid ngabil akon,lip high fever,urgent,moderate,active
gid hilanat gid ngabil akon ko,lip high fever,urgent,moderate,active
gid hilanat gid ngabil ko,lip high fever,urgent,moderate,active
gid hilanat gid ngabil ko akon,lip high fever,urgent,moderate,active
gid hilanat gid pisngi akon,cheek high fever,urgent,moderate,active
gid hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,active
gid hilanat gid pisngi ko,cheek high fever,urgent,moderate,active
gid hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,active
gid hilanat gid singit akon,groin high fever,urgent,moderate,active
gid hilanat gid singit akon ko,groin high fever,urgent,moderate,active
gid hilanat gid singit ko,groin high fever,urgent,moderate,active
gid hilanat gid singit ko akon,groin high fever,urgent,moderate,active
gid hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,active
gid hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
gid hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,active
gid hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
gid hilanat gid tiyan akon,abdomen high fever,urgent,moderate,active
gid hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,active
gid hilanat gid tiyan ko,abdomen high fever,urgent,moderate,active
gid hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,active
gid hilanat gid tungod akon,throat high fever,urgent,moderate,active
gid hilanat gid tungod akon ko,throat high fever,urgent,moderate,active
gid hilanat gid tungod ko,throat high fever,urgent,moderate,active
gid hilanat gid tungod ko akon,throat high fever,urgent,moderate,active
ginabaldom gid ko,severe abdominal pain,urgent,moderate,active
ginahilanat gid,high fever,urgent,moderate,active
ginahilanat gid ko,fever,urgent,moderate,active
ginahilanat ko kag gahika ko,fever with cough,urgent,moderate,active
ginahilanat lawas ko,body fever,urgent,moderate,active
ginkagat sang ido,dog bite,urgent,moderate,active
ginkagat sang ido ko,dog bite,urgent,moderate,active
grabe gid hilanat gid abaga akon,shoulder high fever,urgent,moderate,active
grabe gid hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,active
grabe gid hilanat gid abaga ko,shoulder high fever,urgent,moderate,active
grabe gid hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,active
grabe gid hilanat gid bukongbukong akon,ankle high fever,urgent,moderate,active
grabe gid hilanat gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
grabe gid hilanat gid bukongbukong ko,ankle high fever,urgent,moderate,active
grabe gid hilanat gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
grabe gid hilanat gid dalunggan akon,ear high fever,urgent,moderate,active
grabe gid hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,active
grabe gid hilanat gid dalunggan ko,ear high fever,urgent,moderate,active
grabe gid hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,active
grabe gid hilanat gid dughan akon,chest high fever,urgent,moderate,active
grabe gid hilanat gid dughan akon ko,chest high fever,urgent,moderate,active
grabe gid hilanat gid dughan ko,chest high fever,urgent,moderate,active
grabe gid hilanat gid dughan ko akon,chest high fever,urgent,moderate,active
grabe gid hilanat gid ilong akon,nose high fever,urgent,moderate,active
grabe gid hilanat gid ilong akon ko,nose high fever,urgent,moderate,active
grabe gid hilanat gid ilong ko,nose high fever,urgent,moderate,active
grabe gid hilanat gid ilong ko akon,nose high fever,urgent,moderate,active
grabe gid hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid ngabil akon,lip high fever,urgent,moderate,active
grabe gid hilanat gid ngabil akon ko,lip high fever,urgent,moderate,active
grabe gid hilanat gid ngabil ko,lip high fever,urgent,moderate,active
grabe gid hilanat gid ngabil ko akon,lip high fever,urgent,moderate,active
grabe gid hilanat gid pisngi akon,cheek high fever,urgent,moderate,active
grabe gid hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,active
grabe gid hilanat gid pisngi ko,cheek high fever,urgent,moderate,active
grabe gid hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,active
grabe gid hilanat gid singit akon,groin high fever,urgent,moderate,active
grabe gid hilanat gid singit akon ko,groin high fever,urgent,moderate,active
grabe gid hilanat gid singit ko,groin high fever,urgent,moderate,active
grabe gid hilanat gid singit ko akon,groin high fever,urgent,moderate,active
grabe gid hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
grabe gid hilanat gid tiyan akon,abdomen high fever,urgent,moderate,active
grabe gid hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,active
grabe gid hilanat gid tiyan ko,abdomen high fever,urgent,moderate,active
grabe gid hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,active
grabe gid hilanat gid tungod akon,throat high fever,urgent,moderate,active
grabe gid hilanat gid tungod akon ko,throat high fever,urgent,moderate,active
grabe gid hilanat gid tungod ko,throat high fever,urgent,moderate,active
grabe gid hilanat gid tungod ko akon,throat high fever,urgent,moderate,active
grabe hilanat gid abaga akon,shoulder high fever,urgent,moderate,active
grabe hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,active
grabe hilanat gid abaga ko,shoulder high fever,urgent,moderate,active
grabe hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,active
grabe hilanat gid bukongbukong akon,ankle high fever,urgent,moderate,active
grabe hilanat gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
grabe hilanat gid bukongbukong ko,ankle high fever,urgent,moderate,active
grabe hilanat gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
grabe hilanat gid dalunggan akon,ear high fever,urgent,moderate,active
grabe hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,active
grabe hilanat gid dalunggan ko,ear high fever,urgent,moderate,active
grabe hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,active
grabe hilanat gid dughan akon,chest high fever,urgent,moderate,active
grabe hilanat gid dughan akon ko,chest high fever,urgent,moderate,active
grabe hilanat gid dughan ko,chest high fever,urgent,moderate,active
grabe hilanat gid dughan ko akon,chest high fever,urgent,moderate,active
grabe hilanat gid ilong akon,nose high fever,urgent,moderate,active
grabe hilanat gid ilong akon ko,nose high fever,urgent,moderate,active
grabe hilanat gid ilong ko,nose high fever,urgent,moderate,active
grabe hilanat gid ilong ko akon,nose high fever,urgent,moderate,active
grabe hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,active
grabe hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
grabe hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,active
grabe hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
grabe hilanat gid ngabil akon,lip high fever,urgent,moderate,active
grabe hilanat gid ngabil akon ko,lip high fever,urgent,moderate,active
grabe hilanat gid ngabil ko,lip high fever,urgent,moderate,active
grabe hilanat gid ngabil ko akon,lip high fever,urgent,moderate,active
grabe hilanat gid pisngi akon,cheek high fever,urgent,moderate,active
grabe hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,active
grabe hilanat gid pisngi ko,cheek high fever,urgent,moderate,active
grabe hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,active
grabe hilanat gid singit akon,groin high fever,urgent,moderate,active
grabe hilanat gid singit akon ko,groin high fever,urgent,moderate,active
grabe hilanat gid singit ko,groin high fever,urgent,moderate,active
grabe hilanat gid singit ko akon,groin high fever,urgent,moderate,active
grabe hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,active
grabe hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
grabe hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,active
grabe hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
grabe hilanat gid tiyan akon,abdomen high fever,urgent,moderate,active
grabe hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,active
grabe hilanat gid tiyan ko,abdomen high fever,urgent,moderate,active
grabe hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,active
grabe hilanat gid tungod akon,throat high fever,urgent,moderate,active
grabe hilanat gid tungod akon ko,throat high fever,urgent,moderate,active
grabe hilanat gid tungod ko,throat high fever,urgent,moderate,active
grabe hilanat gid tungod ko akon,throat high fever,urgent,moderate,active
hilanat gid abaga,shoulder high fever,urgent,moderate,active
hilanat gid abaga akon,shoulder high fever,urgent,moderate,active
hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,active
hilanat gid abaga ko,shoulder high fever,urgent,moderate,active
hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,active
hilanat gid akon abaga,shoulder high fever,urgent,moderate,active
hilanat gid akon bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid akon dalunggan,ear high fever,urgent,moderate,active
hilanat gid akon dughan,chest high fever,urgent,moderate,active
hilanat gid akon ilong,nose high fever,urgent,moderate,active
hilanat gid akon kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid akon ko abaga,shoulder high fever,urgent,moderate,active
hilanat gid akon ko bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid akon ko dalunggan,ear high fever,urgent,moderate,active
hilanat gid akon ko dughan,chest high fever,urgent,moderate,active
hilanat gid akon ko ilong,nose high fever,urgent,moderate,active
hilanat gid akon ko kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid akon ko ngabil,lip high fever,urgent,moderate,active
hilanat gid akon ko pisngi,cheek high fever,urgent,moderate,active
hilanat gid akon ko singit,groin high fever,urgent,moderate,active
hilanat gid akon ko talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid akon ko tiyan,abdomen high fever,urgent,moderate,active
hilanat gid akon ko tungod,throat high fever,urgent,moderate,active
hilanat gid akon ngabil,lip high fever,urgent,moderate,active
hilanat gid akon pisngi,cheek high fever,urgent,moderate,active
hilanat gid akon singit,groin high fever,urgent,moderate,active
hilanat gid akon talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid akon tiyan,abdomen high fever,urgent,moderate,active
hilanat gid akon tungod,throat high fever,urgent,moderate,active
hilanat gid bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid bukongbukong akon,ankle high fever,urgent,moderate,active
hilanat gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
hilanat gid bukongbukong ko,ankle high fever,urgent,moderate,active
hilanat gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
hilanat gid dalunggan,ear high fever,urgent,moderate,active
hilanat gid dalunggan akon,ear high fever,urgent,moderate,active
hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,active
hilanat gid dalunggan ko,ear high fever,urgent,moderate,active
hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,active
hilanat gid dughan,chest high fever,urgent,moderate,active
hilanat gid dughan akon,chest high fever,urgent,moderate,active
hilanat gid dughan akon ko,chest high fever,urgent,moderate,active
hilanat gid dughan ko,chest high fever,urgent,moderate,active
hilanat gid dughan ko akon,chest high fever,urgent,moderate,active
hilanat gid gid abaga,shoulder high fever,urgent,moderate,active
hilanat gid gid abaga akon,shoulder high fever,urgent,moderate,active
hilanat gid gid abaga akon ko,shoulder high fever,urgent,moderate,active
hilanat gid gid abaga ko,shoulder high fever,urgent,moderate,active
hilanat gid gid abaga ko akon,shoulder high fever,urgent,moderate,active
hilanat gid gid akon abaga,shoulder high fever,urgent,moderate,active
hilanat gid gid akon bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid gid akon dalunggan,ear high fever,urgent,moderate,active
hilanat gid gid akon dughan,chest high fever,urgent,moderate,active
hilanat gid gid akon ilong,nose high fever,urgent,moderate,active
hilanat gid gid akon kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid gid akon ko abaga,shoulder high fever,urgent,moderate,active
hilanat gid gid akon ko bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid gid akon ko dalunggan,ear high fever,urgent,moderate,active
hilanat gid gid akon ko dughan,chest high fever,urgent,moderate,active
hilanat gid gid akon ko ilong,nose high fever,urgent,moderate,active
hilanat gid gid akon ko kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid gid akon ko ngabil,lip high fever,urgent,moderate,active
hilanat gid gid akon ko pisngi,cheek high fever,urgent,moderate,active
hilanat gid gid akon ko singit,groin high fever,urgent,moderate,active
hilanat gid gid akon ko talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid gid akon ko tiyan,abdomen high fever,urgent,moderate,active
hilanat gid gid akon ko tungod,throat high fever,urgent,moderate,active
hilanat gid gid akon ngabil,lip high fever,urgent,moderate,active
hilanat gid gid akon pisngi,cheek high fever,urgent,moderate,active
hilanat gid gid akon singit,groin high fever,urgent,moderate,active
hilanat gid gid akon talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid gid akon tiyan,abdomen high fever,urgent,moderate,active
hilanat gid gid akon tungod,throat high fever,urgent,moderate,active
hilanat gid gid bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid gid bukongbukong akon,ankle high fever,urgent,moderate,active
hilanat gid gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
hilanat gid gid bukongbukong ko,ankle high fever,urgent,moderate,active
hilanat gid gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
hilanat gid gid dalunggan,ear high fever,urgent,moderate,active
hilanat gid gid dalunggan akon,ear high fever,urgent,moderate,active
hilanat gid gid dalunggan akon ko,ear high fever,urgent,moderate,active
hilanat gid gid dalunggan ko,ear high fever,urgent,moderate,active
hilanat gid gid dalunggan ko akon,ear high fever,urgent,moderate,active
hilanat gid gid dughan,chest high fever,urgent,moderate,active
hilanat gid gid dughan akon,chest high fever,urgent,moderate,active
hilanat gid gid dughan akon ko,chest high fever,urgent,moderate,active
hilanat gid gid dughan ko,chest high fever,urgent,moderate,active
hilanat gid gid dughan ko akon,chest high fever,urgent,moderate,active
hilanat gid gid ilong,nose high fever,urgent,moderate,active
hilanat gid gid ilong akon,nose high fever,urgent,moderate,active
hilanat gid gid ilong akon ko,nose high fever,urgent,moderate,active
hilanat gid gid ilong ko,nose high fever,urgent,moderate,active
hilanat gid gid ilong ko akon,nose high fever,urgent,moderate,active
hilanat gid gid kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid gid kilid mata akon,eyelid high fever,urgent,moderate,active
hilanat gid gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid gid kilid mata ko,eyelid high fever,urgent,moderate,active
hilanat gid gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid gid ko abaga,shoulder high fever,urgent,moderate,active
hilanat gid gid ko akon abaga,shoulder high fever,urgent,moderate,active
hilanat gid gid ko akon bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid gid ko akon dalunggan,ear high fever,urgent,moderate,active
hilanat gid gid ko akon dughan,chest high fever,urgent,moderate,active
hilanat gid gid ko akon ilong,nose high fever,urgent,moderate,active
hilanat gid gid ko akon kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid gid ko akon ngabil,lip high fever,urgent,moderate,active
hilanat gid gid ko akon pisngi,cheek high fever,urgent,moderate,active
hilanat gid gid ko akon singit,groin high fever,urgent,moderate,active
hilanat gid gid ko akon talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid gid ko akon tiyan,abdomen high fever,urgent,moderate,active
hilanat gid gid ko akon tungod,throat high fever,urgent,moderate,active
hilanat gid gid ko bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid gid ko dalunggan,ear high fever,urgent,moderate,active
hilanat gid gid ko dughan,chest high fever,urgent,moderate,active
hilanat gid gid ko ilong,nose high fever,urgent,moderate,active
hilanat gid gid ko kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid gid ko ngabil,lip high fever,urgent,moderate,active
hilanat gid gid ko pisngi,cheek high fever,urgent,moderate,active
hilanat gid gid ko singit,groin high fever,urgent,moderate,active
hilanat gid gid ko talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid gid ko tiyan,abdomen high fever,urgent,moderate,active
hilanat gid gid ko tungod,throat high fever,urgent,moderate,active
hilanat gid gid ngabil,lip high fever,urgent,moderate,active
hilanat gid gid ngabil akon,lip high fever,urgent,moderate,active
hilanat gid gid ngabil akon ko,lip high fever,urgent,moderate,active
hilanat gid gid ngabil ko,lip high fever,urgent,moderate,active
hilanat gid gid ngabil ko akon,lip high fever,urgent,moderate,active
hilanat gid gid pisngi,cheek high fever,urgent,moderate,active
hilanat gid gid pisngi akon,cheek high fever,urgent,moderate,active
hilanat gid gid pisngi akon ko,cheek high fever,urgent,moderate,active
hilanat gid gid pisngi ko,cheek high fever,urgent,moderate,active
hilanat gid gid pisngi ko akon,cheek high fever,urgent,moderate,active
hilanat gid gid singit,groin high fever,urgent,moderate,active
hilanat gid gid singit akon,groin high fever,urgent,moderate,active
hilanat gid gid singit akon ko,groin high fever,urgent,moderate,active
hilanat gid gid singit ko,groin high fever,urgent,moderate,active
hilanat gid gid singit ko akon,groin high fever,urgent,moderate,active
hilanat gid gid talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid gid talukap mata akon,eyelid high fever,urgent,moderate,active
